term,cluster_id,cluster_name,cluster_size,frequency
Generative KI,2,Künstliche Intelligenz,6,5
Vernetzungsassistent,2,Künstliche Intelligenz,6,2
Datensatz und Visualisierung,4,Geodatenvisualisierung,3,2
Entscheidungsassistent,2,Künstliche Intelligenz,6,8
Datenerhebung,5,Datenmanagement,7,6
Prozessautomatisierung,2,Künstliche Intelligenz,6,2
Interaktive App,0,Digitales Netzwerkwerkzeug,3,3
Datenstandards,5,Datenmanagement,7,2
Offene Daten,5,Datenmanagement,7,3
Monitoring,1,Datensicherheit,2,7
Übersetzungsassistent,2,Künstliche Intelligenz,6,1
Analyse von Sensordaten und ML,1,Datensicherheit,2,16
Datenanalyse,5,Datenmanagement,7,18
Large Language Model (LLM),3,Sprachmodelltechnologie,1,1
Dokumentations- und Netzwerktool,0,Digitales Netzwerkwerkzeug,3,4
Verzeichnis / Karte,4,Geodatenvisualisierung,3,1
Interne Datenanwendung,5,Datenmanagement,7,1
KI Anwendung,2,Künstliche Intelligenz,6,34
Digitale Plattform,0,Digitales Netzwerkwerkzeug,3,12
Crowd-Sourced Daten,5,Datenmanagement,7,1
Datenanwendung für Öffentlichkeit,5,Datenmanagement,7,2
Visualisierung mit Karten,4,Geodatenvisualisierung,3,1
