Quelle;Projektname;Art;Einsatzbereich;Webseite-Link;Organisation;Status;Kurzzusammenfassung
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/wasser-fur-den-hohen-flaeming-ki-basierte-entscheidungshilfe-fur-massnahmen-zu-wasserruckhalt-auf-landschaftsebene/1018;Wasser für den hohen Fläming - KI-basierte Entscheidungshilfe für Maßnahmen zu Wasserrückhalt auf Landschaftsebene;KI Anwendung, Entscheidungsassistent, Datenanalyse, Digitale Plattform;Umwelt, Umweltschutz, Nachhaltigkeit;https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/wasser-fur-den-hohen-flaeming-ki-basierte-entscheidungshilfe-fur-massnahmen-zu-wasserruckhalt-auf-landschaftsebene/1018;Civic Coding;In Planung;Das Projekt plant eine regionale, KI-basierte Entscheidungshilfe für den Hohen Fläming, um sinnvolle landschaftliche Maßnahmen zum Wasserrückhalt und zur Vermeidung von Waldbränden hinsichtlich ihrer Wirkungen und Kosten einzuschätzen.
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/entrynavigator-der-wegbegleiter-fur-internationale-fachkraefte-nach-deutschland/1015;EntryNavigator - Der Wegbegleiter für internationale Fachkräfte nach Deutschland;KI Anwendung, Entscheidungsassistent;Migration, Integration, International;;;In Planung;Ein KI-gestützter Chatbot, der internationale Fachkräfte bei der Einreise und Arbeitssuche in Deutschland unterstützt. Er hilft bei Visumsanträgen und behördlichen Prozessen, um Integration und Berufseinstieg zu erleichtern.
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/ki/1014;KI²;KI Anwendung, Datenanwendung für Öffentlichkeit;Soziale Arbeit, Barrierefreiheit, Inklusion, Migration;https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/ki/1014;Civic Coding;In Weiterentwicklung;Das Vorhaben zielt darauf ab, künstliche Intelligenz (KI) in der sozialen Arbeit einzusetzen, um Barrieren für Menschen mit Behinderungen und Menschen mit Migrationsgeschichte abzubauen. Es fördert einen barrierefreien Zugang zur sozialen Gesellschaft.
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/equal-work-hub/1012;Human Work Hub;KI Anwendung, Matching, Digitale Plattform;Migration, Geflüchtete, Umweltschutz;;Civic Coding;In Planung;Der Human Work Hub ist eine KI-gestützte Job-Matching-Plattform für Immigrant:innen und Geflüchtete, die anonymisiert persönliche Daten berücksichtigt, um Diskriminierung zu vermeiden. Zusätzlich werden Fort- und Weiterbildungen, insbesondere in umweltrelevanten Berufen, angeboten.
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/ainsight/1011;AInsight;KI Anwendung, Output Monitoring, Interaktive App;Umweltschutz, Nachhaltigkeit, KI;https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/ainsight/1011;Civic Coding;In Planung;Viele Nutzende haben kein Verständnis für die Klimaauswirkungen von digitalen Anwendungen. Dieses Projekt plant die Implementierung eines Browser-Plugins für ChatGPT, das Nutzer über dessen CO2-Emissionen aufklärt und somit ein Bewusstsein für Ressourcenverbräuche von KI schafft.
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/helpmeai/1010;helpme.ai;KI Anwendung, Interaktive App, Large Language Model (LLM), Beratung;Gesundheit, Armut, Soziale Arbeit, Barrierefreiheit;;;In Weiterentwicklung;helpme.ai ist ein KI-gestützter Chatbot, der über eine App den Zugang zur Gesundheitsversorgung für sozial benachteiligte Gemeinschaften verbessern soll. Er vereinfacht komplexe Gesundheitssysteme und bietet sofortige, personalisierte Unterstützung.
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/prisma3d-explain/1009;Prisma3D Explain;KI Anwendung, Interaktive App, Visualisierung;Umwelt;https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/prisma3d-explain/1009;Civic Coding;In Weiterentwicklung;"Mit ""Prisma3D Explain"" erstellen Schüler*innen 3D-animierte Erklärvideos dank KI-gestütztem Motion Capture in nur 5 Minuten. Die App fördert dabei 3D-gestalterische Kompetenzen für umweltrelevante Berufe in den Bereichen Medien, Architektur und Ingenieurswesen."
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/scan-your-trash/1008;Scan Your Trash;KI Anwendung, Interaktive App, Crowd-Sourced Daten;Umweltschutz, Nachhaltigkeit;https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/scan-your-trash/1008;;In Weiterentwicklung;Scan Your Trash verbindet Recycling, Machine Learning und Aufklärung. Es wird eine Citizen-Science-App entwickelt, die es Nutzer*innen ermöglicht, ihren Abfall zu fotografieren und so menschliches und maschinelles Lernen zu verknüpfen.
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/der-into-the-job-power-coach-itjo-poc/1007;Der Into-the-job-Power-Coach (Itjo-Poc);KI Anwendung, Entscheidungsassistent, Interaktive App;Arbeit, Beratung, Wissensmanagement;https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/der-into-the-job-power-coach-itjo-poc/1007;Civic Coding;In Weiterentwicklung;Itjo-Poc ist ein digitaler Trainer, der Nutzende für Bewerbungsgespräche und den Beruf vorbereitet. Er simuliert dabei verschiedene Jobprofile und Schwierigkeitsgrade von Gesprächssituationen.
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/predictive-maintanance-fur-den-foodcube-ein-aquaponik-lehrsystem-fur-umwelttechnologische-nachwuchsfoerderung/1006;"Predictive maintenance für den ""Foodcube"", ein Aquaponik-Lehrsystem für umwelttechnologische Nachwuchsförderung";KI Anwendung, Monitoring, Datenanalyse, Prozessautomatisierung, Datenanwendung für Öffentlichkeit;Umwelt, Umweltschutz, Nachhaltigkeit, Landwirtschaft, Jugendarbeit;https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/predictive-maintanance-fur-den-foodcube-ein-aquaponik-lehrsystem-fur-umwelttechnologische-nachwuchsfoerderung/1006;Civic Coding;In Planung;"Der ""Foodcube"" ist ein Aquaponik-Lehrsystem für Schulen, das die ressourcensparende Agrar- und Umwelttechnologie vermittelt. Ein Predictive-Maintenance-Ansatz soll den komplexen Betrieb des Systems stabiler gestalten."
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/seagrasswatch-kusten-ki-fur-den-schutz-von-seegraswiesen/1005;SeagrassWatch: Küsten-KI für den Schutz von Seegraswiesen;Analyse von Sensordaten und ML, KI Anwendung, Monitoring, Datenerhebung;Umweltschutz, Meeresschutz, Nachhaltigkeit;https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/seagrasswatch-kusten-ki-fur-den-schutz-von-seegraswiesen/1005;;In Weiterentwicklung;Das Projekt nutzt KI, Dropdown-Kameras und Tiefensonar, um Seegrasbestände in der Ostsee zu kartieren. Ziel ist es, bestehende Seegraswiesen und potenzielle Wiederansiedlungsflächen für den Meeresnaturschutz zu identifizieren.
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/staatklar-dein-digitaler-assistent-fur-die-beantragung-von-staatlicher-unterstutzung/1004;StaatKlar: dein digitaler Assistent für die Beantragung von staatlicher Unterstützung;KI Anwendung, Entscheidungsassistent, Digitale Plattform;Verwaltung, Transparenz;https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/staatklar-dein-digitaler-assistent-fur-die-beantragung-von-staatlicher-unterstutzung/1004;Civic Coding;In Weiterentwicklung;StaatKlar ist ein digitaler Assistent, der mithilfe von Sprachmodellen komplexe Behördeninformationen vereinfacht, um Wissenslücken zu überbrücken und bürokratische Hürden bei der Beantragung staatlicher Ansprüche abzubauen.
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/ki-geisternetze-open-source/1003;KI Geisternetze Open Source;KI Anwendung, Datenanalyse, Datenerhebung;Umweltschutz, Meeresschutz;https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/ki-geisternetze-open-source/1003;Civic Coding;In Weiterentwicklung;Das KI-Geisternetz-Interface ermöglicht es Firmen und Institutionen, hydrografische Daten auf potenzielle Netzverdachtsstellen zu analysieren, ohne Nutzungsrechte abtreten zu müssen.
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/visueller-nachhaltigkeitsassistent-fur-kommunale-entscheidungen-ki-basierte-folgenabschaetzung-nach-der-cdmw-methode/1002;"DANKE"" - Digitaler Assistent für Nachhaltige Kommunale Entwicklung";KI Anwendung, Entscheidungsassistent, Visualisierung;Nachhaltigkeit, Verwaltung, Stadtplanung;https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/visueller-nachhaltigkeitsassistent-fur-kommunale-entscheidungen-ki-basierte-folgenabschaetzung-nach-der-cdmw-methode/1002;Civic Coding;In Planung;Das Projekt nutzt eine KI-basierte Methode zur automatischen Abschätzung und Visualisierung von Nachhaltigkeitsfolgen kommunaler Entscheidungen. Es soll als visueller Nachhaltigkeitsassistent für die digitale Unterstützung der kommunalen Entwicklung dienen.
