Quelle;Projektname;Art;Einsatzbereich;Webseite-Link;Organisation;Status;Kurzzusammenfassung;Projekt-Abkürzung
www.demokratie-wegweiser.de;Demokratie-Wegweiser;Datenanwendung für Öffentlichkeit, interaktive Karte/ Verzeichnis;Demokratie, Teilhabe, Transparenz;www.demokratie-wegweiser.de;Demokratie-Wegweiser;online - in Weiterentwicklung;Der Demokratie Wegweiser hat Daten über gewählte Ratsmitglieder gesammelt und auf einer interaktiven Karte verfügbar gemacht, die für alle Orte in NRW die Mandatsträger auf kommunaler, Landes- und Bundesebene anzeigt. So können sich Bürger*innen mit ihren Anliegen direkt an die Verantwortlichen wenden.;
www.giessdenkiez.de;Gieß den Kiez;Datenanwendung für Öffentlichkeit, interaktive Karte/ Verzeichnis, Crowd-Sourced Daten, Offene Daten;Stadt, Umwelt;www.giessdenkiez.de;CityLAB Berlin ;online - in Betrieb;Gieß den Kiez ist eine interaktive Karte, die auf Offenen Datensätzen basiert und Stadtbäume mit Informationen wie Wasserbedarf, Alter und Art darstellt. Das Ziel: Bürger*innen können sich über den Wasserbedarf von Bäumen in der Nachbarschaft informieren, Bäume adoptieren und ihre Gießungen protokollieren. ;
www.hilf-mir.berlin;Hilf mir Berlin ;Datenanwendung für Öffentlichkeit, interaktive Karte/ Verzeichnis;Gesundheit, Mentale Gesundheit, Stadt;www.hilf-mir.berlin;CityLAB Berlin ;online - im Testbetrieb;HILF-MIR Berlin bündelt Informationen zu niedrigschwelligen psychosozialen Angeboten in Berlin und macht sie über eine interaktive Karte sowie eine übersichtliche Liste zugänglich. Bürger*innen können gezielt nach Unterstützung bei psychischen Krisen oder Suchtproblemen suchen und passende Anlaufstellen in ihrer Nähe finden.;
https://www.caritas-digital.de/projekte/lernende-systeme-in-der-beratung/;CariFix;Interne Datenanwendung, Knowledge Graph, Vernetzungsassistent;Migrationsberatung, Soziale Arbeit;https://www.caritas-digital.de/projekte/lernende-systeme-in-der-beratung/;Caritas ;online - im Testbetrieb;Beratende der Caritas sammeln täglich Informationen über ihre Erfahrungen: Welchen Problemen ihrer Klient*innen haben sie wie geholfen. Diese Expertise-Daten werden mit CariFIX anonymisiert analysiert. CariFIX soll Beratende mit einer Frage, zu der sie Expertise benötigen, unterstützen und Beratende vernetzen.;CariFIX
www.seniorennetz.berlin;Seniorennetz Berlin ;Datenanwendung für Öffentlichkeit, interaktive Karte/ Verzeichnis;Senior*innen, Soziale Arbeit;www.seniorennetz.berlin;place/making;online - in Betrieb;Das Seniorennetz Berlin schafft mit der interaktiven Karte themenbasiert Zugänge zu sozialen Angeboten und vernetzt digital und lokal Trägerorganisationen und Senior*innen. Das System ist barrierefrei, verarbeitet Änderungsvorschläge und integriert automatische Übersetzungen in beliebige Sprachen.;
;Disposition von Rettungsmitteln;Interne Datenanwendung, KI Anwendung, Maschinelles Lernen;Rettungsdienst;;DRK Rheinland-Pfalz;online - im Testbetrieb;Basierend auf vergangenen Einsätzen, Wetter- und Verkehrsdaten wurde ein KI-Modell trainiert, das Vorschläge zur Umdisposition von Rettungsfahrzeugen an andere Rettungswachen oder geeignete Orte macht. So soll eine lückenfreie Abdeckung von Rettungsmitteln und die 15 Minuten Hilfsfrist besser eingehalten werden.;
www.codo-mentoring.org;codo - Das Datentool für Mentoringprojekte;Interne Datenanwendung, Datenerhebung, Matching, Dashboard;Mentoring, Patenschaft;www.codo-mentoring.org;Stiftung Bürgermut + Bürgerstiftung Hamburg;online - im Testbetrieb;codo ist ein von der Community entwickeltes digitales Tool zum Management von Patenschaften und Mentoringbeziehungen. Dabei spielt dir strukturierte Erfassung und Auswertung von Daten eine wichtige Rolle. Projektkoordinatorinnen können damit Kontakte zentral verwalten, Matchingprozesse dokumentieren, Kennzahlen analysieren und Fortschritte nachvollziehen.;codo
www.leerstandsmelder.de;Leerstandsmelder;Datenanwendung für Öffentlichkeit, interaktive Karte/ Verzeichnis, Crowd-Sourced Daten;Stadt, Wohnen;www.leerstandsmelder.de;Leerstandsmelder;online - in Betrieb;In Großstädten stehen oft unzählige Flächen leer, die bisher nicht dokumentiert waren. Der Leerstandsmelder macht auf einer interaktiven Karte sichtbar, wo Wohn- und Gewerberäume nicht genutzt werden. Leerstände können auf der Karte von allen Nutzer*innen direkt und unkompliziert eingetragen werden.;
www.fairsharewl.org;Fair Share of Women Leaders;Datenanwendung für Öffentlichkeit, Dashboard;Transparenz, Gleichstellung, Teilhabe;www.fairsharewl.org;Fair Share of Women Leaders;online - in Betrieb;Der FAIR SHARE Monitor ist ein datenbasiertes Instrument zur langfristigen Untersuchung der Geschlechterverteilung in den Belegschaften, Leitungs- und Aufsichtsgremien zivilgesellschaftlicher Organisationen. Auf Basis der Daten werden jährlich Listen und Grafiken transparent gemacht.;FAIR SHARE
strassenlotse.hamburg;Strassenlotse Hamburg;Datenanwendung für Öffentlichkeit, interaktive Karte/ Verzeichnis;Wohnungslosenhilfe, Kältehilfe;strassenlotse.hamburg;Arbeitsgemeinschaft der freien Wohlfahrtspflege Hamburg;online - in Betrieb;Strassenlotse.Hamburg ist eine webbasierte App, die aktuelle Daten zu Einrichtungen und Hilfsangeboten für wohnungs- und obdachlose Menschen in Hamburg bündelt und strukturiert zugänglich macht. Nutzer*innen können Informationen gezielt filtern, auf einer interaktiven Karte mit Navigation anzeigen und wichtige Dokumente digital abrufen. Die Anwendung unterstützt sowohl die eigenständige Recherche als auch den Beratungsprozess und ermöglicht bei Bedarf den Ausdruck relevanter Suchergebnisse.;
