Quelle;Projektname;Art;Einsatzbereich;Webseite-Link;Organisation;Status;Kurzzusammenfassung;Projekt-Abkürzung;Lizenz;Lizenz-Organisation
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/wasser-fur-den-hohen-flaeming-ki-basierte-entscheidungshilfe-fur-massnahmen-zu-wasserruckhalt-auf-landschaftsebene/1018;Wasser für den hohen Fläming - KI-basierte Entscheidungshilfe für Maßnahmen zu Wasserrückhalt auf Landschaftsebene;{'Entscheidungsassistent': 'Virtuelle Assistenz', 'KI Anwendung': 'KI Anwendung', 'Datenanalyse': 'Datenanalyse', 'Monitoring': 'Wirkungsmessung'};{'Umweltschutz': 'Umweltschutz', 'Nachhaltigkeit': 'Umweltschutz', 'Katastrophenschutz': 'Gesundheit und Soziales', 'Landwirtschaft': 'Soziale Organisation'};;;In Planung;Der hohe Fläming ist eine der trockensten Orte Deutschlands und wir planen eine regionale, KI-basierte Entscheidungshilfe, die es ermöglicht sinnvolle landschaftliche Maßnahmen zum Wasserrückhalt und zur Vermeidung von Waldbränden in ihren Wirkungen und Kosten einzuschätzen.;;CC-BY-NC-ND 4.0;https://www.civic-coding.de
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/entrynavigator-der-wegbegleiter-fur-internationale-fachkraefte-nach-deutschland/1015;EntryNavigator - Der Wegbegleiter für internationale Fachkräfte nach Deutschland.;{'KI Anwendung': 'KI Anwendung', 'Interaktive App': 'Webanwendungen', 'Entscheidungsassistent': 'Virtuelle Assistenz', 'Large Language Model (LLM)': 'Sprachtechnologie'};{'Migration': 'Flüchtlingshilfe', 'Integration': 'Inklusionspolitik', 'Beratung': 'Gesundheit und Soziales', 'KI': 'Gesundheit und Soziales'};;Civic Coding;In Planung;Ein KI-gestützter Chatbot, der internationale Fachkräfte bei der Einreise und Arbeitssuche in Deutschland unterstützt, indem er bei Visumsanträgen und behördlichen Prozessen hilft, um Integration und Berufseinstieg zu erleichtern.;;CC-BY-NC-ND 4.0;https://www.civic-coding.de
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/ki/1014;KI²;{'KI Anwendung': 'KI Anwendung', 'Datenanwendung für Öffentlichkeit': 'Datenanwendung für Öffentlichkeit'};{'Barrierefreiheit': 'Inklusionspolitik', 'Inklusion': 'Inklusionspolitik', 'Migration': 'Flüchtlingshilfe', 'Soziale Arbeit': 'Soziale Organisation', 'Menschen mit Behinderung': 'Altershilfe'};https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/ki/1014;Civic Coding;In Weiterentwicklung;Das Vorhaben zielt darauf ab, künstliche Intelligenz (KI) in der sozialen Arbeit einzusetzen, um Barrieren für Menschen mit Behinderungen und Menschen mit Migrationsgeschichte abzubauen und einen barrierefreien Zugang zur sozialen Gesellschaft zu fördern. Die Idee besteht darin,;KI²;CC-BY-NC-ND 4.0;https://www.civic-coding.de
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/equal-work-hub/1012;Human Work Hub;{'KI Anwendung': 'KI Anwendung', 'Digitale Plattform': 'Digitale Plattformen', 'Matching': 'Datenanalyse'};{'Geflüchtete': 'Gesundheit und Soziales', 'Migration': 'Flüchtlingshilfe', 'Integration': 'Inklusionspolitik', 'KI': 'Gesundheit und Soziales', 'Umwelt': 'Umweltschutz', 'Umweltschutz': 'Umweltschutz'};;Civic Coding;In Planung;KI-Job-Matching-Plattform für Immigrant:innen und Geflüchtete mit Unternehmen. Anonymisiert Herkunft,, Religion etc., um Bias zu vermeiden. Zusätzlich Fort-und Weiterbildungen besonders in umweltrelevanten Berufen. Startpunkt in der Solarbranche.;;CC-BY-NC-ND 4.0;https://www.civic-coding.de
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/ainsight/1011;AInsight;{'Interaktive App': 'Webanwendungen', 'KI Anwendung': 'KI Anwendung', 'Monitoring': 'Wirkungsmessung', 'Datenanwendung für Öffentlichkeit': 'Datenanwendung für Öffentlichkeit'};{'Umwelt': 'Umweltschutz', 'Umweltschutz': 'Umweltschutz', 'Nachhaltigkeit': 'Umweltschutz', 'KI': 'Gesundheit und Soziales'};https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/ainsight/1011;;In Planung;Viele Nutzende haben kein Verständnis für die Klimaauswirkungen von digitalen Anwendungen. Wir wollen ein Browser-Plugin für ChatGPT implementieren, das die nutzende Person über dessen CO2-Emissionen aufklärt und somit ein Bewusstsein für Ressourcenverbräuche von KI schafft.;;CC-BY-NC-ND 4.0;https://www.civic-coding.de
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/helpmeai/1010;helpme.ai;{'KI Anwendung': 'KI Anwendung', 'Interaktive App': 'Webanwendungen', 'Entscheidungsassistent': 'Virtuelle Assistenz'};{'Gesundheit': 'Psychische Gesundheit', 'Soziale Arbeit': 'Soziale Organisation', 'Armut': 'Soziale Hilfe', 'Teilhabe': 'Gesundheit und Soziales', 'Inklusion': 'Inklusionspolitik'};;;In Planung;helpme.ai is an AI-powered chatbot, accessible through an app, designed to bridge the gap in healthcare access for socially disadvantaged communities. It simplifies the complexity of healthcare systems, providing immediate, personalized assistance.;;CC-BY-NC-ND 4.0;https://www.civic-coding.de
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/prisma3d-explain/1009;Prisma3D Explain;{'KI Anwendung': 'KI Anwendung', 'Interaktive App': 'Webanwendungen', 'Visualisierung': 'Datenreporting', 'Datenanwendung für Öffentlichkeit': 'Datenanwendung für Öffentlichkeit'};{'KI': 'Gesundheit und Soziales', 'Jugendarbeit': 'Jugendhilfe', 'Umwelt': 'Umweltschutz', 'Umweltschutz': 'Umweltschutz'};;;In Planung;"Mit ""Prisma3D Explain"" erstellen Schüler*innen 3D-animierte Erklärvideos dank KI-gestütztem Motion Capture in nur 5 Minuten. Durch die App entwickeln Schüler*innen 3D-gestalterische Kompetenzen für umweltrelevante Berufe in den Bereichen Medien, Architektur und Ingenieurswesen.";;CC-BY-NC-ND 4.0;https://www.civic-coding.de
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/scan-your-trash/1008;Scan Your Trash;{'Analyse von Sensordaten und ML': 'Künstliche Intelligenz', 'Automatisierte Datenübermittlung': 'Datenmanagement', 'Crowd-Sourced Daten': 'Öffentliche Daten', 'Datenerhebung': 'Datenerhebung', 'Digitale Plattform': 'Digitale Plattformen', 'Interaktive App': 'Webanwendungen', 'KI Anwendung': 'KI Anwendung'};{'Nachhaltigkeit': 'Umweltschutz', 'Umwelt': 'Umweltschutz', 'Umweltschutz': 'Umweltschutz'};;Civic Coding;In Planung;Scan Your Trash denkt Recycling, Machine Learning und Aufklärung zusammen. Es wird eine Citizen-Science-App entwickelt, die es den Anwender*innen ermöglicht, ihren LVP-Abfall zu fotografieren und mit diesen Bildern menschliches und maschinelles Lernen zu verbinden.;;CC-BY-NC-ND 4.0;https://www.civic-coding.de
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/der-into-the-job-power-coach-itjo-poc/1007;Der Into-the-job-Power-Coach;{'KI Anwendung': 'KI Anwendung', 'Entscheidungsassistent': 'Virtuelle Assistenz', 'Interaktive App': 'Webanwendungen'};{'Arbeit': 'Soziale Organisation', 'Beratung': 'Gesundheit und Soziales', 'Chancengleichheit': 'Geschlechtergerechtigkeit', 'KI': 'Gesundheit und Soziales'};;Civic Coding;In Weiterentwicklung;Itjo-Poc ist ein digitaler Trainer, der fit für Bewerbungsgespräche und den Beruf macht. Er beinhaltet verschiedene Jobprofile und Schwierigkeitsgrade („zugewandter“ bis offen ablehnender, sozialen und beruflichen Hintergrund des Bewerbenden angreifender Gesprächsführender.);Itjo-Poc;CC-BY-NC-ND 4.0;https://www.civic-coding.de
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/predictive-maintanance-fur-den-foodcube-ein-aquaponik-lehrsystem-fur-umwelttechnologische-nachwuchsfoerderung/1006;"Predictive maintanance für den ""Foodcube"", ein Aquaponik-Lehrsystem für umwelttechnologische Nachwuchsförderung";{'Analyse von Sensordaten und ML': 'Künstliche Intelligenz', 'KI Anwendung': 'KI Anwendung'};{'Umwelt': 'Umweltschutz', 'Umweltschutz': 'Umweltschutz', 'Landwirtschaft': 'Soziale Organisation', 'KI': 'Gesundheit und Soziales'};;;In Planung;In der Aquaponik gedeihen Fische und Pflanzen in einem ressourcensparenden Kreislaufsystem. Der Foodcube bringt diese zukunftsweisende Agrar- und Umwelttechnologie an Schulen. Mit einem Predictive-Maintenance-Ansatz kann der komplexe Betrieb stabiler gestaltet werden.;;CC-BY-NC-ND 4.0;https://www.civic-coding.de
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/seagrasswatch-kusten-ki-fur-den-schutz-von-seegraswiesen/1005;SeagrassWatch: Küsten-KI für den Schutz von Seegraswiesen;{'Datenerhebung': 'Datenerhebung', 'Datenanalyse': 'Datenanalyse', 'KI Anwendung': 'KI Anwendung', 'Monitoring': 'Wirkungsmessung'};{'Meeresschutz': 'Umweltschutz', 'Umweltschutz': 'Umweltschutz'};;;In Planung;Mittels Dropdown-Kameras und Tiefensonar dem Seegras in der Ostsee auf die Spur kommen. Wo sind bestehende Seegrasbestände und Potenzialflächen zur Wiederansiedlung in der Ostsee? Meeresnaturschutz trifft KI.;;CC-BY-NC-ND 4.0;https://www.civic-coding.de
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/staatklar-dein-digitaler-assistent-fur-die-beantragung-von-staatlicher-unterstutzung/1004;StaatKlar: dein digitaler Assistent für die Beantragung von staatlicher Unterstützung;{'KI Anwendung': 'KI Anwendung', 'Large Language Model (LLM)': 'Sprachtechnologie', 'Entscheidungsassistent': 'Virtuelle Assistenz', 'Interaktive App': 'Webanwendungen'};{'Verwaltung': 'Soziale Organisation', 'Demokratie': 'Politische Freiheiten', 'Teilhabe': 'Gesundheit und Soziales', 'Barrierefreiheit': 'Inklusionspolitik'};;Civic Coding;In Planung;Entwicklung eines digitalen Assistenten, der mithilfe von Sprachmodellen komplexe Behördeninformationen vereinfacht. Ziel ist das Überbrücken von Wissenslücken und der Abbau bürokratischer Hürden bei der Beantragung staatlicher Ansprüche durch Bürger:innen.;;CC-BY-NC-ND 4.0;https://www.civic-coding.de
