Quelle;Projektname;Art;Einsatzbereich;Webseite-Link;Organisation;Status;Kurzzusammenfassung;Projekt-Abkürzung;Lizenz;Lizenz-Organisation
https://codefor.de/projekte/2018-24-11-1000-lorawan-nodes-im-laendlichen-raum/;1000 LoRaWAN Nodes im ländlichen Raum von Schleswig-Holstein;Digitale Plattform, Datenerhebung, Vernetzung;Nachhaltigkeit, Partizipation, Stadtplanung, Zugänglichkeit;https://iot-usergroup.de/projekte/1000-lorawan-nodes-im-laendlichen-raum-von-schleswig-holstein/;Code for Germany, IoT Usergroup, Nucleon e.V.;In Betrieb;Das Projekt baut eine flächendeckende LoRaWAN-Infrastruktur in ländlichen Gebieten Schleswig-Holsteins auf. Ziel ist es, die Digitalisierung im ländlichen Raum durch die Vernetzung von Sensoren für das Internet der Dinge voranzutreiben und zukunftsfähiger zu gestalten.;;CC-BY 4.0;https://codefor.de/
https://codefor.de/projekte/fl-open-data-day/;2. Open Data Day in Flensburg;Festival und Studie, Offene Daten, Datenanwendung für Öffentlichkeit, Vernetzung, Vernetzungsassistent;Offene Daten, Partizipation, Demokratie, Stadt;https://opendataday-flensburg.de;OK Lab Flensburg, Code for Germany;In Weiterentwicklung;Der 2. Open Data Day in Flensburg ist ein Event, das Workshops, Präsentationen und Austausch zu Open Data bietet. Es lädt Interessierte ein, digitale Anwendungen kennenzulernen und sich zu vernetzen.;;CC-BY 4.0;https://codefor.de/
https://codefor.de/projekte/chartchallenge/;30 Day Chart Challenge Bielefeld;Visualisierung, Datenanalyse, Datenerhebung, Offene Daten, Crowd-Sourced Daten;Stadt, Open Data, Wissensmanagement, Partizipation;https://codefor.de/projekte/chartchallenge/, https://docs.google.com/document/d/1xTOtR4nQNLI55wOVbqutxEnln06FlvUqRfO4aPKyXwo/edit?usp=sharing;Code for Bielefeld, Code for Germany, Open Knowledge Foundation Deutschland e.V.;In Betrieb;Die 30 Day Chart Challenge Bielefeld ist eine lokale Initiative von Code for Bielefeld, die alle Bielefelder:innen dazu einlädt, im April täglich eine Grafik mit Daten aus Bielefeld zu erstellen und zu teilen. Ziel ist die kreative Auseinandersetzung mit verschiedenen Visualisierungsformen und lokalen Datensätzen, um Neues über die Stadt zu lernen.;;CC-BY 4.0;https://codefor.de/
https://codefor.de/projekte/abschiebungen/;Abschiebungen;Datenerhebung, Datenanalyse, Bericht, Visualisierung;Migration, Menschenrechte, Transparenz;;Open Knowledge Foundation Deutschland e.V., OK Lab Berlin;Unbekannt;Dieses Projekt analysiert und präsentiert Daten zu Abschiebungen in Deutschland aus dem Jahr 2012. Es zeigt auf, wie viele Menschen auf verschiedenen Wegen abgeschoben oder in andere EU-Länder überstellt wurden.;;CC-BY 4.0;https://codefor.de/
https://codefor.de/projekte/accessmap/;Access Map;Interaktive Karte, Visualisierung mit Karten, Datenanwendung für Öffentlichkeit;Barrierefreiheit, Stadtplanung, Öffentlicher Nahverkehr;http://arduina.github.io/access_map/;Open Knowledge Foundation Deutschland e.V., OK Lab Berlin;Unbekannt;Das Projekt zielt darauf ab, das Bewusstsein für Barrierefreiheit in öffentlichen Verkehrsmitteln zu schärfen. Es visualisiert mithilfe eines einfachen Schiebereglers, wie das öffentliche Verkehrssystem aussieht, wenn alle nicht barrierefreien Stationen entfernt werden.;;CC-BY 4.0;https://codefor.de/
https://codefor.de/projekte/bn-air-quality-box/;Air Quality Box;Datenerhebung, Datenanalyse, Monitoring, Visualisierung mit Karten, Analyse von Sensordaten;Umwelt, Umweltschutz, Stadt, Nachhaltigkeit;https://codefor.de/projekte/bn-air-quality-box/;OK Lab Bonn-Rhein-Sieg, Open Knowledge Foundation Deutschland e.V.;In Weiterentwicklung;"Das Projekt ""Air Quality Box"" beabsichtigt, ein Netzwerk von Messstationen in Bonn zu etablieren, die Daten zu Temperatur, Luftfeuchtigkeit und Feinstaub erfassen. Ziel ist es, diese Daten zu visualisieren, um die Luftqualität zu überwachen und die Umweltplanung der Stadt zu unterstützen.";;CC-BY 4.0;https://codefor.de/
https://codefor.de/projekte/altglas/;Altglas Container;Interaktive Karte, Interaktive App, Datenanwendung für Öffentlichkeit;Umweltschutz, Stadtplanung, Nachhaltigkeit;;Code for Germany, Open Knowledge Foundation Deutschland e.V.;Eingestellt;Das Projekt stellt eine Webseite und eine Android-App bereit, die die Positionen von Altglas-Containern auf einer Karte visualisieren. Die erste Version zeigte Container in Berlin Charlottenburg-Wilmersdorf.;;CC-BY 4.0;https://codefor.de/
https://codefor.de/projekte/le-drl-amikeco/;Amikeco;Digitale Plattform, Vernetzungsassistent, Interaktive App;Geflüchtete, Integration, Vernetzung, Soziale Arbeit;;Open Knowledge Foundation Deutschland e.V., Code for Germany, OK Lab Leipzig;Eingestellt;Amikeco ist eine digitale Plattform, die Geflüchteten und Zugezogenen helfen sollte, Gleichgesinnte für gemeinsame Freizeitaktivitäten zu finden und neue Kontakte zu knüpfen. Das Projekt entstand im Rahmen des Digital Refugees Lab 2016.;;CC-BY 4.0;https://codefor.de/
https://codefor.de/projekte/da-ars-tool/;ARS-Tool;Digitale Plattform, Datenanalyse, Verzeichnis / Karte;Verwaltung, Offene Daten, Stadtplanung;https://opengovtech.de/ars/;Code for Germany, Open Knowledge Foundation Deutschland e.V.;In Betrieb;Das ARS-Tool ermöglicht die einfache Suche nach dem Amtlichen Regionalschlüssel (ARS) für verwaltungspolitische Gebiete in Deutschland. Der ARS ist eine eindeutige ID, die beispielsweise im Meldewesen und bei der Suche nach Verwaltungsleistungen eingesetzt wird.;ARS-Tool;CC-BY 4.0;https://codefor.de/
https://codefor.de/projekte/aufbau-ostberlin/;Aufbau Ostberlin;Digitale Plattform, Datenanwendung für Öffentlichkeit, Datensatz und Visualisierung;Stadt, Stadtplanung;http://www.aufbau-ostberlin.de;OK Lab Berlin, Berlinische Galerie;In Weiterentwicklung;Ein digitaler Architekturführer, der einen Datensatz aus dem Nachlass der Fotografin Gisela Dutschmann nutzt, um die städtebauliche Entwicklung Ostberlins von 1962 bis 1975 zu dokumentieren und zu visualisieren.;;CC-BY 4.0;https://codefor.de/
