,Quelle,Projektname,Art,Einsatzbereich,Webseite-Link,Organisation,Ansprechperson,Email,Status,Kurzzusammenfassung,Unnamed: 10
0,https://publicinterest.ai/tool/map/project/kivi-ki-vigilare,,,,,,,,,,
1,https://publicinterest.ai/tool/map/project/adis,,,,,,,,,,
2,https://publicinterest.ai/tool/map/project/ai4grids,,,,,,,,,,
3,https://publicinterest.ai/tool/map/project/air-ai-basierter-recommender-fur-nachhaltigen-tourismus,,,,,,,,,,
4,https://publicinterest.ai/tool/map/project/artificial-intelligence-center-hamburg,,,,,,,,,,
5,https://publicinterest.ai/tool/map/project/bakim,,,,,,,,,,
6,https://publicinterest.ai/tool/map/project/beeobserver,,,,,,,,,,
7,https://publicinterest.ai/tool/map/project/biaslyze-the-nlp-bias-identification-toolkit,,,,,,,,,,
8,https://publicinterest.ai/tool/map/project/botometer,,,,,,,,,,
9,https://publicinterest.ai/tool/map/project/caius-consequences-of-ai-for-urban-societies,,,,,,,,,,
10,https://publicinterest.ai/tool/map/project/civic-tech-field-guide,,,,,,,,,,
11,https://publicinterest.ai/tool/map/project/claudette,,,,,,,,,,
12,https://publicinterest.ai/tool/map/project/clinicalbert,,,,,,,,,,
13,https://publicinterest.ai/tool/map/project/equitable-ai-prevent-and-mitigate-gender-bias-in-early-warning-systems-for-school-dropouts,,,,,,,,,,
14,https://publicinterest.ai/tool/map/project/green-consumption-assistant,,,,,,,,,,
15,https://publicinterest.ai/tool/map/project/grundlagen-der-ki-fur-unternehmen-foundations-of-ai,,,,,,,,,,
16,https://publicinterest.ai/tool/map/project/institute-for-ethics-in-artificial-intelligence,,,,,,,,,,
17,https://publicinterest.ai/tool/map/project/isosens,,,,,,,,,,
18,https://publicinterest.ai/tool/map/project/kiste,,,,,,,,,,
19,https://publicinterest.ai/tool/map/project/la-independiente-mainstreaming-gender-perspective-in-ai-crowd-work-in-the-global-south,,,,,,,,,,
20,https://publicinterest.ai/tool/map/project/mammoth-multi-attribute-multimodal-bias-mitigation-in-ai-systems,,,,,,,,,,
21,https://publicinterest.ai/tool/map/project/masakhaner,,,,,,,,,,
22,https://publicinterest.ai/tool/map/project/mi4people,,,,,,,,,,
23,https://publicinterest.ai/tool/map/project/public-ai,,,,,,,,,,
24,https://publicinterest.ai/tool/map/project/quantified-trees-intelligent-irrigation-forecasting-for-city-trees,,,,,,,,,,
25,https://publicinterest.ai/tool/map/project/radiant-mlhub,,,,,,,,,,
26,https://publicinterest.ai/tool/map/project/right-hear,,,,,,,,,,
27,https://publicinterest.ai/tool/map/project/safety-verification-of-neural-networks,,,,,,,,,,
28,https://publicinterest.ai/tool/map/project/seaclear-search-identification-and-collection-of-marine-litter-with-autonomous-robots,,,,,,,,,,
29,https://publicinterest.ai/tool/map/project/seismologie-und-artifizielle-intelligenz,,,,,,,,,,
30,https://publicinterest.ai/tool/map/project/simba,,,,,,,,,,
31,https://publicinterest.ai/tool/map/project/smartrecycling-up,,,,,,,,,,
32,https://publicinterest.ai/tool/map/project/tech4nature-mexico,,,,,,,,,,
33,https://publicinterest.ai/tool/map/project/top-ki-text-optimisation-using-artificial-intelligence,,,,,,,,,,
34,https://publicinterest.ai/tool/map/project/uwazi,,,,,,,,,,
35,https://publicinterest.ai/tool/map/project/vera-ai-verification-assisted-by-artificial-intelligence,,,,,,,,,,
36,https://publicinterest.ai/tool/map/project/vframe,,,,,,,,,,
37,https://publicinterest.ai/tool/map/project/wertis-ki,,,,,,,,,,
38,https://publicinterest.ai/tool/map/project/www-jsk-org-pk,,,,,,,,,,
39,https://publicinterest.ai/tool/map/project/zentrum-fur-vertrauenswurdige-kunstliche-intelligenz-zvki,,,,,,,,,,
