projektname;kurzzusammenfassung;art;einsatzbereich;status;organisation;webseite_link;quelle;lizenz;lizenz_organisation
#AndYou? Politisches Weiterdenken! - Futures Literacy Prompts im Kontext politischer Bildung;Mit den Prompts können veröffentlichte Wahlprogramme und Aussagen aller Parteien analysiert und individuelle Zukunftsszenarien für die Nutzer*innen generiert werden, die aufzeigen, welche Auswirkungen ihre Wahlentscheidung auf die eigene Lebenssituation und die Gesellschaft hätte;['Datenanalyse', 'Digitale Plattformen', 'Fortbildung', 'Open-Source-Software', 'Webanwendungen'];['Bildung', 'Demokratie & Soziale Rechte', 'Gesundheit', 'Inklusion & Teilhabe'];Unbekannt;Civic Coding;https://www.civic-coding.de/community/projekt/andyou-politisches-weiterdenken-futures-literacy-prompts-im-kontext-politischer-bildung/1212;https://www.civic-coding.de/community/projekt/andyou-politisches-weiterdenken-futures-literacy-prompts-im-kontext-politischer-bildung/1212;CC-BY-NC-ND 4.0;https://www.civic-coding.de
#GenoDigital;Gemein­­sam bringen wir Genossen­­schaften ins digi­tale Zeitalter. https://genossenschaften.digital/;['Datenerhebung', 'Open-Source-Software'];['Inklusion & Teilhabe', 'Soziale Dienste'];In Betrieb;Civic Coding;https://www.civic-coding.de/community/projekt/genodigital/1081;https://www.civic-coding.de/community/projekt/genodigital/1081;CC-BY-NC-ND 4.0;https://www.civic-coding.de
#KickHate – Gemeinsam gegen Hass und Diskriminierung im Fußball;#KickHate reagiert auf das massive Problem digitalen Hasses im gesellschaftlich bedeutsamen Raum des Fußballs und entwickelt mit 3 Profi-Fußballclubs einen innovativen, mehrdimensionalen Ansatz zur nachhaltigen Bekämpfung von Hass und Diskriminierungen im (Fußball-)Netz.;['Automatisierung', 'Fortbildung', 'Künstliche Intelligenz'];['Anti Dismkriminierung', 'Inklusion & Teilhabe'];Unbekannt;Civic Coding;https://www.civic-coding.de/community/projekt/kickhate-gemeinsam-gegen-hass-und-diskriminierung-im-fussball/1329;https://www.civic-coding.de/community/projekt/kickhate-gemeinsam-gegen-hass-und-diskriminierung-im-fussball/1329;CC-BY-NC-ND 4.0;https://www.civic-coding.de
(Teil)-Automatisierung von Datenprozessen im Kontext Wirkungsmessung;Wirkungsmessung bei Chancenwerk braucht weniger Handarbeit. Wir automatisieren Datenexport, Bereinigung und Auswertung mit maßgeschneiderten Tools.;['Automatisierung', 'Datenanalyse', 'Datenreporting'];['Organisation & Professionalisierung', 'Soziale Dienste'];In Betrieb;Chancenwerk e.V., CorrelAid e.V.;;https://correlaid.org/projekte/projektdatenbank/2026-03-CHW;CC-BY 4.0;https://correlaid.org/
1 Bild sagt mehr als 1000 Worte;Eine KI-Lösung erstellt Bilder für Texte erstellt und hilft Menschen mit Sprachschwierigkeiten geschriebene Materialien zu verstehen. Sprachbarrieren werden reduziert, indem das Verständnis selbst komplexer Ideen automatisiert durch visuelle Darstellungen unterstützt wird.;[];['Bildung', 'Inklusion & Teilhabe', 'Soziale Dienste'];In Betrieb;Civic Coding;https://www.civic-coding.de/community/projekt/1-bild-sagt-mehr-als-1000-worte/843;https://www.civic-coding.de/community/projekt/1-bild-sagt-mehr-als-1000-worte/843;CC-BY-NC-ND 4.0;https://www.civic-coding.de
1000 LoRaWAN Nodes im ländlichen Raum von Schleswig-Holstein;Aufbau einer Schleswig-Holstein-weiten flächendeckenden Versorgung mit LoRaWAN-Technologie, welche durch vorausgehende Installation einer ausreichenden Anzahl von Gateways und anschließender …;['Datenanalyse', 'Open-Source-Software', 'Wirkungsmessung'];['Stadtentwicklung'];In Betrieb;OK Lab Kreis Schleswig-Flensburg, Code for Germany;https://iot-usergroup.de/projekte/1000-lorawan-nodes-im-laendlichen-raum-von-schleswig-holstein/, https://gitlab.com/iotssl/nucleon-nodes;https://codefor.de/projekte/2018-24-11-1000-lorawan-nodes-im-laendlichen-raum/;CC-BY 4.0;https://codefor.de
112 - KI rettet Leben.;Jede Sekunde zählt beim Notruf. 30% der Anrufe senden keine GPS Daten, weshalb durch Abfragen der Standort bestimmt werden muss. Dies kann akustisch extrem schwierig sein. Unser KI-System unterstützt die Anrufzentrale um die Person zu lokalisieren – und Hilfe zu schicken.;['Datenanalyse', 'Künstliche Intelligenz', 'Virtuelle Assistenz'];['Gesundheit'];In Planung;;;https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/112-ki-rettet-leben/813;CC-BY-NC-ND 4.0;https://www.civic-coding.de
112 - KI rettet Leben;Durch den Einsatz von KI, sollen transkribierte Gespräche in Echtzeit mit den Ortsdaten abgeglichen und automatische Lokalisierung für Notrufe erfolgen, die nicht eindeutig identifizierbar sind und nur anhand von Umgebungsbeschreibung verortet werden müssen.;['Datenanalyse', 'Künstliche Intelligenz'];['Demokratie & Soziale Rechte', 'Gesundheit'];In Betrieb;Civic Coding;https://www.civic-coding.de/community/projekt/112-ki-rettet-leben/1057;https://www.civic-coding.de/community/projekt/112-ki-rettet-leben/1057;CC-BY-NC-ND 4.0;https://www.civic-coding.de
2. Open Data Day in Flensburg;Zum zweiten Mal nimmt das OK Lab Flensburg am weltweit stattfindenden Open Data Day teil und lädt alle Interessierten zu Workshops, Präsentationen sowie einem offenen Austausch und Networking ein. Wir …;['Fortbildung', 'Öffentliche Daten'];[];Unbekannt;OK Lab Flensburg, Code for Germany;https://github.com/oklabflensburg/oddfl, https://opendataday.org/de/, https://opendataday-flensburg.de;https://codefor.de/projekte/fl-open-data-day/;CC-BY 4.0;https://codefor.de
30 Day Chart Challenge Bielefeld;Unter dem Hashtag #30DayChartChallenge teilen weltweit Designer:innen, Data Scientists, Journalist:innen, … jeden Tag im April eine Grafik. Jeder Tag hat ein Motto, zum Beispiel “Anteile”, …;['Datenreporting'];['Stadtentwicklung'];In Betrieb;Code for Bielefeld, Code for Germany;https://bsky.app/profile/codeforbielefeld.bsky.social;https://codefor.de/projekte/chartchallenge/;CC-BY 4.0;https://codefor.de
A Thousand Channels;A 1000 channels ist eine queere Mappingplattform, mit der queere Narrationen leicht zugänglich auf einer Karte visualisiert und veröffentlicht werden können. So können queeren Akteur*innen, Gruppen und Projekte ihre Räume und Aktivitäten sichtbar machen. Das Civic Data Lab unterstützt das ehrenamtliche Team bei der Weiterentwicklung ihrer Plattform.;['Datenanwendung für Öffentlichkeit', 'Karten & Verzeichnisse', 'Öffentliche Daten'];['Anti Dismkriminierung', 'Inklusion & Teilhabe'];Unbekannt;;;https://www.a-thousand-channels.xyz/;CC-BY 4.66;https://civic-data.de/
