Quelle;Projektname;Art;Einsatzbereich;Webseite-Link;Organisation;Status;Kurzzusammenfassung;Projekt-Abkürzung;Lizenz;Lizenz-Organisation
https://correlaid.org/projekte/projektdatenbank/2022-11-ATT;Qualitätsanalyse von OpenStreetMap Daten für Trinkbrunnen;Web-App, Dashboard, Bericht;Stadtplanung, Umweltschutz, Nachhaltigkeit;https://correlaid.github.io/trinkbrunnen-analyse/map-deutschland-drinking-water.html, https://correlaid.github.io/trinkbrunnen-analyse/analysis-fountains-germany.html, https://github.com/CorrelAid/trinkbrunnen-analyse;a tip: tap e.V., CorrelAid e.V.;Abgeschlossen;Wir vergleichen Trinkbrunnen-Daten aus OpenStreetMap mit offiziellen Stadtzahlen und prüfen, wie vollständig die Metadaten zu Barrierefreiheit und Zugänglichkeit erfasst sind.;;CC-BY 4.0;https://correlaid.org/
https://correlaid.org/projekte/projektdatenbank/2023-10-ISH;Mithilfe von KI Wirkungsmessung skalieren;Web-App, KI-Anwendung, Maschinelles Lernen, Prozessautomatisierung, Wirkungsmessung, Datenanalyse, Automatisierung;Kinder- und Jugendhilfe, Bildung, Soziale Arbeit, Wohlfahrt, Partizipation;;In safe hands e.V., CorrelAid e.V.;Abgeschlossen;In safe hands e.V. will Wirkungsmessung skalieren. Wir entwickeln ein KI-Tool, das Interviewantworten kategorisiert – mit menschlicher Kontrolle für Datenqualität.;;CC-BY 4.0;https://correlaid.org/
https://correlaid.org/projekte/projektdatenbank/2021-04-SOS;Wertvolle Zeit sparen und Fehler vermeiden durch die Automatisierung von Prozessen;Prozessautomatisierung, Datenvisualisierung, Reporting, R-Paket, Datenanalyse, Automatisierung;Bildung, Technologie, Datenanalyse, Zivilgesellschaft;;Science on Stage e.V., CorrelAid e.V.;Abgeschlossen;Science on Stage kämpft mit Daten aus vielen Quellen. Wir automatisieren die Verarbeitung und machen Schluss mit fehleranfälligen manuellen Prozessen.;SonSD;CC-BY 4.0;https://correlaid.org/
https://correlaid.org/projekte/projektdatenbank/2024-09-CHW;Automatisiertes Monitoring von Zielgruppenentwicklung im Zeitverlauf;Monitoring, Prozessautomatisierung, Datenanalyse, Datenvisualisierung, Reporting;Kinder- und Jugendhilfe, Bildung, Soziale Arbeit;;Chancenwerk e.V., CorrelAid e.V.;Abgeschlossen;Chancenwerk befragt regelmäßig Kinder und Jugendliche, doch die Auswertung kostet viel Zeit. Wir automatisieren das Monitoring, damit mehr Raum für die eigentliche Arbeit bleibt.;;CC-BY 4.0;https://correlaid.org/
https://correlaid.org/projekte/projektdatenbank/2024-06-BAB;Automatisierte Fragebogenauswertung mit Generativer KI;Prozessautomatisierung, Maschinelles Lernen, Datenanalyse, KI-Anwendung;Soziale Arbeit, Stadt, Barrierefreiheit, Verkehr, Kinder- und Jugendhilfe;https://github.com/CorrelAid/workshop-babylotse, https://github.com/CorrelAid/workshop-babylotse/blob/main/data/Umfrage%20DE%20submissions%202024-07-31%2000_25.csv, https://github.com/CorrelAid/workshop-babylotse/;Babylotse, CorrelAid e.V.;Abgeschlossen;Babylotse Frankfurt befragt Familien zu ihren Bedürfnissen. Wir werten rund 1000 offene Antworten mit KI aus und machen Muster sichtbar.;;CC-BY 4.0;https://correlaid.org/
https://correlaid.org/projekte/projektdatenbank/2024-12-SIN;Automatisiertes Qualitätsmanagement für ein Mentoringprogramm;Datenvisualisierung, Reporting, Prozessautomatisierung, Datenanalyse, Monitoring;Bildung, Jugendarbeit, Soziale Arbeit, Chancengleichheit;;Sindbad, CorrelAid e.V.;Abgeschlossen;Sindbad befragt regelmäßig Mentees und Mentor*innen zur Programmqualität. Wir bauen ein Dashboard, das die Ergebnisse verständlich aufbereitet und flexibel anpassbar macht.;;CC-BY 4.0;https://correlaid.org/
https://correlaid.org/projekte/projektdatenbank/2023-12-DEM;Mit Daten zu transparenterer Demokratie;Web-App, Dashboard, Datenvisualisierung, Datenportal;Partizipation, Transparenz, Wahlen;https://civic-data.de/ein-wegweiser-fuer-die-demokratie/, https://karte.demokratie-wegweiser.de;Demokratie-Wegweiser, Civic Data Lab, CorrelAid e.V.;Abgeschlossen;Demokratische Prozesse auf lokaler Ebene sind oft schwer nachvollziehbar. Wir entwickeln einen Leitfaden, der Transparenz mit Daten greifbar macht.;;CC-BY 4.0;https://correlaid.org/
https://correlaid.org/projekte/projektdatenbank/2024-04-TEN;Output Monitoring durch Entwicklung und Implementierung eines Fragebogen mithilfe von Fokusgruppen;Monitoring, Reporting, Datenanalyse;Umfrage, Wirkungsmessung, Partizipation, Jugendarbeit;https://civic-data.de/output-monitoring-ten-sing/;CVJM-Gesamtverband in Deutschland e. V., Civic Data Lab, CorrelAid e.V.;Abgeschlossen;Wir entwickeln einen Fragebogen mit Fokusgruppen, um die Bedürfnisse der Community besser zu verstehen und datenbasierte Empfehlungen zu geben.;;CC-BY 4.0;https://correlaid.org/
https://correlaid.org/projekte/projektdatenbank/2024-03-PZA;Open Data aus Bürger- und Jugendbeteiligungsprojekten;Open Data, Datenportal, Datenvisualisierung, Web-App, Plattform, Partizipation;Jugendarbeit, Bildung, Stadt;https://civic-data.de/kommuki-open-data/;Politik zum Anfassen e.V., Civic Data Lab, CorrelAid e.V.;Abgeschlossen;Wir machen 6500 Jugend-Ideen aus Kommunalpolitik-Planspielen durchsuchbar und zeigen, welche davon tatsächlich umgesetzt wurden.;;CC-BY 4.0;https://correlaid.org/
https://correlaid.org/projekte/projektdatenbank/2024-03-LEM;Unterstützung des Relaunchs des Leerstandsmelders;Web-App, Dashboard;Wohnen, Stadt, Soziale Arbeit, Partizipation;https://civic-data.de/leerstandsmelder/, https://leerstandsmelder.de;Leerstandsmelder, Gängeviertel e.V., Civic Data Lab, CorrelAid e.V.;Abgeschlossen;Wohnungsnot sichtbar machen: Wir unterstützen den Relaunch des Leerstandsmelders, der in 41 Städten ungenutzten Wohnraum dokumentiert.;;CC-BY 4.0;https://correlaid.org/
https://correlaid.org/projekte/projektdatenbank/2024-11-LAF;Auswertung einer Umfrage zu KI im Ehrenamt;Datenanalyse, Datenvisualisierung, Bericht, Open-Source;KI, Soziale Arbeit, Wohlfahrt;https://digital-vereint.de/aktuelles/ki-anwendungen-im-ehrenamt-hype-oder-echter-nutzen/, https://github.com/CorrelAid/dv_ai_survey, https://civic-data.de/ki-ehrenamt/;Civic Data Lab, lagfa bayern, CorrelAid e.V.;Abgeschlossen;Wie nutzen bayerische Vereine KI im Ehrenamt? Wir werten eine Umfrage von digital verein(t) aus und visualisieren die Ergebnisse.;;CC-BY 4.0;https://correlaid.org/
https://correlaid.org/projekte/projektdatenbank/2025-01-SGC;Data Story mit Konstanzer Klima- und Wetterdaten;Web-App, Dashboard, Open-Source, Datenvisualisierung;Klima, Klimaschutz, Umweltschutz, Stadtplanung, Nachhaltigkeit, Open Data;https://stadtdaten.konstanz.digital/stadtklima/ , https://github.com/sgc-kn/dashboards;Smart Green City Konstanz, CorrelAid e.V.;Abgeschlossen;Offene Klima- und Wetterdaten aus Konstanz werden zur Data Story: Bürger*innen sehen, wie sich das Stadtklima verändert und wo Anpassungsmaßnahmen wirken.;;CC-BY 4.0;https://correlaid.org/
https://correlaid.org/projekte/projektdatenbank/2025-05-SIL;Improving and upgrading the Silbernetz dashboard;Dashboard, Web-App, Datenvisualisierung, Open-Source;Senioren, Soziale Arbeit, Wohlfahrt, Gesundheit;;Silbernetz e.V., CorrelAid e.V.;Abgeschlossen;Silbernetz e.V. nutzt ein Dashboard, das die Fundraising-Arbeit revolutioniert hat. Wir modernisieren die Codebasis und optimieren den Bereitstellungsprozess.;;CC-BY 4.0;https://correlaid.org/
https://correlaid.org/projekte/projektdatenbank/2025-05-CAS;Automatisierung von Berichten aus Evaluationsdaten;Prozessautomatisierung, Bericht, Datenvisualisierung, Interaktives Dashboard, Reporting;Bildung, Kinder- und Jugendhilfe, Soziale Arbeit, Chancengleichheit;;Coach@School, CorrelAid e.V.;Abgeschlossen;coach@school sammelt wertvolle Umfragedaten, aber die Auswertung kostet viel Zeit. Wir automatisieren die Berichte und machen sie visuell überzeugender.;;CC-BY 4.0;https://correlaid.org/
