Quelle;Projektname;Art;Einsatzbereich;Webseite-Link;Organisation;Status;Kurzzusammenfassung;Projekt-Abkürzung;Lizenz;Lizenz-Organisation
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/wasser-fur-den-hohen-flaeming-ki-basierte-entscheidungshilfe-fur-massnahmen-zu-wasserruckhalt-auf-landschaftsebene/1018;Wasser für den hohen Fläming - KI-basierte Entscheidungshilfe für Maßnahmen zu Wasserrückhalt auf Landschaftsebene;Entscheidungsassistent, KI Anwendung, Datenanalyse, Monitoring;Umweltschutz, Nachhaltigkeit, Katastrophenschutz, Landwirtschaft;;;In Planung;Der hohe Fläming ist eine der trockensten Orte Deutschlands und wir planen eine regionale, KI-basierte Entscheidungshilfe, die es ermöglicht sinnvolle landschaftliche Maßnahmen zum Wasserrückhalt und zur Vermeidung von Waldbränden in ihren Wirkungen und Kosten einzuschätzen.;;CC-BY-NC-ND 4.0;https://www.civic-coding.de
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/entrynavigator-der-wegbegleiter-fur-internationale-fachkraefte-nach-deutschland/1015;EntryNavigator - Der Wegbegleiter für internationale Fachkräfte nach Deutschland.;KI Anwendung, Interaktive App, Entscheidungsassistent, Large Language Model (LLM);Migration, Integration, Beratung, Arbeit;;Civic Coding;In Planung;Ein KI-gestützter Chatbot, der internationale Fachkräfte bei der Einreise und Arbeitssuche in Deutschland unterstützt, indem er bei Visumsanträgen und behördlichen Prozessen hilft, um Integration und Berufseinstieg zu erleichtern.;;CC-BY-NC-ND 4.0;https://www.civic-coding.de
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/ki/1014;KI²;KI Anwendung, Datenanwendung für Öffentlichkeit;Barrierefreiheit, Inklusion, Migration, Soziale Arbeit, Menschen mit Behinderung;https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/ki/1014;Civic Coding;In Weiterentwicklung;Das Vorhaben zielt darauf ab, künstliche Intelligenz (KI) in der sozialen Arbeit einzusetzen, um Barrieren für Menschen mit Behinderungen und Menschen mit Migrationsgeschichte abzubauen und einen barrierefreien Zugang zur sozialen Gesellschaft zu fördern. Die Idee besteht darin,;KI²;CC-BY-NC-ND 4.0;https://www.civic-coding.de
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/equal-work-hub/1012;Human Work Hub;KI Anwendung, Digitale Plattform, Matching;Geflüchtete, Migration, Integration, Umwelt, Umweltschutz;;Civic Coding;In Planung;KI-Job-Matching-Plattform für Immigrant:innen und Geflüchtete mit Unternehmen. Anonymisiert Herkunft,, Religion etc., um Bias zu vermeiden. Zusätzlich Fort-und Weiterbildungen besonders in umweltrelevanten Berufen. Startpunkt in der Solarbranche.;;CC-BY-NC-ND 4.0;https://www.civic-coding.de
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/ainsight/1011;AInsight;Interaktive App, KI Anwendung, Monitoring, Datenanwendung für Öffentlichkeit;Umwelt, Umweltschutz, Nachhaltigkeit;https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/ainsight/1011;;In Planung;Viele Nutzende haben kein Verständnis für die Klimaauswirkungen von digitalen Anwendungen. Wir wollen ein Browser-Plugin für ChatGPT implementieren, das die nutzende Person über dessen CO2-Emissionen aufklärt und somit ein Bewusstsein für Ressourcenverbräuche von KI schafft.;;CC-BY-NC-ND 4.0;https://www.civic-coding.de
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/helpmeai/1010;helpme.ai;KI Anwendung, Interaktive App, Entscheidungsassistent;Gesundheit, Soziale Arbeit, Armut, Teilhabe, Inklusion;;;In Planung;helpme.ai is an AI-powered chatbot, accessible through an app, designed to bridge the gap in healthcare access for socially disadvantaged communities. It simplifies the complexity of healthcare systems, providing immediate, personalized assistance.;;CC-BY-NC-ND 4.0;https://www.civic-coding.de
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/prisma3d-explain/1009;Prisma3D Explain;KI Anwendung, Interaktive App, Visualisierung, Datenanwendung für Öffentlichkeit;Jugendarbeit, Umwelt, Umweltschutz;;;In Planung;"Mit ""Prisma3D Explain"" erstellen Schüler*innen 3D-animierte Erklärvideos dank KI-gestütztem Motion Capture in nur 5 Minuten. Durch die App entwickeln Schüler*innen 3D-gestalterische Kompetenzen für umweltrelevante Berufe in den Bereichen Medien, Architektur und Ingenieurswesen.";;CC-BY-NC-ND 4.0;https://www.civic-coding.de
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/scan-your-trash/1008;Scan Your Trash;Analyse von Sensordaten und ML, Automatisierte Datenübermittlung, Crowd-Sourced Daten, Datenerhebung, Digitale Plattform, Interaktive App, KI Anwendung;Nachhaltigkeit, Umwelt, Umweltschutz;;Civic Coding;In Planung;Scan Your Trash denkt Recycling, Machine Learning und Aufklärung zusammen. Es wird eine Citizen-Science-App entwickelt, die es den Anwender*innen ermöglicht, ihren LVP-Abfall zu fotografieren und mit diesen Bildern menschliches und maschinelles Lernen zu verbinden.;;CC-BY-NC-ND 4.0;https://www.civic-coding.de
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/der-into-the-job-power-coach-itjo-poc/1007;Der Into-the-job-Power-Coach;KI Anwendung, Entscheidungsassistent, Interaktive App;Arbeit, Beratung, Chancengleichheit;;Civic Coding;In Weiterentwicklung;Itjo-Poc ist ein digitaler Trainer, der fit für Bewerbungsgespräche und den Beruf macht. Er beinhaltet verschiedene Jobprofile und Schwierigkeitsgrade („zugewandter“ bis offen ablehnender, sozialen und beruflichen Hintergrund des Bewerbenden angreifender Gesprächsführender.);Itjo-Poc;CC-BY-NC-ND 4.0;https://www.civic-coding.de
https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/predictive-maintanance-fur-den-foodcube-ein-aquaponik-lehrsystem-fur-umwelttechnologische-nachwuchsfoerderung/1006;"Predictive maintanance für den ""Foodcube"", ein Aquaponik-Lehrsystem für umwelttechnologische Nachwuchsförderung";Analyse von Sensordaten und ML, KI Anwendung;Umwelt, Umweltschutz, Landwirtschaft;;;In Planung;In der Aquaponik gedeihen Fische und Pflanzen in einem ressourcensparenden Kreislaufsystem. Der Foodcube bringt diese zukunftsweisende Agrar- und Umwelttechnologie an Schulen. Mit einem Predictive-Maintenance-Ansatz kann der komplexe Betrieb stabiler gestaltet werden.;;CC-BY-NC-ND 4.0;https://www.civic-coding.de
