Index,Quelle,Projektname,Einsatzbereich,Webseite-Link,Organisation,Status,Kurzzusammenfassung,Lizenz,Lizenz-Organisation
0,https://citylab-berlin.org/de/projects/baergpt/,BärGPT,"DE, Digitale Zusammenarbeit, Neue Technologien",https://citylab-berlin.org/de/projects/baergpt/,CityLAB Berlin,In Planung,Der KI-Assistent für die Berliner Landesverwaltung.,CC-BY 4.0,https://citylab-berlin.org
1,https://citylab-berlin.org/de/projects/fairgnuegen/,Fairgnügen,"DE, Digitale Zusammenarbeit, Innovative Verwaltung, Prototyping",https://citylab-berlin.org/de/projects/fairgnuegen/,CityLAB Berlin,In Planung,Unsere neue Webseite hilft bei der Suche nach über 400 kostenlosen und ermäßigten Angeboten.,CC-BY 4.0,https://citylab-berlin.org
2,https://citylab-berlin.org/de/projects/parla/,Parla,"DE, Digitale Zusammenarbeit, Innovative Verwaltung, Neue Technologien",https://citylab-berlin.org/de/projects/parla/,CityLAB Berlin,In Planung,Das neue KI-Tool Parla macht Schriftliche Anfragen durchsuchbar. ,CC-BY 4.0,https://citylab-berlin.org
3,https://citylab-berlin.org/de/projects/kiezlabor/,Kiezlabor,"DE, Digitale Zusammenarbeit, Innovative Verwaltung, Offene Daten, offene Städte, Smart Cities für alle",https://citylab-berlin.org/de/projects/kiezlabor/,CityLAB Berlin,In Planung,Das Kiezlabor bringt den prototypischen Ansatz des CityLAB Berlin in die Kieze.,CC-BY 4.0,https://citylab-berlin.org
4,https://citylab-berlin.org/de/projects/data-hub-berlin/,Data Hub Berlin  ,"DE, Innovative Verwaltung, Offene Daten, Open Source",https://citylab-berlin.org/de/projects/data-hub-berlin/,CityLAB Berlin,In Planung,Die zentrale Plattform für ein bessere Wertschöpfung der Berliner Datenschätze. ,CC-BY 4.0,https://citylab-berlin.org
5,https://citylab-berlin.org/de/projects/partizipation-digital/,Partizipation Digital ,"DE, Digitale Zusammenarbeit, Innovative Verwaltung",https://citylab-berlin.org/de/projects/partizipation-digital/,CityLAB Berlin,In Planung,Eine prototypische Lösung soll den Ankunftsprozess unterstützen und verbessern.,CC-BY 4.0,https://citylab-berlin.org
6,https://citylab-berlin.org/de/projects/govtech-testlab/,GovTech TestLAB,"DE, Digitale Zusammenarbeit, Innovative Verwaltung, Open Source",https://citylab-berlin.org/de/projects/govtech-testlab/,CityLAB Berlin,In Planung,"Wir schaffen einen Raum, in dem Lösungen ausprobiert und bewertet werden können.",CC-BY 4.0,https://citylab-berlin.org
7,https://citylab-berlin.org/de/projects/stadtlabor2go/,Stadtlabor2Go,"DE, Digitale Zusammenarbeit, Innovative Verwaltung, Offene Daten, offene Städte",https://citylab-berlin.org/de/projects/stadtlabor2go/,CityLAB Berlin,In Planung,"Stadtlabor2Go zeigt, wie Städte Digitalisierung gemeinsam voranbringen können.",CC-BY 4.0,https://citylab-berlin.org
8,https://citylab-berlin.org/de/projects/giess-den-kiez/,Gieß den Kiez,"DE, Energie und Nachhaltigkeit, Offene Daten, offene Städte",https://citylab-berlin.org/de/projects/giess-den-kiez/,CityLAB Berlin,In Planung,Gieß den Kiez ist eine Plattform zur Koordinierung der Bewässerung der Berliner Bäume.,CC-BY 4.0,https://citylab-berlin.org
9,https://citylab-berlin.org/de/projects/klimadashboard-xhain/,KlimaDashboard Xhain,"DE, Digitale Zusammenarbeit, Energie und Nachhaltigkeit, Innovative Verwaltung",https://citylab-berlin.org/de/projects/klimadashboard-xhain/,CityLAB Berlin,In Planung,Mit dem Klimadashboard werden Klimadaten transparen.,CC-BY 4.0,https://citylab-berlin.org
