Quelle;Projektname;Einsatzbereich;Webseite-Link;Organisation;Status;Kurzzusammenfassung;Lizenz;Lizenz-Organisation;Projekt-Abkürzung;Art
https://citylab-berlin.org/de/projects/baergpt/;BärGPT;Verwaltung, Öffentliche Verwaltung, Berliner Landesverwaltung;https://citylab-berlin.org/de/projects/baergpt/;CityLAB Berlin;In Planung;Der KI-Assistent für die Berliner Landesverwaltung.;?;https://citylab-berlin.org;BärGPT;KI-Anwendung, Chatbot, Dokumentenverwaltung
https://citylab-berlin.org/de/projects/fairgnuegen/;Fairgnügen;Arbeit mit Kindern, Armut, Barrierefreiheit, Beratung, Chancengleichheit, Demokratie, Demenz, Datenschutz, Energie, Ethik, Evaluation, Frauen, Fundraising, Geflüchtete, Genderneutrale Sprache, Gleichberechtigung, Gleichstellung, Gesundheit, Humanitäre Hilfe, Indien, Inklusion, Integration, International, Jugendarbeit, Jugendbeteiligung, Jugendhilfe, Kamerun, Katastrophenschutz, Kältehilfe, Kinderschutz, Kinder- und Jugendhilfe, KI, Kongo, Kroatien, Landwirtschaft, Meeresschutz, Mentale Gesundheit, Mentoring, Menschen mit Behinderung, Menschenrechte, Migration, Migrationsberatung, Nachhaltigkeit, Offene Daten, Partizipation, Patenschaft, Pflege, Pflegende Angehörige, Queere Sichtbarkeit, Rettungsdienst, Senioren, Soziale Arbeit, Sport, Stadt, Stadtplanung, Teilhabe, Telemedizin, Transparenz, Türkei, Umwelt, Umweltschutz, Vernetzung, Verwaltung, Wirkungsmessung, Wohlfahrt, Wohnen, Wohnungslosenhilfe, Wissensmanagement;https://citylab-berlin.org/de/projects/fairgnuegen/;CityLAB Berlin;In Planung;Unsere neue Webseite hilft bei der Suche nach über 400 kostenlosen und ermäßigten Angeboten.;?;https://citylab-berlin.org;Fairgnügen;Analyse von Sensordaten und ML, Automatisierte Datenübermittlung, Beratung, Dashboard, Datenanalyse, Datenerhebung, Datenanwendung für Öffentlichkeit, Datenstandards, Datensatz und Visualisierung, Digitale Plattform, Entscheidungsassistent, Interaktive App, Interaktive Karte, Interaktiver Fragebogen, Interne Datenanwendung, KI Anwendung, Karte, Knowledge Graph, Large Language Model (LLM), Matching, Monitoring, Offene Daten, Output Monitoring, Plattform für Wahlentscheidungen, Prozessautomatisierung, Reporting, Skalierung der Wirkungsmessung, Sprach-Editor, Umfrage, Übersetzungsassistent, Vernetzungsassistent, Verzeichnis / Karte, Visualisierung mit Karten, Zugänglichkeit Offene Daten des Statistischen Bundesamts
https://citylab-berlin.org/de/projects/parla/;Parla;Verwaltung, Politik, Informationsmanagement;https://citylab-berlin.org/de/projects/parla/;CityLAB Berlin;In Planung;Das neue KI-Tool Parla macht Schriftliche Anfragen durchsuchbar. ;?;https://citylab-berlin.org;Parla;KI-Anwendung, Wissensmanagement, Verwaltungsdokumente
https://citylab-berlin.org/de/projects/kiezlabor/;Kiezlabor;Berlin, Deutschland, Urban Development, Community Engagement;https://citylab-berlin.org/de/projects/kiezlabor/;CityLAB Berlin;In Planung;Das Kiezlabor bringt den prototypischen Ansatz des CityLAB Berlin in die Kieze.;?;https://citylab-berlin.org;Kiezlabor;Partizipation, Stadtplanung, Bürgerbeteiligung, Smart City, Digitalisierung
https://citylab-berlin.org/de/projects/data-hub-berlin/;Data Hub Berlin  ;Verwaltung, Stadtentwicklung, Forschung;https://citylab-berlin.org/de/projects/data-hub-berlin/;CityLAB Berlin;In Planung;Die zentrale Plattform für ein bessere Wertschöpfung der Berliner Datenschätze. ;?;https://citylab-berlin.org;Data Hub Berlin;Datenplattform, Open-Source, Datenmanagement, ETL-Prozesse, Visualisierung
https://citylab-berlin.org/de/projects/partizipation-digital/;Partizipation Digital ;Integration, Partizipation, Migration, Inklusion, Chancengleichheit, Gleichberechtigung, Gleichstellung, Gesundheit, Humanitäre Hilfe, Nachhaltigkeit, Offene Daten, Transparenz, Verwaltung, Wirkungsmessung, Wohlfahrt, Wohnen;https://citylab-berlin.org/de/projects/partizipation-digital/;CityLAB Berlin;In Planung;Eine prototypische Lösung soll den Ankunftsprozess unterstützen und verbessern.;?;https://citylab-berlin.org;PaDi;Digitale Plattform, Interaktive App, Interaktive Karte, Interaktiver Fragebogen, KI Anwendung, Large Language Model (LLM), Matching, Monitoring, Offene Daten, Output Monitoring, Plattform für Wahlentscheidungen, Prozessautomatisierung, Reporting, Skalierung der Wirkungsmessung, Sprach-Editor, Umfrage, Übersetzungsassistent, Vernetzungsassistent, Verzeichnis / Karte, Visualisierung mit Karten, Zugänglichkeit Offene Daten des Statistischen Bundesamts.
https://citylab-berlin.org/de/projects/govtech-testlab/;GovTech TestLAB;Berliner Verwaltung, Öffentliche Verwaltung, Digitalisierung;https://citylab-berlin.org/de/projects/govtech-testlab/;CityLAB Berlin;In Planung;Wir schaffen einen Raum, in dem Lösungen ausprobiert und bewertet werden können.;?;https://citylab-berlin.org;GovTech TestLAB;Testlabor, GovTech-Anwendungen, Verwaltungsdigitalisierung
https://citylab-berlin.org/de/projects/stadtlabor2go/;Stadtlabor2Go;Arbeit mit Kindern, Armut, Barrierefreiheit, Beratung, Chancengleichheit, Demokratie, Demenz, Datenschutz, Energie, Ethik, Evaluation, Frauen, Fundraising, Geflüchtete, Genderneutrale Sprache, Gleichberechtigung, Gleichstellung, Gesundheit, Humanitäre Hilfe, Indien, Inklusion, Integration, International, Jugendarbeit, Jugendbeteiligung, Jugendhilfe, Kamerun, Katastrophenschutz, Kältehilfe, Kinderschutz, Kinder- und Jugendhilfe, KI, Kongo, Kroatien, Landwirtschaft, Meeresschutz, Mentale Gesundheit, Mentoring, Menschen mit Behinderung, Menschenrechte, Migration, Migrationsberatung, Nachhaltigkeit, Offene Daten, Partizipation, Patenschaft, Pflege, Pflegende Angehörige, Queere Sichtbarkeit, Rettungsdienst, Senioren, Soziale Arbeit, Sport, Stadt, Stadtplanung, Teilhabe, Telemedizin, Transparenz, Türkei, Umwelt, Umweltschutz, Vernetzung, Verwaltung, Wirkungsmessung, Wohlfahrt, Wohnen, Wohnungslosenhilfe, Wissensmanagement;https://citylab-berlin.org/de/projects/stadtlabor2go/;CityLAB Berlin;In Planung;Stadtlabor2Go zeigt, wie Städte Digitalisierung gemeinsam voranbringen können.;?;https://citylab-berlin.org;;Analyse von Sensordaten und ML, Automatisierte Datenübermittlung, Bericht, Crowd-Sourced Daten, Dashboard, Datenanalyse, Datenerhebung, Datenanwendung für Öffentlichkeit, Datenstandards, Datensatz und Visualisierung, Digitale Plattform, Dokumentations- und Netzwerktool, Entscheidungsassistent, Festival und Studie, Generative KI, Interaktive App, Interaktive Karte, Interaktiver Fragebogen, Interne Datenanwendung, KI Anwendung, Karte, Knowledge Graph, Large Language Model (LLM), Matching, Monitoring, Offene Daten, Output Monitoring, Plattform für Wahlentscheidungen, Prozessautomatisierung, Reporting, Skalierung der Wirkungsmessung, Sprach-Editor, Umfrage, Übersetzungsassistent, Vernetzungsassistent, Verzeichnis / Karte, Visualisierung mit Karten, Zugänglichkeit Offene Daten des Statistischen Bundesamts
https://citylab-berlin.org/de/projects/giess-den-kiez/;Gieß den Kiez;Umweltschutz, Klimaschutz, Stadtplanung, Partizipation;https://citylab-berlin.org/de/projects/giess-den-kiez/;CityLAB Berlin;In Planung;Gieß den Kiez ist eine Plattform zur Koordinierung der Bewässerung der Berliner Bäume.;?;https://citylab-berlin.org;Gieß den Kiez;Interaktive Plattform, Open Data, Datensatz und Visualisierung
https://citylab-berlin.org/de/projects/klimadashboard-xhain/;KlimaDashboard Xhain;Klimaschutz, Stadtplanung, Bürgerbeteiligung, Umweltschutz;https://citylab-berlin.org/de/projects/klimadashboard-xhain/;CityLAB Berlin;In Planung;Mit dem Klimadashboard werden Klimadaten transparen.;?;https://citylab-berlin.org;KlimaDashboard Xhain;Interaktive Visualisierung, Datenanalyse, Klimaschutz, Anpassung an den Klimawandel
https://citylab-berlin.org/de/projects/hilf-mir-berlin/;Hilf-Mir.Berlin;Gesundheit, mentale Gesundheit, psychosoziale Beratung;https://citylab-berlin.org/de/projects/hilf-mir-berlin/;CityLAB Berlin;In Planung;Hilf-Mir.Berlin fasst das Angebot von über 200 Beratungsstellen erstmals übersichtlich zusammen. ;?;https://citylab-berlin.org;Hilf-Mir.Berlin;Interaktive Karte, Beratung, psychosoziale Hilfe
https://citylab-berlin.org/de/projects/talking-treebot/;Talking Treebot;Bildung, Nachhaltigkeit, Umweltschutz;https://citylab-berlin.org/de/projects/talking-treebot/;CityLAB Berlin;In Planung;Der Talking Treebot gibt den Berliner Stadtbäumen mit Hilfe von Künstlicher Intelligenz eine Stimme.;?;https://citylab-berlin.org;Talking Treebot;Interaktive App, KI Anwendung, Umweltsensor
https://citylab-berlin.org/de/projects/buergeramt-der-zukunft-tagebuchstudie/;Bürgeramt der Zukunft;Berlin, Antidiskriminierung, Antirassismus, Arbeit mit Kindern, Armut, Barrierefreiheit, Beratung, Chancengleichheit, Demokratie, Demenz, Datenschutz, Energie, Ethik, Evaluation, Frauen, Fundraising, Geflüchtete, Genderneutrale Sprache, Gleichberechtigung, Gleichstellung, Gesundheit, Humanitäre Hilfe, Indien, Inklusion, Integration, International, Jugendarbeit, Jugendbeteiligung, Jugendhilfe, Kamerun, Katastrophenschutz, Kältehilfe, Kinderschutz, Kinder- und Jugendhilfe, KI, Kongo, Kroatien, Landwirtschaft, Meeresschutz, Mentale Gesundheit, Mentoring, Menschen mit Behinderung, Menschenrechte, Migration, Migrationsberatung, Nachhaltigkeit, Offene Daten, Partizipation, Patenschaft, Pflege, Pflegende Angehörige, Queere Sichtbarkeit, Rettungsdienst, Senioren, Soziale Arbeit, Sport, Stadt, Stadtplanung, Teilhabe, Telemedizin, Transparenz, Türkei, Umwelt, Umweltschutz, Vernetzung, Verwaltung, Wirkungsmessung, Wohlfahrt, Wohnen, Wohnungslosenhilfe, Wissensmanagement;https://citylab-berlin.org/de/projects/buergeramt-der-zukunft-tagebuchstudie/;CityLAB Berlin;In Planung;Das Ziel des Projekts Bürgeramt der Zukunft ist es, ein tieferes Verständnis für die Arbeit und die Abläufe in der Verwaltung zu erhalten und diese hinsichtlich ihrer Nutzer:innenorientierung zu verbessern.;?;https://citylab-berlin.org;;Analyse von Sensordaten und ML, Automatisierte Datenübermittlung, Bericht, Datenanalyse, Datenerhebung, Datenanwendung für Öffentlichkeit, Datenstandards, Datensatz und Visualisierung, Digitale Plattform, Dokumentations- und Netzwerktool, Entscheidungsassistent, Interaktive App, Interaktive Karte, Interaktiver Fragebogen, Interne Datenanwendung, KI Anwendung, Karte, Knowledge Graph, Large Language Model (LLM), Matching, Monitoring, Offene Daten, Output Monitoring, Plattform für Wahlentscheidungen, Prozessautomatisierung, Reporting, Skalierung der Wirkungsmessung, Sprach-Editor, Umfrage, Übersetzungsassistent, Vernetzungsassistent, Verzeichnis / Karte, Visualisierung mit Karten, Zugänglichkeit Offene Daten des Statistischen Bundesamts
https://citylab-berlin.org/de/projects/citylab-roadshow/;CityLAB Roadshow;Berlin, Verwaltung, Öffentliche Verwaltung, Bezirksverwaltungen, Senatsverwaltungen;https://citylab-berlin.org/de/projects/citylab-roadshow/;CityLAB Berlin;In Planung;Das CityLAB Berlin kommt zum Hausbesuch.;?;https://citylab-berlin.org;;Verwaltungsinnovation, Digitalisierung, Service Design, Innovationsprojekte, Begleitung von Innovationsprojekten, Service Design für die Verwaltung, Nutzer:innenzentrierung, Methodenvermittlung, Wissensvermittlung, Teach the Trainer
https://citylab-berlin.org/de/projects/berliner-energiecheckpoint/;Berliner EnergieCheckpoint;Energie, Klimaschutz, Nachhaltigkeit;https://citylab-berlin.org/de/projects/berliner-energiecheckpoint/;CityLAB Berlin;In Planung;Der EnergieCheckpoint zeigt Daten zum Energieverbrauch öffentlicher Gebäude.;?;https://citylab-berlin.org;Berliner EnergieCheckpoint;Interaktive Karte, Datenanalyse, Energie
