Quelle;Projektname;Art;Einsatzbereich;Webseite-Link;Status;Kurzzusammenfassung;Organisation;Projekt-Abkürzung
https://citylab-berlin.org/de/projects/baergpt/;BärGPT;KI Anwendung, Generative KI, Large Language Model (LLM), Datenanalyse, Automatisierte Datenübermittlung, Entscheidungsassistent, Interaktive App, Dokumentations- und Netzwerktool, Wissensmanagement;Verwaltung, Datenschutz, Digitale Souveränität, Wissensmanagement;https://citylab-berlin.org/de/projects/baergpt/;In Weiterentwicklung;BärGPT ist ein KI-Assistent, der speziell für die Berliner Landesverwaltung entwickelt wurde, um Verwaltungsmitarbeitende bei Routineaufgaben wie Textbearbeitung, Recherche und E-Mail-Beantwortung zu entlasten. Er nutzt Open-Source-Komponenten und eine sichere Dokumentenverwaltung für den Einsatz in der öffentlichen Verwaltung.;CityLAB Berlin, Senatskanzlei Berlin, Technologiestiftung Berlin;BärGPT
https://citylab-berlin.org/de/projects/data-hub-berlin/;Data Hub Berlin;Digitale Plattform, Datenanalyse, Datenerhebung, Visualisierung mit Karten, Prozessautomatisierung, Offene Daten, Wissensmanagement;Stadt, Stadtplanung, Verwaltung, Transparenz, Offene Daten, Wissensmanagement;https://citylab-berlin.org/de/projects/data-hub-berlin/;In Weiterentwicklung;Der Data Hub Berlin ist eine zentrale Plattform, die von der Technologiestiftung Berlin im Auftrag der Berliner Senatskanzlei entwickelt wird, um städtische Verwaltungsdaten einfacher nutzbar zu machen. Ziel ist es, Open-Source-Komponenten zu integrieren, Datenmanagement und Visualisierung zu verbessern und die Datenkompetenz der Verwaltung zu stärken.;Technologiestiftung Berlin, Berliner Senatskanzlei;
https://citylab-berlin.org/de/projects/partizipation-digital/;Partizipation Digital;Digitale Plattform, Interaktive App, Datenanalyse, Barrierefreiheit;Migration, Integration, Partizipation, Barrierefreiheit;https://www.berlin.de/lb/intmig/programme-und-praktische-hilfen/partizipation-digital/, https://minor-kontor.de/partizipation-digital/;In Weiterentwicklung;Partizipation Digital ist ein Projekt zur Entwicklung eines digitalen Willkommenszentrums für neu zugewanderte Menschen in Berlin. Es zielt darauf ab, den Ankunftsprozess zu vereinfachen, den Zugang zu Informationen zu erleichtern und Beratungsstellen zu entlasten.;CityLAB Berlin, Beauftragte des Berliner Senats für Partizipation, Integration und Migration, Minor Kontor;PaDi
https://citylab-berlin.org/de/projects/govtech-testlab/;GovTech TestLAB;Evaluation, Datenanalyse, Entscheidungsassistent, KI Anwendung;Verwaltung, Digitalisierung, KI, Smart City, Stadt, Nachhaltigkeit;https://citylab-berlin.org/de/projects/govtech-testlab/;In Weiterentwicklung;Das GovTech TestLAB ist ein Raum, in dem Verwaltungsmitarbeitende digitale Lösungen ausprobieren und bewerten können, um die Berliner Verwaltungsdigitalisierung zu unterstützen. Es hilft bei der Auswahl und Evaluation von GovTech-Produkten, die in Berlin zum Einsatz kommen könnten.;CityLAB Berlin, Open Source Kompetenzzentrum (OSK) im ITDZ Berlin;
https://citylab-berlin.org/de/projects/stadtlabor2go/;Stadtlabor2Go;Digitale Plattform, Vernetzung, Partizipation, Wissensmanagement, Datenanwendung für Öffentlichkeit, Entscheidungsassistent;Stadt, Verwaltung, Partizipation, Digitalisierung, Smart City, Nachhaltigkeit;https://citylab-berlin.org/de/projects/stadtlabor2go/, https://zukunftswerk.wiesbaden.de/, https://www.moenchengladbach.de/de/aktuell-aktiv/newsroom/das-neue-stadtlabormg-sorgt-fuer-digitale-bildung-und-beteiligung-rund-um-die-digitalisierung-der-stadt;In Weiterentwicklung;Stadtlabor2Go fördert interkommunale Zusammenarbeit, um niedrigschwellige Innovationsorte in Städten wie Mönchengladbach und Wiesbaden aufzubauen. Es bindet Bürger:innen aktiv in digitale Stadtentwicklungsprozesse ein und teilt Wissen zur nutzerzentrierten Verwaltung.;Technologiestiftung Berlin (CityLAB), Stadt Mönchengladbach (Smart City-Team), Landeshauptstadt Wiesbaden (Digitale Stadtentwicklung), Hochschule Fresenius, Technische Hochschule Köln;
https://citylab-berlin.org/de/projects/fairgnuegen/;Fairgnügen;Digitale Plattform, Interaktive App, Interaktive Karte, Datenanwendung für Öffentlichkeit, Datenerhebung, Offene Daten;Armut, Barrierefreiheit, Teilhabe, Soziale Arbeit, Gleichstellung, Integration, Antidiskriminierung, Offene Daten, Stadt;https://fairgnuegen.berlin.de/;In Weiterentwicklung;Fairgnügen ist eine barrierefreie, intuitive Web-Anwendung, die Berliner:innen mit geringem Einkommen hilft, ermäßigte oder kostenfreie Kultur-, Bildungs- und Freizeitangebote zu finden.;CityLAB Berlin, Senatsverwaltung für Arbeit, Soziales, Gleichstellung, Integration, Vielfalt und Antidiskriminierung (SenASGIVA), Berlin Online, Jugendkulturservice, Landesredaktion / Koordinierung berlin.de in der Senatskanzlei;
https://citylab-berlin.org/de/projects/kiezlabor/;Kiezlabor Berlin;Datenerhebung, Workshops, Vernetzungsassistent;Berlin, Demokratie, Partizipation, Stadt, Stadtplanung, Verwaltung, Vernetzung;https://kiezlabor.de/;In Betrieb;Das Kiezlabor Berlin ist ein mobiles Stadtlabor, das Bürger:innen und Verwaltung durch partizipative Ansätze zusammenbringt, um die Zukunft der Kieze vor Ort zu gestalten und die Zusammenarbeit zu stärken.;CityLAB Berlin, Technologie Stiftung Berlin, Senatskanzlei Berlin;
https://citylab-berlin.org/de/projects/giess-den-kiez/;Gieß den Kiez;Interaktive Plattform, Karte, Crowd-Sourced Daten, Offene Daten, Visualisierung mit Karten, Datenerhebung, Datenanwendung für Öffentlichkeit;Umweltschutz, Nachhaltigkeit, Stadtplanung, Partizipation, Offene Daten;https://www.giessdenkiez.de/;In Weiterentwicklung;Gieß den Kiez ist eine interaktive Plattform, die Bürgerinnen und Bürger dabei unterstützt, Berliner Stadtbäume zu bewässern. Sie visualisiert den Wasserbedarf der Bäume auf einer Karte und fördert die ehrenamtliche Mithilfe zur Pflege der städtischen Grünflächen.;CityLAB Berlin;
https://citylab-berlin.org/de/projects/parla/;Parla;KI Anwendung, Large Language Model (LLM), Wissensmanagement, Datenanalyse, Digitale Plattform, Entscheidungsassistent, Offene Daten;Verwaltung, Demokratie, Transparenz, Offene Daten, Partizipation, Wissensmanagement;https://www.parla.berlin;In Weiterentwicklung;Parla ist ein KI-Tool, das öffentlich verfügbare Schriftliche Anfragen und weitere Verwaltungsdokumente durchsuchbar macht. Es nutzt Large Language Models (LLM), um Kurzantworten zu generieren und so Bürgern, Parlament und Verwaltung den Zugang zu Informationen zu erleichtern.;CityLAB Berlin, Abgeordnetenhaus Berlin, Senatskanzlei Berlin, Technologiestiftung Berlin;
https://citylab-berlin.org/de/projects/klimadashboard-xhain/;KlimaDashboard Xhain;Dashboard, Datenanalyse, Visualisierung mit Karten, Datenanwendung für Öffentlichkeit;Klima, Klimaschutz, Nachhaltigkeit, Partizipation, Stadtplanung, Transparenz;https://klima-dashboard-xhain.vercel.app/climate-strategies/, https://klima-dashboard-xhain.vercel.app/current-projects/;In Weiterentwicklung;Das KlimaDashboard Xhain macht Klimadaten transparent, indem es aktuelle Klima- und Emissionsdaten des Bezirks Friedrichshain-Kreuzberg sichtbar macht. Es bereitet Informationen zugänglich und visuell auf, um Handlungsbedarfe aufzuzeigen und bürgerschaftliches Engagement sowie politische Entscheidungen im Bereich Klimaschutz zu fördern.;CityLAB Berlin, Klimateam Bezirksamt Friedrichshain-Kreuzberg;
