Index;Quelle;Projektname;Einsatzbereich;Webseite-Link;Organisation;Status;Kurzzusammenfassung;Lizenz;Lizenz-Organisation;data_source;Projekt-Abkürzung;Art
0;https://citylab-berlin.org/de/projects/beyond-forms/;Beyond Forms;Stadt, Inklusion;http://google.org/;CityLAB Berlin;Laufend;KI-Agenten für Antragsprozesse der Zukunft – einfacher, schneller, zugänglicher;CC BY-NC-SA;https://citylab-berlin.org;CityLAB Berlin;;Forschung, Open-Source, Prozessautomatisierung, KI Anwendung
1;https://citylab-berlin.org/de/projects/baergpt/;BärGPT;Verwaltung, Arbeit;https://citylab-berlin.org/de/blog/baergpt-technischer-deep-dive-ki-assistenten-berliner-verwaltung/, https://citylab-berlin.org/de/blog/baergpt-der-neue-ki-assistent-fuer-die-berliner-verwaltung/;CityLAB Berlin;Laufend;Der KI-Assistent für die Berliner Landesverwaltung.;CC BY-NC-SA;https://citylab-berlin.org;CityLAB Berlin;BärGPT;KI Anwendung, Prozessautomatisierung, Open-Source
2;https://citylab-berlin.org/de/projects/fairgnuegen/;Fairgnügen;Armut, Kultur, Sport, Bildung, Stadt, Inklusion, Barrierefreiheit;https://fairgnuegen.berlin.de/;CityLAB Berlin;Laufend;Unsere neue Webseite hilft bei der Suche nach über 400 kostenlosen und ermäßigten Angeboten.;CC BY-NC-SA;https://citylab-berlin.org;CityLAB Berlin;;Plattform, Web-App, Interaktive Karte, Datenanwendung für Öffentlichkeit, Open Data
3;https://citylab-berlin.org/de/projects/parla/;Parla;Verwaltung, Transparenz, Datenanalyse, Wahlen;https://www.parla.berlin, https://citylab-berlin.org/de/blog/parla-technische-entwicklung-des-neuen-ki-tools/, https://citylabberlin.typeform.com/to/kCdnCgvC#product=parla, https://github.com/technologiestiftung/parla-frontend, https://citylab-berlin.org/de/wissensspeicher-glossar/, https://pardok.parlament-berlin.de/portala/browse.tt.html;CityLAB Berlin;Laufend;Das neue KI-Tool Parla macht Schriftliche Anfragen durchsuchbar. ;CC BY-NC-SA;https://citylab-berlin.org;CityLAB Berlin;;KI Anwendung, Prototyping, Web-App
4;https://citylab-berlin.org/de/projects/kiezlabor/;Kiezlabor;Berlin, Stadtplanung, Vernetzung, Zivilgesellschaft, Umweltschutz, Nachhaltigkeit, Technologie;https://kiezlabor.de/was-wir-machen/, https://kiezlabor.de/kiezpartner/, https://kiezlabor.de/veranstaltungsorte/, https://kiezlabor.de/kiezpartner/#kontakt;CityLAB Berlin;Laufend;Das Kiezlabor bringt den prototypischen Ansatz des CityLAB Berlin in die Kieze.;CC BY-NC-SA;https://citylab-berlin.org;CityLAB Berlin;;Partizipation, Workshops, Plattform, Vernetzung, Monitoring, Datenvisualisierung, Interaktive Datenexploration
5;https://citylab-berlin.org/de/projects/data-hub-berlin/;Data Hub Berlin  ;Stadt, Stadtplanung, Verwaltung, Datenanalyse, Transparenz;https://data-hub.berlin/;CityLAB Berlin;Laufend;Die zentrale Plattform für ein bessere Wertschöpfung der Berliner Datenschätze. ;CC BY-NC-SA;https://citylab-berlin.org;CityLAB Berlin;;Open-Source, Datenportal, Datenmanagement, Datenvisualisierung, Datenstandards, Plattform, Open Data
6;https://citylab-berlin.org/de/projects/partizipation-digital/;Partizipation Digital ;Migration, Integration, Flucht und Migration, Inklusion, Soziale Arbeit, Stadt;https://minor-kontor.de/partizipation-digital/, https://www.berlin.de/lb/intmig/programme-und-praktische-hilfen/partizipation-digital/;CityLAB Berlin;Laufend;Eine prototypische Lösung soll den Ankunftsprozess unterstützen und verbessern.;CC BY-NC-SA;https://citylab-berlin.org;CityLAB Berlin;PaDi;Plattform, Prototyp, Explorative Analyse, Interaktive Datenexploration
7;https://citylab-berlin.org/de/projects/govtech-testlab/;GovTech TestLAB;Verwaltung, Klima, Klimaschutz, Open Source, KI;https://citylab-berlin.org/de/blog/digitale-souveraenitaet-fuer-die-berliner-verwaltung/, https://citylab-berlin.org/de/blog/warum-gute-produkttests-wie-eine-abenteuerliche-seefahrt-sind/, https://citylab-berlin.org/de/blog/govtech-scouting-unser-testlabor-fuer-die-berliner-verwaltung/;CityLAB Berlin;Laufend;Wir schaffen einen Raum, in dem Lösungen ausprobiert und bewertet werden können.;CC BY-NC-SA;https://citylab-berlin.org;CityLAB Berlin;;Plattform, Workshops, KI Anwendung, Beratung, Prozessautomatisierung, Datenanalyse, Datenvisualisierung
8;https://citylab-berlin.org/de/projects/stadtlabor2go/;Stadtlabor2Go;Stadt, Demokratie, Inklusion, Nachhaltigkeit, Zivilgesellschaft;https://citylab-berlin.org/de/projects/labcamp/, https://citylab-berlin.org/de/blog/theorie-trifft-realitaet-warum-prozesse-selten-so-ablaufen-wie-geplant/, https://zukunftswerk.wiesbaden.de/, https://citylab-berlin.org/de/blog/prototyping-im-stadtraum/, https://www.wiesbaden.de/wirtschaft/wirtschaftsstandort/zukunftswerk.php, https://www.egovernment.de/nutzerzentrierte-digitalisierung-im-stadtlabor2go-a-c21179e2f18ba56f79f015e7d74f5da8/, https://citylab-berlin.org/en/newsletter, https://citylab-berlin.org/de/blog/digitale-souveraenitaet-fuer-die-berliner-verwaltung/, https://kiezlabor.de/, https://citylab-berlin.org/de/wissensspeicher/, https://www.moenchengladbach.de/de/aktuell-aktiv/newsroom/das-neue-stadtlabormg-sorgt-fuer-digitale-bildung-und-beteiligung-rund-um-die-digitalisierung-der-stadt, https://gemeinsamdigital.berlin.de/de/;CityLAB Berlin;Laufend;Stadtlabor2Go zeigt, wie Städte Digitalisierung gemeinsam voranbringen können.;CC BY-NC-SA;https://citylab-berlin.org;CityLAB Berlin;Stadtlabor2Go;Workshops, Vernetzung, Plattform
9;https://citylab-berlin.org/de/projects/giess-den-kiez/;Gieß den Kiez;Klimaschutz, Umweltschutz, Stadtplanung, Nachhaltigkeit, Zivilgesellschaft;https://giessdeinviertel.codeforleipzig.de/, https://join.slack.com/t/giessdenkiez/shared_invite/zt-e3et281u-xON4UmBZpKavzDRkw5HmCQ/, https://citylab-berlin.org/wp-content/uploads/Two-Pager-Giess_den_Kiez-0326_DE.pdf, https://github.com/technologiestiftung/giessdenkiez-de, https://www.giessdenkiez.de, https://www.bund-berlin.de/fileadmin/berlin/Arbeitsmaterialien/Baeume_richtig_giessen.pdf, https://citylab-berlin.org/wp-content/uploads/2019/06/Giess-den-Kiez-Anleitung-Checkliste-Retrospektive.pdf, https://www.magdeburg-giesst.de, http://www.giessdenkiez.de/, https://www.bund-berlin.de/service/publikationen/detail/publication/bund-baumreport-berlin-2012-2019/, https://www.giessdenkiez.de/;CityLAB Berlin;Laufend;Gieß den Kiez ist eine Plattform zur Koordinierung der Bewässerung der Berliner Bäume.;CC BY-NC-SA;https://citylab-berlin.org;CityLAB Berlin;;Plattform, Interaktive Datenexploration, Open Data, Vernetzung
10;https://citylab-berlin.org/de/projects/klimadashboard-xhain/;KlimaDashboard Xhain;Klimaschutz, Umwelt, Stadt;https://klima-dashboard-xhain.vercel.app/climate-strategies/, https://klima-dashboard-xhain.vercel.app/current-projects/, https://www.berlin.de/ba-friedrichshain-kreuzberg/politik-und-verwaltung/service-und-organisationseinheiten/klima-und-internationales/artikel.1408194.php;CityLAB Berlin;Laufend;Mit dem Klimadashboard werden Klimadaten transparen.;CC BY-NC-SA;https://citylab-berlin.org;CityLAB Berlin;Xhain;Web-App, Interaktive Datenexploration, Datenvisualisierung
11;https://citylab-berlin.org/de/projects/hilf-mir-berlin/;Hilf-Mir.Berlin;Beratung, Soziale Arbeit, Gesundheit, Barrierefreiheit, Integration;https://www.hilf-mir.berlin;CityLAB Berlin;Laufend;Hilf-Mir.Berlin fasst das Angebot von über 200 Beratungsstellen erstmals übersichtlich zusammen. ;CC BY-NC-SA;https://citylab-berlin.org;CityLAB Berlin;;Web-App, Karten, Verzeichnis / Karte, Datenportal, Open-Source, Plattform
12;https://citylab-berlin.org/de/projects/talking-treebot/;Talking Treebot;Stadtplanung, Umweltschutz, Klima, Klimaschutz, Nachhaltigkeit, Partizipation;https://senseable.mit.edu/, https://github.com/technologiestiftung/talking-treebot;CityLAB Berlin;Laufend;Der Talking Treebot gibt den Berliner Stadtbäumen mit Hilfe von Künstlicher Intelligenz eine Stimme.;CC BY-NC-SA;https://citylab-berlin.org;CityLAB Berlin;;KI Anwendung, Interaktive App, Monitoring
13;https://citylab-berlin.org/de/projects/buergeramt-der-zukunft-tagebuchstudie/;Bürgeramt der Zukunft;Verwaltung, Stadt, Datenanalyse, Partizipation, Wirkungsmessung;https://service.berlin.de/standort/122238/, https://www.itdz-berlin.de/;CityLAB Berlin;Laufend;Das Ziel des Projekts Bürgeramt der Zukunft ist es, ein tieferes Verständnis für die Arbeit und die Abläufe in der Verwaltung zu erhalten und diese hinsichtlich ihrer Nutzer:innenorientierung zu verbessern.;CC BY-NC-SA;https://citylab-berlin.org;CityLAB Berlin;;Prozessautomatisierung, Umfrage, Datenanalyse, Workshop, Monitoring
14;https://citylab-berlin.org/de/projects/citylab-roadshow/;CityLAB Roadshow;Verwaltung, Stadt, Technologie, Partizipation;https://citylab-berlin.org/wp-content/uploads/2022/02/RoadshowCityLAB.pdf, https://citylab-berlin.org/de/wissensspeicher/, https://citylab-berlin.org/de/blog/die-citylab-roadshow-einblicke-in-unsere-tour-durch-die-berliner-verwaltungen/;CityLAB Berlin;Laufend;Das CityLAB Berlin kommt zum Hausbesuch.;CC BY-NC-SA;https://citylab-berlin.org;CityLAB Berlin;;Workshops, Beratung, Training
15;https://citylab-berlin.org/de/projects/berliner-energiecheckpoint/;Berliner EnergieCheckpoint;Klima, Klimaschutz, Umweltschutz, Stadtplanung, Nachhaltigkeit;https://github.com/technologiestiftung/energiekarte, https://odis-berlin.de/, https://odis-berlin.de, https://energiecheckpoint.odis-berlin.de, https://www.bim-berlin.de/presse/publikationen/, https://www.technologiestiftung-berlin.de/, https://odis-berlin.de/contact/, https://www.berlin.de/sen/uvk/klimaschutz/klimaschutzpolitik-in-berlin/energiewendegesetz/;CityLAB Berlin;Laufend;Der EnergieCheckpoint zeigt Daten zum Energieverbrauch öffentlicher Gebäude.;CC BY-NC-SA;https://citylab-berlin.org;CityLAB Berlin;;Web-App, Interaktive Karte, Datenvisualisierung, Open Data, Monitoring
16;https://citylab-berlin.org/de/projects/smart_city/;Gemeinsam Digital: Berlin;Stadtplanung, Technologie, Verwaltung, Partizipation, Nachhaltigkeit, Klimaschutz;https://www.politicsfortomorrow.eu/, https://citylab-berlin.org/de/blog/rueckblick-das-jahr-2024-mit-blick-auf-die-strategie-gemeinsam-digital-berlin/, https://citylab-berlin.org/de/wissensspeicher-gdb-materialien/, https://gemeinsamdigital.berlin.de/de/, https://gemeinsamdigital.berlin.de/de/handbuch/;CityLAB Berlin;Laufend;Wir unterstützen die Maßnahmen der Smart City Strategie “Gemeinsam Digital: Berlin”.;CC BY-NC-SA;https://citylab-berlin.org;CityLAB Berlin;GD:B;Workshops, Beratung, Vernetzung, Reporting, Wirkungsmessung
17;https://citylab-berlin.org/de/projects/ki-zum-anfassen-unsere-interaktiven-exponate/;KI zum Anfassen;Verwaltung, Stadtplanung, Klimaschutz, Nachhaltigkeit, Partizipation, Bildung, Technologie;https://citylab-berlin.org/de/exhibition/, https://chat.openai.com, https://citylab-berlin.org/de/projects/kiezlabor/, https://ki-portrait.citylab-berlin.org/;CityLAB Berlin;Laufend;Hier stellen wir euch vier unserer aktuellen KI-Experimente vor, die in unserem Prototyping-Team entstanden sind.;CC BY-NC-SA;https://citylab-berlin.org;CityLAB Berlin;;KI-Anwendung, Interaktive App, Web-App, Workshops, Computer Vision, Generative KI, Datenvisualisierung
18;https://citylab-berlin.org/de/projects/labcamp/;LabCamp;Partizipation, Stadt;https://citylab-berlin.org/wp-content/uploads/2019/06/LabCamp-Positionspapier-20240808finaleversion.pdf, https://stadtlabor-soest.de/, https://www.politicsfortomorrow.eu/, https://citylab-berlin.org/de/newsletter/, https://www.witi-innovation.de/atlas-der-innovation/, https://www.notion.so/politicsfortomorrow/LabCamp-Vernetzungstreffen-ffentlicher-Innovationslabore-344f776f4ddd46f8b20dfe93f8e29a4f, https://join.slack.com/t/labcamp-workspace/shared_invite/zt-29n7h1zib-eSo5kqtGZFNGCZbF67xGxA, https://next-netz.de/, https://citylab-berlin.org/de/start/, https://dit.bund.de/;CityLAB Berlin;Laufend;Das LabCamp ist ein Vernetzungstreffen öffentlicher Innovationslabore.;CC BY-NC-SA;https://citylab-berlin.org;CityLAB Berlin;LabCamp;Vernetzung
19;https://citylab-berlin.org/de/projects/summerschool/;Summer School;Stadtplanung, Mobilität, Gesundheit, Integration, Migration, Partizipation, Klima;https://citylab-berlin.org/de/blog/summer-school-2023-prototyping-fur-die-gesunde-stadt/, https://citylab-berlin.org/events/summerschool2020/, https://zukunftstadt.berlin/transferale, https://radbahn.berlin/de, https://junge-tueftler.de/, https://edgecity.htw-berlin.de/, https://hydrotower.de/, https://citylab-berlin.org/de/events/summerschool2021/, https://citylab-berlin.org/de/events/summer-school-2022-gruene-welle/, https://citylab-berlin.org/de/events/summer-school-2024/, https://www.berlin.de/lb/intmig/, https://campus-stories.htw-berlin.de/jahr/2024/welche-papiere-fuer-ein-berlin-semester-frag-lia/, https://www.fixmycity.de/, https://citylab-berlin.org/de/events/summer-school-2025-stadt-wald-labor-digitale-perspektiven-auf-oekologische-raeume/, https://spore-initiative.org/de/ueber-spore/im-werden/, https://minor-kontor.de/, https://citylab-berlin.org/de/blog/welcome-to-berlin-die-citylab-summer-school-2024/, https://citylab-berlin.org/de/events/summer-school-2023/, https://www.flickr.com/photos/182217318@N05/albums/72157711071189623, https://www.dw.com/en/digital-solutions-for-sustainable-cities/av-55899838, https://citylab-berlin.org/de/events/urbaninnovation/, https://citylab-berlin.org/de/blog/summer-school-kottiflow/;CityLAB Berlin;Laufend;Summer School zu jährlich wechselnden Themen.;CC BY-NC-SA;https://citylab-berlin.org;CityLAB Berlin;;Workshops
20;https://citylab-berlin.org/de/projects/berliner-weihnachtsmarkt-finder/;Berliner Weihnachtsmarkt-Finder;Tourismus, Kultur, Stadt, Öffentlicher Nahverkehr, Datenanalyse, Verwaltung, Partizipation;https://commons.wikimedia.org/wiki/Commons:First_steps/Uploading_files/de, https://github.com/technologiestiftung/weihnachtsmarktkarte, https://www.openstreetmap.de/, https://daten.berlin.de/datensaetze/https-vbb-live-exozet-com-media-download-2035, https://weihnachtsmaerkte.odis-berlin.de/?id=, https://odis-berlin.de/, https://odis-berlin.de/contact/, https://daten.berlin.de/datensaetze/toiletten, https://brightsky.dev/, https://www.technologiestiftung-berlin.de/, https://www.dwd.de/DE/leistungen/opendata/opendata.html, https://daten.berlin.de/, https://daten.berlin.de/datensaetze/simple_search_wwwberlindesenwebservicemaerktefesteweihnachtsmaerkte;CityLAB Berlin;Laufend;Glühwein, Glögg, Glückseligkeit – Berliner Weihnachtsmärkte auf einen Blick!;CC BY-NC-SA;https://citylab-berlin.org;CityLAB Berlin;;Web-App, Kartenanwendung, Interaktive Karte, Open Data, Webseite, Datenportal, Digitale Plattform
21;https://citylab-berlin.org/de/projects/digitalwerkstatt/;Digitalwerkstatt Verwaltung;Verwaltung, Partizipation, Stadt;https://citylab-berlin.org/de/projects/digitalwerkstatt/;CityLAB Berlin;Laufend;In der Digitalwerkstatt werden gemeinsam mit Bürger:innen Verwaltungsformulare verbessert.;CC BY-NC-SA;https://citylab-berlin.org;CityLAB Berlin;;Workshops
22;https://citylab-berlin.org/de/projects/werkstatt-im-citylab/;Werkstatt im CityLAB;Stadtplanung, Bildung, Partizipation, Technologie, Inklusion;https://github.com/technologiestiftung/werkstatt;CityLAB Berlin;Laufend;Die Werkstatt ist Raum für Experiment und Methoden der Elektrotechnik und Informatik.;CC BY-NC-SA;https://citylab-berlin.org;CityLAB Berlin;;Workshops
23;https://citylab-berlin.org/de/projects/hacking-box-goes-citylab/;Hacking Box goes CityLAB Berlin;Bildung, Technologie, Partizipation;https://www.technologiestiftung-berlin.de/projekte/hacking-box;CityLAB Berlin;Laufend;Hardwareboxen für Schulprojekte, Workshops, Seminare, Hackathons & Co.;CC BY-NC-SA;https://citylab-berlin.org;CityLAB Berlin;;Workshops, Beratung
24;https://citylab-berlin.org/de/projects/digitalvereint/;Digital Vereint – mit digitalen Tools das Berliner Ehrenamt stärken;Zivilgesellschaft, Soziale Arbeit, Technologie, Partizipation, Stadt;Ausgangslage:, https://www.digital-vereint.berlin/de, https://digital-vereint.berlin/de, https://citylab-berlin.org/de/blog/vier-jahre-digital-vereint-ein-rueckblick/;CityLAB Berlin;Abgeschlossen;Digital Vereint ist eine Plattform zur Unterstützung von digitalem zivilgesellschaftlichem Engagement.;CC BY-NC-SA;https://citylab-berlin.org;CityLAB Berlin;;Plattform, Webseite, Datenportal, Workshops
25;https://citylab-berlin.org/de/projects/qtrees/;Quantified Trees (Qtrees): Intelligente Bewässerungsvorhersage für Stadtbäume;Stadtplanung, Umweltschutz, Klima, Klimaschutz, Nachhaltigkeit, KI, Datenanalyse;https://www.bmu.de/, https://www.berlin.de/ba-mitte/politik-und-verwaltung/aemter/strassen-und-gruenflaechenamt/, https://www.technologiestiftung-berlin.de/de/startseite/, https://citylab-berlin.org/wp-admin/myrian.rigal@ts.berlin, https://baumblick.qtrees.ai;CityLAB Berlin;Abgeschlossen;Im Forschungsprojekt QTrees werden von Trockenheit gefährdete Stadtbäume mittels KI identifiziert.;CC BY-NC-SA;https://citylab-berlin.org;CityLAB Berlin;QTrees;KI Anwendung, Plattform, Web-App, Datenvisualisierung, Monitoring, Datenportal
26;https://citylab-berlin.org/de/projects/afs-dashboard/;Verwaltungsdashboard;Stadt, Technologie, Datenanalyse, Open Data, Transparenz;https://www.berlin.de/rbmskzl/politik/verwaltungssteuerung/aktuelles/artikel.1097486.php, https://citylab-berlin.org/de/blog/dash-neues-monitoring-dashboard-fuer-die-berliner-verwaltung/;CityLAB Berlin;Abgeschlossen;Im Rahmen von Design Sprints unterstützten wir bei der Konzeption eines Verwaltungsdashboards.;CC BY-NC-SA;https://citylab-berlin.org;CityLAB Berlin;D:ASH;Dashboard, Datenvisualisierung, Reporting, Web-App, Interaktives Dashboard
27;https://citylab-berlin.org/de/projects/stadtpuls/;Stadtpuls – Deine Sensoren erklären Berlin;Umwelt, Klima, Stadtplanung, Bildung, Partizipation, Datenanalyse, Technologie;http://www.stadtpuls.com, https://stories.stadtpuls.com/wenn-dies-dann-das, https://stories.stadtpuls.com/wrangelkiez, https://github.com/technologiestiftung/stadtpuls/discussions;CityLAB Berlin;Abgeschlossen;Stadtpuls ist eine offene IoT-Datenplattform für Sensordaten.;CC BY-NC-SA;https://citylab-berlin.org;CityLAB Berlin;;Datenportal, Plattform, Web-App, Open Data, Datenvisualisierung, Datenmanagement, API
