,Quelle,Projektname,Art,Einsatzbereich,Webseite-Link,Organisation,Status,Kurzzusammenfassung
0,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/wasser-fur-den-hohen-flaeming-ki-basierte-entscheidungshilfe-fur-massnahmen-zu-wasserruckhalt-auf-landschaftsebene/1018,,,,,,,
1,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/entrynavigator-der-wegbegleiter-fur-internationale-fachkraefte-nach-deutschland/1015,,,,,,,
2,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/ki/1014,,,,,,,
3,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/equal-work-hub/1012,,,,,,,
4,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/ainsight/1011,,,,,,,
5,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/helpmeai/1010,,,,,,,
6,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/prisma3d-explain/1009,,,,,,,
7,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/scan-your-trash/1008,,,,,,,
8,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/der-into-the-job-power-coach-itjo-poc/1007,,,,,,,
9,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/predictive-maintanance-fur-den-foodcube-ein-aquaponik-lehrsystem-fur-umwelttechnologische-nachwuchsfoerderung/1006,,,,,,,
10,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/seagrasswatch-kusten-ki-fur-den-schutz-von-seegraswiesen/1005,,,,,,,
11,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/staatklar-dein-digitaler-assistent-fur-die-beantragung-von-staatlicher-unterstutzung/1004,,,,,,,
12,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/ki-geisternetze-open-source/1003,,,,,,,
13,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/visueller-nachhaltigkeitsassistent-fur-kommunale-entscheidungen-ki-basierte-folgenabschaetzung-nach-der-cdmw-methode/1002,,,,,,,
14,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/claim/1001,,,,,,,
15,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/deine-ide/1000,,,,,,,
16,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/lokaler-ki-assistent-fur-die-zivilbevoelkerung-loki/999,,,,,,,
17,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/ecoadvisor-der-digitale-energieberater-fur-nachhaltiges-wohnen/998,,,,,,,
18,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/aufbau-gpt-als-hilfestellung-bei-der-planung-von-inklusiven-spielplaetzen/997,,,,,,,
19,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/ki-co-pilot-kicop/996,,,,,,,
20,https://www.civic-coding.de/community-information/projekte/vorschauseite-projekt/wasser-fur-den-hohen-flaeming-ki-basierte-entscheidungshilfe-fur-massnahmen-zu-wasserruckhalt-auf-landschaftsebene/1018,,,,,,,
