Index,Quelle,Projektname,Webseite-Link,Organisation,Status,Kurzzusammenfassung,Lizenz,Lizenz-Organisation
0,https://www.civic-coding.de/community/projekt/p2d2-public-public-data-dna/1483,p2d2: Public-Public Data-DNA,https://www.civic-coding.de/community/projekt/p2d2-public-public-data-dna/1483,Civic Coding,Unbekannt,"p2d2 schafft einen Zyklus, um Daten aus den Verwaltungen, über die OpenData-Portale der Kommunen oder Länder, in unsere Plattformen wie OpenStreetMap oder WikiData zu bringen und Änderungen in unseren Plattformen als GeoRSS-basierte Vorschläge an die Verwaltungen zurück zu melden",CC-BY-NC-ND 4.0,https://www.civic-coding.de
1,https://www.civic-coding.de/community/projekt/assisto-social-copilot/1482,Assisto - Social Copilot,https://www.civic-coding.de/community/projekt/assisto-social-copilot/1482,Civic Coding,Unbekannt,"Assisto – Social Copilot soll soziale Teilhabe für alle erleichtern. Ein KI-basierter Assistent, der Menschen dabei unterstützt, Behördenpost und Antragsverfahren zu verstehen, individuelle Handlungsschritte aufzeigt und beim Ausfüllen von Anträgen hilft.",CC-BY-NC-ND 4.0,https://www.civic-coding.de
2,https://www.civic-coding.de/community/projekt/digitaler-erstkontakt-mit-ki-beratungsanliegen-auf-den-richtigen-weg-bringen/1479,Digitaler Erstkontakt –mit KI Beratungsanliegen auf den richtigen Weg bringen,https://www.civic-coding.de/community/projekt/digitaler-erstkontakt-mit-ki-beratungsanliegen-auf-den-richtigen-weg-bringen/1479,Civic Coding,Unbekannt,"Um den Zugang zu passenden Beratungsangeboten zu verbessern, werden im Projekt ""Digitaler Erstkontakt"" Chat- und Voicebotangebote entwickelt und evaluiert.",CC-BY-NC-ND 4.0,https://www.civic-coding.de
3,https://www.civic-coding.de/community/projekt/nexus-politics/1469,Nexus Politics,https://www.civic-coding.de/community/projekt/nexus-politics/1469,Civic Coding,Unbekannt,"Nexus Politics ist ein Civic-/GovTech-Startup, das der politischen Unzufriedenheit mit einer Plattform für digitale Demokratie begegnet, die Partizipation, Transparenz und Rechenschaftspflicht fördert. Website: www.nexuspolitics.org",CC-BY-NC-ND 4.0,https://www.civic-coding.de
4,https://www.civic-coding.de/community/projekt/das-fablab-der-uni-konstanz-als-ausserschulischer-lernort-und-vibe-coding-hub/1467,Das FabLab der Uni Konstanz als außerschulischer Lernort und Vibe Coding Hub,https://www.civic-coding.de/community/projekt/das-fablab-der-uni-konstanz-als-ausserschulischer-lernort-und-vibe-coding-hub/1467,Civic Coding,Unbekannt,"Ziel ist es, das FabLab der Uni Konstanz als außerschulischen Lernort für Jugendliche auszubauen. Moderne Fertigungstechniken werden gelernt und genutzt, um eigene Projekte zu realisieren. Elemtarer Bestandteil sollen zudem die Integration des Vibe Codings sein,",CC-BY-NC-ND 4.0,https://www.civic-coding.de
5,https://www.civic-coding.de/community/projekt/gesundheitsmonitoring-vierzig-plus/1466,Gesundheitsmonitoring Vierzig Plus,https://www.civic-coding.de/community/projekt/gesundheitsmonitoring-vierzig-plus/1466,Civic Coding,Unbekannt,"Ich würde mir ein Projekt wünschen, das eine einerseits selbst bestimmte, auf der anderen Seite medizinisch, wissenschaftlich unterstützte Gesundheitserhaltung, Vorsorge und Vermeidung von Krankheiten ermöglicht. Meine Schwester ist bereits mit Mitte 40 an Krebs gestorben.",CC-BY-NC-ND 4.0,https://www.civic-coding.de
6,https://www.civic-coding.de/community/projekt/open-femailab-offenes-lernlabor-fur-frauen-und-ki/1462,Open FemAiLab - offenes Lernlabor für Frauen und KI,https://www.civic-coding.de/community/projekt/open-femailab-offenes-lernlabor-fur-frauen-und-ki/1462,Civic Coding,Unbekannt,"Unser FemAiLab ist ein offenes Lernlabor für Frauen – ein Raum, in dem sie sich in einer Community of Practice verbinden und gemeinsam von- und miteinander ihre individuelle Lernziele erkunden und gestalten.",CC-BY-NC-ND 4.0,https://www.civic-coding.de
7,https://www.civic-coding.de/community/projekt/rocket/1459,ROCKET,https://www.civic-coding.de/community/projekt/rocket/1459,Civic Coding,Unbekannt,"Rocket ist eine EdTech-App, die Unterrichtstexte vereinfacht, übersetzt und anpasst. So können Schüler:innen unabhängig von ihren Sprachkenntnissen am Unterricht teilnehmen und langfristig Deutsch als Bildungssprache erwerben – für mehr Bildungsgerechtigkeit.",CC-BY-NC-ND 4.0,https://www.civic-coding.de
8,https://www.civic-coding.de/community/projekt/kieler-gemeinschaftsnetz-vertrauensbasierte-karte-fur-teilen-lernen-und-engagement/1442,"Kieler Gemeinschaftsnetz – Vertrauensbasierte Karte für Teilen, Lernen und Engagement",https://www.civic-coding.de/community/projekt/kieler-gemeinschaftsnetz-vertrauensbasierte-karte-fur-teilen-lernen-und-engagement/1442,Civic Coding,Unbekannt,"Eine digitale Plattform für Kiel, die kostenlose und gemeinwohlorientierte Aktivitäten sammelt: Tausch, Nachbarschaftshilfe, Lernen, Reparatur, Gartenprojekte. KI filtert kommerzielle Angebote heraus und sichert vertrauensvolle, diskriminierungsfreie Interaktion.",CC-BY-NC-ND 4.0,https://www.civic-coding.de
9,https://www.civic-coding.de/community/projekt/digital-empowerment-project/1430,Digital Empowerment Project,https://www.civic-coding.de/community/projekt/digital-empowerment-project/1430,Civic Coding,Unbekannt,"Unser Projekt stärkt die digitale Souveränität der Zivilgesellschaft und insbesondere marginalisierter Gruppen. Wir unterstützen darin, die Kontrolle über digitalen Technologien, Daten und Prozesse zu behalten und die Abhängigkeit von kommerziellen „Datenkraken“ zu minimieren.",CC-BY-NC-ND 4.0,https://www.civic-coding.de
