id,title,content,topic_label,location,address,links,topics,top3_matches
1,Digitaler Erstkontakt,"['Um den Zugang zu passenden Beratungsangeboten zu verbessern, wird im Projekt ein automatisiertes Dialogsystem als Chat- und Telefonbot entwickelt und evaluiert.']","Bildung, Gesellschaft und Engagement",{'label': 'Frankfurt am Main'},[],"[{'label': 'Webseite', 'type': 'internal', 'src': 'https://www.civic-coding.de/ueber-civic-coding/projektlandkarte/projekt/digitaler-erstkontakt/1', 'name': 'Weitere Informationen'}]","[{'label': 'Spracherkennung'}, {'label': 'Bilderkennung'}]","StaatKlar: dein digitaler Assistent für die Beantragung von staatlicher Unterstützung (86); ""DANKE"" - Digitaler Assistent für Nachhaltige Kommunale Entwicklung (86); Digitaler Lehr- und Lernassistent (86)"
2,DRK Data Science Hub,"['Der DRK Data Science Hub erprobt mit Pilotprojekten wie datenanalytische Verfahren einen Mehrwert in den sozialen Angeboten vor Ort erzeugen können. Im Fokus des Projekts steht neben den Datenpilotprojekten der Aufbau eines Expert*innen-Netzwerks, die Implementierung eines Fortbildungsangebot zur Stärkung der Datenkompetenz im DRK und der Ausbau der technischen Infrastruktur innerhalb des Verbandes, zum Beispiel durch die Entwicklung eines Datenkatalogs in der DRK-Wohlfahrt.']","Bildung, Gesellschaft und Engagement",{'label': 'Berlin'},[],"[{'label': 'Webseite', 'type': 'internal', 'src': 'https://www.civic-coding.de/ueber-civic-coding/projektlandkarte/projekt/drk-data-science-hub/2', 'name': 'Weitere Informationen'}]",[{'label': 'Datenanalyse'}],Open Data aus Bürger- und Jugendbeteiligungsprojekten (86); Data Story mit Konstanzer Klima- und Wetterdaten (86); Netzwerkdynamiken in Citizen Science - Nutzer*innenverhalten auf der iNaturalist Plattform (86)
3,Erstellung und Analyse Leichter Sprache durch Künstliche Intelligenz (ErLeSen),"['Im Projekt entstehen offene <abbr title=""Künstliche Intelligenz"">KI</abbr>-Modelle und offene Datensätze zur Vereinfachung deutscher Texte in ""Leichter Sprache"". Eine Anwendung soll öffentlich bereitgestellt werden.']","Bildung, Gesellschaft und Engagement",{'label': 'Aachen'},[],"[{'label': 'Webseite', 'type': 'internal', 'src': 'https://www.civic-coding.de/ueber-civic-coding/projektlandkarte/projekt/erstellung-und-analyse-leichter-sprache-durch-kuenstliche-intelligenz-erlesen/3', 'name': 'Weitere Informationen'}]","[{'label': 'Deep Learning'}, {'label': 'Natural Language Processing (NLP)'}]",Data Story mit Konstanzer Klima- und Wetterdaten (86); Lebensmittelverschwendung reduzieren und Planung verbessern: Zeitreihenanalyse für ein Restaurant für bedürftige Menschen (86); Seismologie und Artifizielle Intelligenz (86)
4,iKIDO - Interaktive KI-Erfahrungsräume für die Digitale Souveränität Jugendlicher ,"['Das Projekt iKIDO entwickelt interaktive ""<abbr title=""Künstliche Intelligenz"">KI</abbr>-Erfahrungsräume"" zur Vermittlung von KI-Kompetenzen an Jugendliche, um eine reflektierte Nutzung von Künstlicher Intelligenz zu fördern. Gamification und Design Thinking-Methoden erleichtern das erfahrungsbasierte Lernen.']","Bildung, Gesellschaft und Engagement",{'label': 'Berlin'},[],"[{'label': 'Webseite', 'type': 'internal', 'src': 'https://www.civic-coding.de/ueber-civic-coding/projektlandkarte/projekt/ikido-interaktive-ki-erfahrungsraeume-fuer-die-digitale-souveraenitaet-jugendlicher/4', 'name': 'Weitere Informationen'}]","[{'label': 'Bilderkennung'}, {'label': 'Generative KI'}]",Mithilfe von KI Wirkungsmessung skalieren (86); Auswertung einer Umfrage zu KI im Ehrenamt (86); Lebensmittelverschwendung reduzieren und Planung verbessern: Zeitreihenanalyse für ein Restaurant für bedürftige Menschen (86)
5,KI für ein gutes Altern,"['Das Projekt vermittelt älteren Menschen und Seniorenorganisationen <abbr title=""Künstliche Intelligenz"">KI</abbr>-Kompetenzen. Das Projekt verfolgt dabei drei Ziele: das Erschaffen von KI-Lernangeboten für ältere Menschen, den KI-Kompetenzaufbau in Seniorenorganisationen und die Vernetzung mit Forschung und Entwicklung.']","Bildung, Gesellschaft und Engagement",{'label': 'Bonn'},[],"[{'label': 'Webseite', 'type': 'internal', 'src': 'https://www.civic-coding.de/ueber-civic-coding/projektlandkarte/projekt/ki-fuer-ein-gutes-altern/5', 'name': 'Weitere Informationen'}]",,Qualitätsanalyse von OpenStreetMap Daten für Trinkbrunnen (86); Mithilfe von KI Wirkungsmessung skalieren (86); Automatisierte Fragebogenauswertung mit Generativer KI (86)
6,KIA - KI gestützte Assistenz für digitale psychosoziale Beratung ,"['Im Projekt KIA wird ein Assistenzsystem für die digitale, psychosoziale Beratung entwickelt, das verschiedene Verfahren der künstlichen Intelligenz einsetzt. Es soll Beratungsanfragen in Echtzeit analysieren und für Berater*innen spezifische Unterstützungshinweise bereitstellen. Auf Basis der Projektergebnisse entstehen ein Leitfaden sowie ein Ethikmanual zum gemeinwohlorientierten Einsatz von <abbr title=""Künstliche Intelligenz"">KI</abbr>-Systemen.']","Bildung, Gesellschaft und Engagement",{'label': 'Nürnberg'},[],"[{'label': 'Webseite', 'type': 'internal', 'src': 'https://www.civic-coding.de/ueber-civic-coding/projektlandkarte/projekt/kia-ki-gestuetzte-assistenz-fuer-digitale-psychosoziale-beratung/6', 'name': 'Weitere Informationen'}]","[{'label': 'Bilderkennung'}, {'label': 'Spracherkennung'}, {'label': 'Virtuelle Assistenten'}]",Mithilfe von KI Wirkungsmessung skalieren (86); Lebensmittelverschwendung reduzieren und Planung verbessern: Zeitreihenanalyse für ein Restaurant für bedürftige Menschen (86); R Wrapper für die KoboToolbox API (86)
9,FluKIT,"['Mittels <abbr title=""Künstliche Intelligenz"">KI</abbr> soll die Vermessung von Flussbettprofilen, sowie die lokalen Strömungsbedingungen in Flüssen abgebildet werden. Zweck ist die Potentialanalyse für die Standortbestimmung von kleinen Wasserkraft Turbinen und/oder Turbinen-Clustern im Rhein. Die Messdaten, trainierte KI-Modelle und das KI-Software-Tool sind auf einer öffentlichen Website zugänglich.']","Umwelt-, Klima- und Verbraucherschutz",{'label': 'Sankt Goar'},[],"[{'label': 'Webseite', 'type': 'internal', 'src': 'https://www.civic-coding.de/ueber-civic-coding/projektlandkarte/projekt/flukit/9', 'name': 'Weitere Informationen'}]","[{'label': 'Bilderkennung'}, {'label': 'Spracherkennung'}, {'label': 'Open Source'}]",KI² (90); biaslyze - The NLP bias identification toolkit (72); Kitafinder Flensburg (60)
10,Künstliche Intelligenz für Nichtregierungsorganisationen (KINiRO),"['KINiro untersucht die Chancen und Herausforderungen des <abbr title=""Künstliche Intelligenz"">KI</abbr>-Einsatzes durch Nichtregierungsorganisationen. Mit KINiro soll das Potenzial der KI-Nutzung durch Nichtregierungs- und Non-Profit-Organisationen, deren Bedarfe, Know-how und andere vorhandene Ressourcen eruiert werden. Außerdem sollen aus dem Projekt empirisch gestützte Aussagen zur Akzeptanz von KI bei NROs und NPOs sowie zu Umsetzungsmöglichkeiten hervorgehen.']","Bildung, Gesellschaft und Engagement",{'label': 'Regensburg'},[],"[{'label': 'Webseite', 'type': 'internal', 'src': 'https://www.civic-coding.de/ueber-civic-coding/projektlandkarte/projekt/kuenstliche-intelligenz-fuer-nichtregierungsorganisationen-kiniro/10', 'name': 'Weitere Informationen'}]",,Lebensmittelverschwendung reduzieren und Planung verbessern: Zeitreihenanalyse für ein Restaurant für bedürftige Menschen (86); R Wrapper für die KoboToolbox API (86); Python-Package für die GENESIS Datenbank (86)
11,KISS - KI-unterstützte Steigerung der Mobilität und gesellschaftlichen Teilhabe von Senior:innen ,"['Im Projekt KISS wird ein <abbr title=""Künstliche Intelligenz"">KI</abbr>-basiertes Unterstützungssystem für die gesellschaftliche Teilhabe von Senior:innen erforscht, welches adaptiv Mobilitätsempfehlungen generieren und dahingehend Hilfestellungen generieren soll. Ziel ist die Entwicklung einer Applikation.']","Bildung, Gesellschaft und Engagement",{'label': 'Bochum'},[],"[{'label': 'Webseite', 'type': 'internal', 'src': 'https://www.civic-coding.de/ueber-civic-coding/projektlandkarte/projekt/kiss-ki-unterstuetzte-steigerung-der-mobilitaet-und-gesellschaftlichen-teilhabe-von-seniorinnen/11', 'name': 'Weitere Informationen'}]",[{'label': 'Datenanalyse'}],Qualitätsanalyse von OpenStreetMap Daten für Trinkbrunnen (86); Mithilfe von KI Wirkungsmessung skalieren (86); Automatisierte Fragebogenauswertung mit Generativer KI (86)
12,KITE II,"['KITE II empowert Gründerinnen – spielerisch und mit <abbr title=""Künstliche Intelligenz"">KI</abbr>. Das Projekt zielt darauf ab, aus diskriminierenden Erfahrungen von Gründerinnen und Unternehmerinnen bestimmte Ausgrenzungsmuster und -codes zu identifizieren und das Schwarmwissen von Unternehmerinnen und Gründerinnen für andere nutzbar zu machen. Es wird eine KI-gestützte, gamifizierte Anwendung entwickelt, die Gründerinnen dabei unterstützt, Resilienz im Umgang mit diskriminierenden Erfahrungen aufzubauen. In einer Reihe von Visual Novels werden schwierige Gesprächssituationen in der Gründungsphase generiert und können interaktiv gestaltet werden. Spieler*innen erkennen dabei Ausgrenzungsmuster, teilen Erfahrungen und entwickeln neue Herangehensweisen.']","Bildung, Gesellschaft und Engagement",{'label': 'Heilbronn'},[],"[{'label': 'Webseite', 'type': 'internal', 'src': 'https://www.civic-coding.de/ueber-civic-coding/projektlandkarte/projekt/kite-ii/12', 'name': 'Weitere Informationen'}]",[{'label': 'Large Language Models (LLM)'}],KI² (90); Die passende Kita in Hamburg finden (64); Internetgeschwindigkeit in Sachsens Schulen (64)
