Index,Quelle,Projektname,Webseite-Link,Organisation,Status,Kurzzusammenfassung,Lizenz,Lizenz-Organisation
0,https://www.civic-coding.de/ueber-civic-coding/projektlandkarte/projekt/digitaler-erstkontakt/1,Digitaler Erstkontakt,https://www.civic-coding.de/ueber-civic-coding/projektlandkarte/projekt/digitaler-erstkontakt/1,Civic Coding,Unbekannt,"Um den Zugang zu passenden Beratungsangeboten zu verbessern, wird im Projekt ein automatisiertes Dialogsystem als Chat- und Telefonbot entwickelt und evaluiert.",CC-BY-NC-ND 4.0,https://www.civic-coding.de
1,https://www.civic-coding.de/ueber-civic-coding/projektlandkarte/projekt/drk-data-science-hub/2,DRK Data Science Hub,https://www.civic-coding.de/ueber-civic-coding/projektlandkarte/projekt/drk-data-science-hub/2,Civic Coding,Unbekannt,"Der DRK Data Science Hub erprobt mit Pilotprojekten wie datenanalytische Verfahren einen Mehrwert in den sozialen Angeboten vor Ort erzeugen können. Im Fokus des Projekts steht neben den Datenpilotprojekten der Aufbau eines Expert*innen-Netzwerks, die Implementierung eines Fortbildungsangebot zur Stärkung der Datenkompetenz im DRK und der Ausbau der technischen Infrastruktur innerhalb des Verbandes, zum Beispiel durch die Entwicklung eines Datenkatalogs in der DRK-Wohlfahrt.",CC-BY-NC-ND 4.0,https://www.civic-coding.de
2,https://www.civic-coding.de/ueber-civic-coding/projektlandkarte/projekt/erstellung-und-analyse-leichter-sprache-durch-kuenstliche-intelligenz-erlesen/3,Erstellung und Analyse Leichter Sprache durch Künstliche Intelligenz (ErLeSen),https://www.civic-coding.de/ueber-civic-coding/projektlandkarte/projekt/erstellung-und-analyse-leichter-sprache-durch-kuenstliche-intelligenz-erlesen/3,Civic Coding,Unbekannt,"Im Projekt entstehen offene <abbr title=""Künstliche Intelligenz"">KI</abbr>-Modelle und offene Datensätze zur Vereinfachung deutscher Texte in ""Leichter Sprache"". Eine Anwendung soll öffentlich bereitgestellt werden.",CC-BY-NC-ND 4.0,https://www.civic-coding.de
3,https://www.civic-coding.de/ueber-civic-coding/projektlandkarte/projekt/ikido-interaktive-ki-erfahrungsraeume-fuer-die-digitale-souveraenitaet-jugendlicher/4,iKIDO - Interaktive KI-Erfahrungsräume für die Digitale Souveränität Jugendlicher ,https://www.civic-coding.de/ueber-civic-coding/projektlandkarte/projekt/ikido-interaktive-ki-erfahrungsraeume-fuer-die-digitale-souveraenitaet-jugendlicher/4,Civic Coding,Unbekannt,"Das Projekt iKIDO entwickelt interaktive ""<abbr title=""Künstliche Intelligenz"">KI</abbr>-Erfahrungsräume"" zur Vermittlung von KI-Kompetenzen an Jugendliche, um eine reflektierte Nutzung von Künstlicher Intelligenz zu fördern. Gamification und Design Thinking-Methoden erleichtern das erfahrungsbasierte Lernen.",CC-BY-NC-ND 4.0,https://www.civic-coding.de
4,https://www.civic-coding.de/ueber-civic-coding/projektlandkarte/projekt/ki-fuer-ein-gutes-altern/5,KI für ein gutes Altern,https://www.civic-coding.de/ueber-civic-coding/projektlandkarte/projekt/ki-fuer-ein-gutes-altern/5,Civic Coding,Unbekannt,"Das Projekt vermittelt älteren Menschen und Seniorenorganisationen <abbr title=""Künstliche Intelligenz"">KI</abbr>-Kompetenzen. Das Projekt verfolgt dabei drei Ziele: das Erschaffen von KI-Lernangeboten für ältere Menschen, den KI-Kompetenzaufbau in Seniorenorganisationen und die Vernetzung mit Forschung und Entwicklung.",CC-BY-NC-ND 4.0,https://www.civic-coding.de
5,https://www.civic-coding.de/ueber-civic-coding/projektlandkarte/projekt/kia-ki-gestuetzte-assistenz-fuer-digitale-psychosoziale-beratung/6,KIA - KI gestützte Assistenz für digitale psychosoziale Beratung ,https://www.civic-coding.de/ueber-civic-coding/projektlandkarte/projekt/kia-ki-gestuetzte-assistenz-fuer-digitale-psychosoziale-beratung/6,Civic Coding,Unbekannt,"Im Projekt KIA wird ein Assistenzsystem für die digitale, psychosoziale Beratung entwickelt, das verschiedene Verfahren der künstlichen Intelligenz einsetzt. Es soll Beratungsanfragen in Echtzeit analysieren und für Berater*innen spezifische Unterstützungshinweise bereitstellen. Auf Basis der Projektergebnisse entstehen ein Leitfaden sowie ein Ethikmanual zum gemeinwohlorientierten Einsatz von <abbr title=""Künstliche Intelligenz"">KI</abbr>-Systemen.",CC-BY-NC-ND 4.0,https://www.civic-coding.de
6,https://www.civic-coding.de/ueber-civic-coding/projektlandkarte/projekt/flukit/9,FluKIT,https://www.civic-coding.de/ueber-civic-coding/projektlandkarte/projekt/flukit/9,Civic Coding,Unbekannt,"Mittels <abbr title=""Künstliche Intelligenz"">KI</abbr> soll die Vermessung von Flussbettprofilen, sowie die lokalen Strömungsbedingungen in Flüssen abgebildet werden. Zweck ist die Potentialanalyse für die Standortbestimmung von kleinen Wasserkraft Turbinen und/oder Turbinen-Clustern im Rhein. Die Messdaten, trainierte KI-Modelle und das KI-Software-Tool sind auf einer öffentlichen Website zugänglich.",CC-BY-NC-ND 4.0,https://www.civic-coding.de
7,https://www.civic-coding.de/ueber-civic-coding/projektlandkarte/projekt/kuenstliche-intelligenz-fuer-nichtregierungsorganisationen-kiniro/10,Künstliche Intelligenz für Nichtregierungsorganisationen (KINiRO),https://www.civic-coding.de/ueber-civic-coding/projektlandkarte/projekt/kuenstliche-intelligenz-fuer-nichtregierungsorganisationen-kiniro/10,Civic Coding,Unbekannt,"KINiro untersucht die Chancen und Herausforderungen des <abbr title=""Künstliche Intelligenz"">KI</abbr>-Einsatzes durch Nichtregierungsorganisationen. Mit KINiro soll das Potenzial der KI-Nutzung durch Nichtregierungs- und Non-Profit-Organisationen, deren Bedarfe, Know-how und andere vorhandene Ressourcen eruiert werden. Außerdem sollen aus dem Projekt empirisch gestützte Aussagen zur Akzeptanz von KI bei NROs und NPOs sowie zu Umsetzungsmöglichkeiten hervorgehen.",CC-BY-NC-ND 4.0,https://www.civic-coding.de
8,https://www.civic-coding.de/ueber-civic-coding/projektlandkarte/projekt/kiss-ki-unterstuetzte-steigerung-der-mobilitaet-und-gesellschaftlichen-teilhabe-von-seniorinnen/11,KISS - KI-unterstützte Steigerung der Mobilität und gesellschaftlichen Teilhabe von Senior:innen ,https://www.civic-coding.de/ueber-civic-coding/projektlandkarte/projekt/kiss-ki-unterstuetzte-steigerung-der-mobilitaet-und-gesellschaftlichen-teilhabe-von-seniorinnen/11,Civic Coding,Unbekannt,"Im Projekt KISS wird ein <abbr title=""Künstliche Intelligenz"">KI</abbr>-basiertes Unterstützungssystem für die gesellschaftliche Teilhabe von Senior:innen erforscht, welches adaptiv Mobilitätsempfehlungen generieren und dahingehend Hilfestellungen generieren soll. Ziel ist die Entwicklung einer Applikation.",CC-BY-NC-ND 4.0,https://www.civic-coding.de
9,https://www.civic-coding.de/ueber-civic-coding/projektlandkarte/projekt/kite-ii/12,KITE II,https://www.civic-coding.de/ueber-civic-coding/projektlandkarte/projekt/kite-ii/12,Civic Coding,Unbekannt,"KITE II empowert Gründerinnen – spielerisch und mit <abbr title=""Künstliche Intelligenz"">KI</abbr>. Das Projekt zielt darauf ab, aus diskriminierenden Erfahrungen von Gründerinnen und Unternehmerinnen bestimmte Ausgrenzungsmuster und -codes zu identifizieren und das Schwarmwissen von Unternehmerinnen und Gründerinnen für andere nutzbar zu machen. Es wird eine KI-gestützte, gamifizierte Anwendung entwickelt, die Gründerinnen dabei unterstützt, Resilienz im Umgang mit diskriminierenden Erfahrungen aufzubauen. In einer Reihe von Visual Novels werden schwierige Gesprächssituationen in der Gründungsphase generiert und können interaktiv gestaltet werden. Spieler*innen erkennen dabei Ausgrenzungsmuster, teilen Erfahrungen und entwickeln neue Herangehensweisen.",CC-BY-NC-ND 4.0,https://www.civic-coding.de
