Index;Quelle;Projektname;Webseite-Link;Organisation;Status;Kurzzusammenfassung;Lizenz;Lizenz-Organisation;Projekt-Abkürzung;Art;Einsatzbereich
0;https://www.civic-coding.de/community/projekt/p2d2-public-public-data-dna/1483;p2d2: Public-Public Data-DNA;https://www.civic-coding.de/community/projekt/p2d2-public-public-data-dna/1483;Civic Coding;Unbekannt;p2d2 schafft einen Zyklus, um Daten aus den Verwaltungen, über die OpenData-Portale der Kommunen oder Länder, in unsere Plattformen wie OpenStreetMap oder WikiData zu bringen und Änderungen in unseren Plattformen als GeoRSS-basierte Vorschläge an die Verwaltungen zurück zu melden;CC-BY-NC-ND 4.0;https://www.civic-coding.de;p2d2;Open-Source, Datenportal, Plattform, API, Datenmanagement, Open Data, Web-App;Open Data, Stadtplanung
1;https://www.civic-coding.de/community/projekt/assisto-social-copilot/1482;Assisto - Social Copilot;https://www.civic-coding.de/community/projekt/assisto-social-copilot/1482;Civic Coding;Laufend;Assisto – Social Copilot soll soziale Teilhabe für alle erleichtern. Ein KI-basierter Assistent, der Menschen dabei unterstützt, Behördenpost und Antragsverfahren zu verstehen, individuelle Handlungsschritte aufzeigt und beim Ausfüllen von Anträgen hilft.;CC-BY-NC-ND 4.0;https://www.civic-coding.de;;KI-Anwendung;Inklusion, Soziale Arbeit
2;https://www.civic-coding.de/community/projekt/digitaler-erstkontakt-mit-ki-beratungsanliegen-auf-den-richtigen-weg-bringen/1479;Digitaler Erstkontakt –mit KI Beratungsanliegen auf den richtigen Weg bringen;https://www.civic-coding.de/community/projekt/digitaler-erstkontakt-mit-ki-beratungsanliegen-auf-den-richtigen-weg-bringen/1479;Civic Coding;Unbekannt;"Um den Zugang zu passenden Beratungsangeboten zu verbessern, werden im Projekt ""Digitaler Erstkontakt"" Chat- und Voicebotangebote entwickelt und evaluiert.";CC-BY-NC-ND 4.0;https://www.civic-coding.de;;Open-Source, KI Anwendung, Natural Language Processing, Prozessautomatisierung;Soziale Arbeit, Gesundheit, Bildung
3;https://www.civic-coding.de/community/projekt/nexus-politics/1469;Nexus Politics;https://www.civic-coding.de/community/projekt/nexus-politics/1469;Civic Coding;Unbekannt;Nexus Politics ist ein Civic-/GovTech-Startup, das der politischen Unzufriedenheit mit einer Plattform für digitale Demokratie begegnet, die Partizipation, Transparenz und Rechenschaftspflicht fördert. Website: www.nexuspolitics.org;CC-BY-NC-ND 4.0;https://www.civic-coding.de;;Web-App, Open-Source, KI Anwendung, Maschinelles Lernen, Natural Language Processing, API, Datenanalyse;Verwaltung, Demokratie, Partizipation
4;https://www.civic-coding.de/community/projekt/das-fablab-der-uni-konstanz-als-ausserschulischer-lernort-und-vibe-coding-hub/1467;Das FabLab der Uni Konstanz als außerschulischer Lernort und Vibe Coding Hub;https://www.civic-coding.de/community/projekt/das-fablab-der-uni-konstanz-als-ausserschulischer-lernort-und-vibe-coding-hub/1467;Civic Coding;Unbekannt;Ziel ist es, das FabLab der Uni Konstanz als außerschulischen Lernort für Jugendliche auszubauen. Moderne Fertigungstechniken werden gelernt und genutzt, um eigene Projekte zu realisieren. Elemtarer Bestandteil sollen zudem die Integration des Vibe Codings sein,;CC-BY-NC-ND 4.0;https://www.civic-coding.de;;Workshops, E-Learning;Bildung, Technologie
5;https://www.civic-coding.de/community/projekt/gesundheitsmonitoring-vierzig-plus/1466;Gesundheitsmonitoring Vierzig Plus;https://www.civic-coding.de/community/projekt/gesundheitsmonitoring-vierzig-plus/1466;Civic Coding;Unbekannt;Ich würde mir ein Projekt wünschen, das eine einerseits selbst bestimmte, auf der anderen Seite medizinisch, wissenschaftlich unterstützte Gesundheitserhaltung, Vorsorge und Vermeidung von Krankheiten ermöglicht. Meine Schwester ist bereits mit Mitte 40 an Krebs gestorben.;CC-BY-NC-ND 4.0;https://www.civic-coding.de;;Maschinelles Lernen, KI Anwendung, Monitoring, Datenanalyse;Gesundheit
6;https://www.civic-coding.de/community/projekt/open-femailab-offenes-lernlabor-fur-frauen-und-ki/1462;Open FemAiLab - offenes Lernlabor für Frauen und KI;https://www.civic-coding.de/community/projekt/open-femailab-offenes-lernlabor-fur-frauen-und-ki/1462;Civic Coding;Unbekannt;Unser FemAiLab ist ein offenes Lernlabor für Frauen – ein Raum, in dem sie sich in einer Community of Practice verbinden und gemeinsam von- und miteinander ihre individuelle Lernziele erkunden und gestalten.;CC-BY-NC-ND 4.0;https://www.civic-coding.de;FemAiLab;E-Learning, Workshop;Frauen, Gleichstellung, Bildung, Chancengleichheit, KI
7;https://www.civic-coding.de/community/projekt/rocket/1459;ROCKET;https://www.civic-coding.de/community/projekt/rocket/1459;Civic Coding;Unbekannt;Rocket ist eine EdTech-App, die Unterrichtstexte vereinfacht, übersetzt und anpasst. So können Schüler:innen unabhängig von ihren Sprachkenntnissen am Unterricht teilnehmen und langfristig Deutsch als Bildungssprache erwerben – für mehr Bildungsgerechtigkeit.;CC-BY-NC-ND 4.0;https://www.civic-coding.de;;E-Learning, KI Anwendung, Datenanalyse;Bildung, Inklusion, Chancengleichheit, Sprache
8;https://www.civic-coding.de/community/projekt/kieler-gemeinschaftsnetz-vertrauensbasierte-karte-fur-teilen-lernen-und-engagement/1442;Kieler Gemeinschaftsnetz – Vertrauensbasierte Karte für Teilen, Lernen und Engagement;https://www.civic-coding.de/community/projekt/kieler-gemeinschaftsnetz-vertrauensbasierte-karte-fur-teilen-lernen-und-engagement/1442;Civic Coding;Laufend;Eine digitale Plattform für Kiel, die kostenlose und gemeinwohlorientierte Aktivitäten sammelt: Tausch, Nachbarschaftshilfe, Lernen, Reparatur, Gartenprojekte. KI filtert kommerzielle Angebote heraus und sichert vertrauensvolle, diskriminierungsfreie Interaktion.;CC-BY-NC-ND 4.0;https://www.civic-coding.de;;Web-App, Interaktive Karte, Verzeichnis / Karte, Open Source, Empfehlungssystem, KI Anwendung;Inklusion, Antidiskriminierung, Chancengleichheit, Teilhabe, Umweltschutz, Senioren
9;https://www.civic-coding.de/community/projekt/digital-empowerment-project/1430;Digital Empowerment Project;https://www.civic-coding.de/community/projekt/digital-empowerment-project/1430;Civic Coding;Unbekannt;Unser Projekt stärkt die digitale Souveränität der Zivilgesellschaft und insbesondere marginalisierter Gruppen. Wir unterstützen darin, die Kontrolle über digitalen Technologien, Daten und Prozesse zu behalten und die Abhängigkeit von kommerziellen „Datenkraken“ zu minimieren.;CC-BY-NC-ND 4.0;https://www.civic-coding.de;;Workshops, Open-Source, Beratung;Antidiskriminierung, Inklusion, Gesundheit, Zivilgesellschaft
10;https://www.civic-coding.de/community/projekt/repair-cafe-anmeldung/1429;Repair Café - Anmeldung;https://www.civic-coding.de/community/projekt/repair-cafe-anmeldung/1429;Civic Coding;Unbekannt;Gemeinsam reparieren vermittelt Kenntnisse und erzeugt für Reparierende und Reparatursuchende ein gutes Gefühl weil man etwas retten kann. Mit einer intensiven Anamnese steigen die Reparaturchancen und verbessert das Reparaturerlebnis. Dazu kann KI helfen.;CC-BY-NC-ND 4.0;https://www.civic-coding.de;;Workshop;Umweltschutz, Nachhaltigkeit, Zivilgesellschaft, Partizipation, Technologie, Verbraucherschutz
11;https://www.civic-coding.de/community/projekt/donaustrudlki-das-soziale-gedaechtnis-der-stadt-regensburg/1428;DonauStrudlKI - Das soziale Gedächtnis der Stadt Regensburg !;https://www.civic-coding.de/community/projekt/donaustrudlki-das-soziale-gedaechtnis-der-stadt-regensburg/1428;Civic Coding;Laufend;Alle bisherigen Ausgaben des Regensburger SozialMagazin DonauStrudl werden in einem KI-RAG-System erfasst und als abfragbarer Chat bereitgestellt. So kann man sich bei der DonauStrudlKI jederzeit über die soziale Berichterstattung der letzten 25 Jahre in Regensburg informieren.;CC-BY-NC-ND 4.0;https://www.civic-coding.de;DonauStrudlKI;KI Anwendung, Datenportal, Interaktive App;Inklusion, Chancengleichheit, Soziale Arbeit
12;https://www.civic-coding.de/community/projekt/form-bridge/1426;Form Bridge;https://www.civic-coding.de/community/projekt/form-bridge/1426;Civic Coding;Unbekannt;Deutsche Behördenformulare sind für Nicht-Muttersprachler unverständlich. Das Projekt wandelt sie in mehrsprachige, webbasierte Fragebögen um, die automatisch das korrekte deutsche Original-Formular generieren. So wird Bürokratie für alle zugänglich.;CC-BY-NC-ND 4.0;https://www.civic-coding.de;;KI Anwendung, Web-App;Inklusion, Barrierefreiheit, Verwaltung, Flucht und Migration, Zivilgesellschaft, Menschenrechte
13;https://www.civic-coding.de/community/projekt/qlug/1424;Qlug;https://www.civic-coding.de/community/projekt/qlug/1424;Civic Coding;Unbekannt;"Qlug (ausgesprochen wie ""klug"")ist eine KI-gestützte Lernapp, die Lernmaterialien in personalisierte Podcasts für auditive Lerner umwandelt. Mit geführtem Onboarding, Offline-Verfügbarkeit und hoher Datensicherheit macht Qlug Bildung zugänglicher und individueller.";CC-BY-NC-ND 4.0;https://www.civic-coding.de;;E-Learning, KI Anwendung;Bildung, Inklusion, Barrierefreiheit, Gesundheit
14;https://www.civic-coding.de/community/projekt/oratio-technologies/1423;Oratio Technologies;https://www.civic-coding.de/community/projekt/oratio-technologies/1423;Civic Coding;Unbekannt;Oratio Technologies is an AI-powered legal chatbot providing instant, reliable guidance in tenancy, employment, and immigration law, ensuring accessible legal help for everyone in Germany;CC-BY-NC-ND 4.0;https://www.civic-coding.de;;KI Anwendung, Natural Language Processing, Large Language Model (LLM), Maschinelles Lernen, Web-App, Automatisierung;Recht, Arbeit, Migration, Inklusion, Gleichberechtigung
15;https://www.civic-coding.de/community/projekt/insiemeki/1422;insiemeki;https://www.civic-coding.de/community/projekt/insiemeki/1422;Civic Coding;Unbekannt;insiemeki ist eine KI-gestützte Lern- und Begegnungsplattform für Menschen 60+. Sie bietet Schritt-für-Schritt-Anleitungen, kurze Videos in seniorengerechter UX. Community und Peer-Mentoring fördern Selbstwirksamkeit, mindern Isolation und bauen digitale Souveränität.;CC-BY-NC-ND 4.0;https://www.civic-coding.de;;Plattform, KI Anwendung, Empfehlungssystem, E-Learning, Web-App, Vernetzung, Interaktive Datenexploration;Gesundheit, Inklusion, Demokratie, Bildung, Soziale Arbeit, Wohlfahrt, Barrierefreiheit
