Index;Quelle;Projektname;Webseite-Link;Organisation;Status;Kurzzusammenfassung;Lizenz;Lizenz-Organisation;Projekt-Abkürzung;Art;Einsatzbereich
0;https://codefor.de/projekte/2018-24-11-1000-lorawan-nodes-im-laendlichen-raum/;1000 LoRaWAN Nodes im ländlichen Raum von Schleswig-Holstein;https://codefor.de/projekte/2018-24-11-1000-lorawan-nodes-im-laendlichen-raum/;OK Lab Kreis Schleswig-Flensburg, Code for Germany;In Planung;Aufbau einer Schleswig-Holstein-weiten flächendeckenden Versorgung mit LoRaWAN-Technologie, welche durch vorausgehende Installation einer ausreichenden Anzahl von Gateways und anschließender …;CC-BY 4.0;https://codefor.de;;Datenanwendung für Öffentlichkeit, Digitale Plattform, Offene Daten;Digitalisierung, ländlicher Raum, Schleswig-Holstein
1;https://codefor.de/projekte/fl-open-data-day/;2. Open Data Day in Flensburg;https://codefor.de/projekte/fl-open-data-day/;OK Lab Flensburg, Code for Germany;In Planung;Zum zweiten Mal nimmt das OK Lab Flensburg am weltweit stattfindenden Open Data Day teil und lädt alle Interessierten zu Workshops, Präsentationen sowie einem offenen Austausch und Networking ein. Wir …;CC-BY 4.0;https://codefor.de;;Open Data, Veranstaltung;Bildung, Partizipation, Transparenz
2;https://codefor.de/projekte/chartchallenge/;30 Day Chart Challenge Bielefeld;https://codefor.de/projekte/chartchallenge/;Code for Bielefeld, Code for Germany;In Planung;Unter dem Hashtag #30DayChartChallenge teilen weltweit Designer:innen, Data Scientists, Journalist:innen, … jeden Tag im April eine Grafik. Jeder Tag hat ein Motto, zum Beispiel “Anteile”, …;CC-BY 4.0;https://codefor.de;30DCCB;Visualisierung, Interaktive App, Offene Daten;Bildung, Partizipation, Transparenz
3;https://codefor.de/projekte/abschiebungen/;Abschiebungen;https://codefor.de/projekte/abschiebungen/;OK Lab Berlin, Code for Germany;Unbekannt;2012 wurden in Deutschland 6919 Menschen auf dem Luftweg, 722 Menschen auf dem Landweg und 10 Menschen auf dem Seeweg abgeschoben. 3037 Menschen wurden in andere EU-Länder überstellt, darunter 456 …;CC-BY 4.0;https://codefor.de;;Datenanalyse, Datenerhebung, Visualisierung mit Karten;Migration, Asyl, Flüchtlinge
4;https://codefor.de/projekte/accessmap/;Access Map;https://codefor.de/projekte/accessmap/;OK Lab Berlin, Code for Germany;Unbekannt;Little project that aims at raising awareness for accessibility in public transport systems. It uses a simple slider to visualize how the public transport system looks like if all the non-accessible …;CC-BY 4.0;https://codefor.de;;Visualisierung, Awareness-Raising, Öffentliche Verkehrsmittel, Zugänglichkeit;Barrierefreiheit, Öffentliche Verkehrsmittel, Deutschland, Berlin
5;https://codefor.de/projekte/bn-air-quality-box/;Air Quality Box – Feinstaub und mehr messen;https://codefor.de/projekte/bn-air-quality-box/;OK Lab Bonn-Rhein-Sieg, Code for Germany;In Planung;Was ist die Air-Quality-Box? Auch Bonn hat ein Problem mit seiner Luftqualität. Leider gibt es bei uns nur eine einzige, offizielle Messstation für ganz Bonn und die steht auch noch am Stadtrand. Mit …;CC-BY 4.0;https://codefor.de;;Datenanalyse, Datenerhebung, Datenanwendung für Öffentlichkeit, Luftqualität, Feinstaubmessung;Umwelt, Umweltschutz, Luftqualität, Bonn
6;https://codefor.de/projekte/altglas/;Altglas Container;https://codefor.de/projekte/altglas/;OK Lab Berlin, Code for Germany;In Planung;"Die Anwendungen zeigen die Positionen von Altglas-Containern auf einer Karte.
Die erste Version zeigt die Altglas-Container in Berlin Charlottenburg-Wilmersdorf. Hoffentlich veröffentlichen bald auch …";CC-BY 4.0;https://codefor.de;;Visualisierung mit Karten;Umwelt, Umweltschutz
7;https://codefor.de/projekte/le-drl-amikeco/;Amikeco;https://codefor.de/projekte/le-drl-amikeco/;OK Lab Leipzig, Code for Germany;In Betrieb;"Plattform, um Gleichgesinnte für allerlei Arten von Aktivitäten zu finden.
Amikeco ist das Esperanto-Wort für “Freundschaft”. Refugees und anderweitig Zugezogene haben oft das Problem, …";CC-BY 4.0;https://codefor.de;Amikeco;Plattform, Interaktive App, Soziale Arbeit, Vernetzung;Integration, Partizipation, Gleichberechtigung, Gleichstellung, Menschenrechte, Flüchtlinge
8;https://codefor.de/projekte/da-ars-tool/;ARS-Tool;https://codefor.de/projekte/da-ars-tool/;Code for Germany;In Planung;Der Amtliche Regionalschlüssel (ARS) definiert eine eindeutige ID für jedes verwaltungspolitische Gebiet in Deutschland (Stadt, Gemeinde, Landkreis, Bundesland, etc.). Der ARS erweitert den Amtlichen …;CC-BY 4.0;https://codefor.de;ARS-Tool;Datenanwendung für Öffentlichkeit, Offene Daten, Visualisierung mit Karten;Deutschland, Verwaltung, Geodaten
9;https://codefor.de/projekte/aufbau-ostberlin/;Aufbau Ostberlin;https://codefor.de/projekte/aufbau-ostberlin/;OK Lab Berlin, Code for Germany;In Planung;Unser digitaler Architekturführer arbeitet mit einem Datensatz aus dem Nachlass der Fotografin Gisela Dutschmann. Diese war 37 Jahre lang am Ostberliner Fotoarchiv mit der Dokumentation der …;CC-BY 4.0;https://codefor.de;;Datensatz und Visualisierung, Digitaler Architekturführer;Stadtplanung, Denkmalpflege, Geschichte
10;https://codefor.de/projekte/2018-23-09-aufbau-von-lorawan-gateways-im-laendlichen-raum/;Aufbau von LoRaWAN Gateways im ländlichen Raum;https://codefor.de/projekte/2018-23-09-aufbau-von-lorawan-gateways-im-laendlichen-raum/;OK Lab Kreis Schleswig-Flensburg, Code for Germany;In Planung;Wir ermöglichen mit dem Aufbau von LoRaWAN Gateways in Schleswig-Holstein anderen Projekten, Firmen, Kommunen und der Landwirtschaft den Zugang zum größten IoT Netzwerk. Durch diese Gateways wird es …;CC-BY 4.0;https://codefor.de;;Datenanwendung für Öffentlichkeit, IoT, LoRaWAN;Schleswig-Holstein, ländlicher Raum
11;https://codefor.de/projekte/badeseen-berlin/;Baden in Berlin;https://codefor.de/projekte/badeseen-berlin/;OK Lab Berlin, Code for Germany;Unbekannt;Die Badesaison hat eröffnet! Erfahre, wo gebadet werden kann und wie die Wasserqualität an den einzelnen Badestellen ist.;CC-BY 4.0;https://codefor.de;;Datenanwendung für Öffentlichkeit, Visualisierung mit Karten;Umwelt, Umweltschutz
12;https://codefor.de/projekte/badeseen-hessen/;Badeseen in Hessen;https://codefor.de/projekte/badeseen-hessen/;OK Lab Gießen, Code for Germany;In Betrieb;Die App soll einen Überblick über alle Badeseen in Hessen bieten. Seien es aktuelle oder historische Messwerte, die Qualitätseinstufung der EU oder andere hilfreiche Informationen, wie das …;CC-BY 4.0;https://codefor.de;;Datenanwendung für Öffentlichkeit, Datenanalyse, Datenerhebung, Interaktive App, Visualisierung mit Karten;Umwelt, Umweltschutz, Nachhaltigkeit, Offene Daten
13;https://codefor.de/projekte/pricemap-eu/;Bahn- und Buspreiskarte;https://codefor.de/projekte/pricemap-eu/;OK Lab Berlin, Code for Germany;In Planung;Preiskarte für Bahn- und Busreisen in Europa: Zeigt die günstigsten Verbindungen in viele europäische Städte.;CC-BY 4.0;https://codefor.de;pricemap-eu;Datenvisualisierung, Interaktive Karte, Offene Daten;Verkehr, Europa
14;https://codefor.de/projekte/bahn-guru/;Bahn-Guru;https://codefor.de/projekte/bahn-guru/;OK Lab Berlin, Code for Germany;In Planung;Preiskalender für den Bahn-Fernverkehr: Zeigt die täglich günstigste Zugverbindung auf der gewählten Strecke für die kommenden Wochen.;CC-BY 4.0;https://codefor.de;Bahn-Guru;Datenanalyse, Datenerhebung, Datenanwendung für Öffentlichkeit, Interaktive App, Visualisierung mit Karten;Verkehr, Mobilität, Nachhaltigkeit, Umwelt
15;https://codefor.de/projekte/baumbie_bielefeld/;BaumBie;https://codefor.de/projekte/baumbie_bielefeld/;Code for Bielefeld, Code for Germany;In Planung;BaumBie bringt Menschen mit der Natur in Verbindung. Die interaktive Karte zeigt Bäume an und bringt sie zum Sprechen. Für jeden Baum zeigt die App grundlegende Informationen an, etwa Alter, Baumart …;CC-BY 4.0;https://codefor.de;BaumBie;Interaktive Karte, Open Data, Civic Coding;Umwelt, Bildung, Partizipation
16;https://codefor.de/projekte/le-baumfilter/;Baumfilter;https://codefor.de/projekte/le-baumfilter/;OK Lab Leipzig, Code for Germany;In Betrieb;"Auf dieser Webseite kannst Du Dich über die Straßenbäume in Leipzig informieren.
Die Bäume können nach Stadtteil oder für komplett Leipzig angezeigt werden. Die Anzeige lässt sich über die …";CC-BY 4.0;https://codefor.de;le-baumfilter;Datenvisualisierung, Interaktive Karte, Offene Daten;Stadtplanung, Umweltschutz, Transparenz
17;https://codefor.de/projekte/magdeburg-baumfreunde-md/;Baumfreunde-MD;https://codefor.de/projekte/magdeburg-baumfreunde-md/;OK Lab Magdeburg, Code for Germany;In Planung;Das Projekt “Baumfreunde-MD” informiert über aktuelle Baumfällungen der Landeshauptstadt Magdeburg. Diese Informationen werden offiziell auf der Homepage der Stadt veröffentlicht, sind …;CC-BY 4.0;https://codefor.de;Baumfreunde-MD;Informationsbereitstellung, Offene Daten, Transparenz;Umwelt, Stadtplanung, Bürgerbeteiligung
18;https://codefor.de/projekte/cologne-baumkataster/;Baumkataster Köln Editor;https://codefor.de/projekte/cologne-baumkataster/;OK Lab Köln, Code for Germany;In Betrieb;Mit dieser Web Anwendung könnt Ihr das Baumkataster der Stadt Köln pflegen. Das zugrunde liegende Baumkataster der Stadt Köln ist ein freier Datensatz (CC BY 3.0 DE) der Stadt vom Juni 2020. Leider …;CC-BY 4.0;https://codefor.de;Baumkataster Köln Editor;Baumkataster, Editor, Web-Anwendung, Datenanalyse, Datensatz;Stadt Köln, Baumkataster, Umweltschutz, Transparenz, Offene Daten
19;https://codefor.de/projekte/hh-baumkataster/;Baumkataster nutzen;https://codefor.de/projekte/hh-baumkataster/;OK Lab Hamburg, Code for Germany;Unbekannt;Im Straßenbaumkataster der Stadt Hamburg sind rund 240.000 Straßenbäume mit Standort und Attributen wie Pflanzjahr, Baumart usw. erfasst. Das Projekt versucht, diese Daten kartografisch aufzubereiten …;CC-BY 4.0;https://codefor.de;;Datenanalyse, Datenerhebung, Datenanwendung für Öffentlichkeit, Visualisierung mit Karten;Stadtplanung, Umweltschutz, Transparenz, Offene Daten
20;https://codefor.de/projekte/bn-baustellen/;Baustellen Übersicht;https://codefor.de/projekte/bn-baustellen/;OK Lab Bonn-Rhein-Sieg, Code for Germany;In Planung;Transparenz über die existierenden und die geplanten Baustellen in und um Bonn. Eine spätere Erweiterung um Parkhausdaten (Belegung, Tendenz etc.) ist angedacht.;CC-BY 4.0;https://codefor.de;;Transparenz, Baustellen Übersicht, Parkhausdaten;Bonn, Deutschland
21;https://codefor.de/projekte/be-berliner-schulen/;Berliner Schulen;https://codefor.de/projekte/be-berliner-schulen/;OK Lab Berlin, Code for Germany;In Planung;Wir wissen, dass die Wahl der „richtigen“ Schule sehr wichtig ist, da sie ein prägendes Fundament für den Bildungsweg eines Menschen setzt. Entsprechend schwierig ist es auch eine Schule zu finden, …;CC-BY 4.0;https://codefor.de;;Datenanalyse, Datenerhebung, Datenanwendung für Öffentlichkeit, Visualisierung mit Karten;Bildung, Teilhabe, Transparenz
22;https://codefor.de/projekte/vornamen-in-berlin/;Berliner Vornamen;https://codefor.de/projekte/vornamen-in-berlin/;OK Lab Berlin, Code for Germany;Unbekannt;Welche Vornamen wurden in den Jahren 2012 und 2013 in Berlin vergeben? Mithilfe der App kann nach Vornamen gesucht werden und es wird angezeigt, wie häufig der Name in den beiden Jahren - nach Bezirk …;CC-BY 4.0;https://codefor.de;;Datenanalyse, Datenerhebung, Visualisierung mit Karten;Demografie, Statistik, Bildung
23;https://codefor.de/projekte/fl-open-school-map/;Bildungsatlas Flensburg;https://codefor.de/projekte/fl-open-school-map/;OK Lab Flensburg, Code for Germany;In Planung;Die Idee, einen offenen Bildungsatlas für Flensburg zu entwickeln, ist aus der eigenen Suche nach einer Grundschule für den Lütten entstanden. Auf der städtischen Website finden sich zwar …;CC-BY 4.0;https://codefor.de;;Interaktive Karte, Datenanalyse, Datenerhebung, Offene Daten;Bildung, Teilhabe, Transparenz
24;https://codefor.de/projekte/ruhrgebiet-blitzerkarte/;Blitzerkarte;https://codefor.de/projekte/ruhrgebiet-blitzerkarte/;OK Lab Ruhrgebiet, Code for Germany;In Planung;Die Blitzerkarte visualisiert täglich Straßen, auf denen die Stadt möglicherweise mobile Geschwindigkeitskontrollen durchführt. Die Daten werden freundlicherweise bereitgestellt durch das Ordnungsamt …;CC-BY 4.0;https://codefor.de;;Visualisierung mit Karten;Verkehr, Stadtplanung
25;https://codefor.de/projekte/be-blume/;BLUME Messnetz API/Map;https://codefor.de/projekte/be-blume/;OK Lab Berlin, Code for Germany;Unbekannt;Feinstaub Daten aus dem BLUME Messnetzwerk verfügbar machen und visualisieren. Ziel sollte sein, eine gute API bereitzustellen, eine gute Visualisierung anzubieten und evtl. ein statistisches Modell …;CC-BY 4.0;https://codefor.de;BLUME;Datenanalyse, Datenerhebung, Datenanwendung für Öffentlichkeit, Datenstandards, Datensatz und Visualisierung, Digitale Plattform, Entscheidungsassistent, Interaktive App, Interaktive Karte, Interaktiver Fragebogen, Offene Daten, Output Monitoring, Plattform für Wahlentscheidungen, Prozessautomatisierung, Reporting, Skalierung der Wirkungsmessung, Visualisierung mit Karten;Umwelt, Umweltschutz, Gesundheit, Nachhaltigkeit, Offene Daten, Partizipation, Transparenz
26;https://codefor.de/projekte/fl-open-surface-map/;Bodenfläche nach Art der Nutzung;https://codefor.de/projekte/fl-open-surface-map/;OK Lab Flensburg, Code for Germany;In Planung;Diese interaktive Karte zeigt die Verteilung der verschiedenen Flächennutzungsarten beim Klick auf die entsprechende Gemeinde an. So lässt sich in Kürze herausfinden in welchen Regionen der …;CC-BY 4.0;https://codefor.de;;Interaktive Karte, Visualisierung mit Karten;Umwelt, Umweltschutz, Nachhaltigkeit
27;https://codefor.de/projekte/bodenrichtwerte/;Bodenrichtwerte im Zeitverlauf;https://codefor.de/projekte/bodenrichtwerte/;OK Lab Berlin, Code for Germany;Unbekannt;Bodenrichtwerte im Zeitverlauf - gefunden im FIS-Broker. Was sind Bodenrichtwerte? Laut Wikipedia ist “der Bodenrichtwert im deutschen Städtebaurecht ein durchschnittlicher Lagewert, ermittelt …;CC-BY 4.0;https://codefor.de;;Datenanalyse, Datenerhebung, Datenanwendung für Öffentlichkeit, Visualisierung mit Karten;Deutschland, Bodenrichtwerte, Immobilien
28;https://codefor.de/projekte/bn-bonn-o-mat/;BONN-O-MAT Wahlautomat für die Oberbürgermeisterwahl 2015;https://codefor.de/projekte/bn-bonn-o-mat/;OK Lab Bonn-Rhein-Sieg, Code for Germany;In Betrieb;Was ist der Bonn-O-Mat? Der Bonn-O-Mat ist eine Wahl-O-Mat, nach dem Vorbild der von Bundes- und Landeszentrale für politische Bildung eingesetzter Wahl-O-Maten. Der Bonn-O-Mat möchte den Nutzer mit …;CC-BY 4.0;https://codefor.de;BONN-O-MAT;Wahl-O-Mat, Interaktive Anwendung, Politische Bildung;Politische Bildung, Wahlautomat, Oberbürgermeisterwahl
29;https://codefor.de/projekte/p-brandengo/;BrandenGo;https://codefor.de/projekte/p-brandengo/;OK Lab Potsdam, Code for Germany;In Planung;Was fährt an öffentlichem Nahverkehr in meiner Nähe? Nach dem Vorbild von MagdeGo. Derzeit noch in der Prototyphase.;CC-BY 4.0;https://codefor.de;BrandenGo;Verkehr, ÖPNV, Mobilität, Open Data;Deutschland, Potsdam, Verkehr
