Index,Quelle,Projektname,Webseite-Link,Organisation,Status,Kurzzusammenfassung,Lizenz,Lizenz-Organisation
0,https://codefor.de/projekte/2018-24-11-1000-lorawan-nodes-im-laendlichen-raum/,1000 LoRaWAN Nodes im ländlichen Raum von Schleswig-Holstein,https://codefor.de/projekte/2018-24-11-1000-lorawan-nodes-im-laendlichen-raum/,"OK Lab Kreis Schleswig-Flensburg, Code for Germany",In Planung,"Aufbau einer Schleswig-Holstein-weiten flächendeckenden Versorgung mit LoRaWAN-Technologie, welche durch vorausgehende Installation einer ausreichenden Anzahl von Gateways und anschließender …",CC-BY 4.0,https://codefor.de
1,https://codefor.de/projekte/fl-open-data-day/,2. Open Data Day in Flensburg,https://codefor.de/projekte/fl-open-data-day/,"OK Lab Flensburg, Code for Germany",In Planung,"Zum zweiten Mal nimmt das OK Lab Flensburg am weltweit stattfindenden Open Data Day teil und lädt alle Interessierten zu Workshops, Präsentationen sowie einem offenen Austausch und Networking ein. Wir …",CC-BY 4.0,https://codefor.de
2,https://codefor.de/projekte/chartchallenge/,30 Day Chart Challenge Bielefeld,https://codefor.de/projekte/chartchallenge/,"Code for Bielefeld, Code for Germany",In Planung,"Unter dem Hashtag #30DayChartChallenge teilen weltweit Designer:innen, Data Scientists, Journalist:innen, … jeden Tag im April eine Grafik. Jeder Tag hat ein Motto, zum Beispiel “Anteile”, …",CC-BY 4.0,https://codefor.de
3,https://codefor.de/projekte/abschiebungen/,Abschiebungen,https://codefor.de/projekte/abschiebungen/,"OK Lab Berlin, Code for Germany",Unbekannt,"2012 wurden in Deutschland 6919 Menschen auf dem Luftweg, 722 Menschen auf dem Landweg und 10 Menschen auf dem Seeweg abgeschoben. 3037 Menschen wurden in andere EU-Länder überstellt, darunter 456 …",CC-BY 4.0,https://codefor.de
4,https://codefor.de/projekte/accessmap/,Access Map,https://codefor.de/projekte/accessmap/,"OK Lab Berlin, Code for Germany",Unbekannt,Little project that aims at raising awareness for accessibility in public transport systems. It uses a simple slider to visualize how the public transport system looks like if all the non-accessible …,CC-BY 4.0,https://codefor.de
5,https://codefor.de/projekte/bn-air-quality-box/,Air Quality Box – Feinstaub und mehr messen,https://codefor.de/projekte/bn-air-quality-box/,"OK Lab Bonn-Rhein-Sieg, Code for Germany",In Planung,"Was ist die Air-Quality-Box? Auch Bonn hat ein Problem mit seiner Luftqualität. Leider gibt es bei uns nur eine einzige, offizielle Messstation für ganz Bonn und die steht auch noch am Stadtrand. Mit …",CC-BY 4.0,https://codefor.de
6,https://codefor.de/projekte/altglas/,Altglas Container,https://codefor.de/projekte/altglas/,"OK Lab Berlin, Code for Germany",In Planung,"Die Anwendungen zeigen die Positionen von Altglas-Containern auf einer Karte.
Die erste Version zeigt die Altglas-Container in Berlin Charlottenburg-Wilmersdorf. Hoffentlich veröffentlichen bald auch …",CC-BY 4.0,https://codefor.de
7,https://codefor.de/projekte/le-drl-amikeco/,Amikeco,https://codefor.de/projekte/le-drl-amikeco/,"OK Lab Leipzig, Code for Germany",In Betrieb,"Plattform, um Gleichgesinnte für allerlei Arten von Aktivitäten zu finden.
Amikeco ist das Esperanto-Wort für “Freundschaft”. Refugees und anderweitig Zugezogene haben oft das Problem, …",CC-BY 4.0,https://codefor.de
8,https://codefor.de/projekte/da-ars-tool/,ARS-Tool,https://codefor.de/projekte/da-ars-tool/,Code for Germany,In Planung,"Der Amtliche Regionalschlüssel (ARS) definiert eine eindeutige ID für jedes verwaltungspolitische Gebiet in Deutschland (Stadt, Gemeinde, Landkreis, Bundesland, etc.). Der ARS erweitert den Amtlichen …",CC-BY 4.0,https://codefor.de
9,https://codefor.de/projekte/aufbau-ostberlin/,Aufbau Ostberlin,https://codefor.de/projekte/aufbau-ostberlin/,"OK Lab Berlin, Code for Germany",In Planung,Unser digitaler Architekturführer arbeitet mit einem Datensatz aus dem Nachlass der Fotografin Gisela Dutschmann. Diese war 37 Jahre lang am Ostberliner Fotoarchiv mit der Dokumentation der …,CC-BY 4.0,https://codefor.de
10,https://codefor.de/projekte/2018-23-09-aufbau-von-lorawan-gateways-im-laendlichen-raum/,Aufbau von LoRaWAN Gateways im ländlichen Raum,https://codefor.de/projekte/2018-23-09-aufbau-von-lorawan-gateways-im-laendlichen-raum/,"OK Lab Kreis Schleswig-Flensburg, Code for Germany",In Planung,"Wir ermöglichen mit dem Aufbau von LoRaWAN Gateways in Schleswig-Holstein anderen Projekten, Firmen, Kommunen und der Landwirtschaft den Zugang zum größten IoT Netzwerk. Durch diese Gateways wird es …",CC-BY 4.0,https://codefor.de
11,https://codefor.de/projekte/badeseen-berlin/,Baden in Berlin,https://codefor.de/projekte/badeseen-berlin/,"OK Lab Berlin, Code for Germany",Unbekannt,"Die Badesaison hat eröffnet! Erfahre, wo gebadet werden kann und wie die Wasserqualität an den einzelnen Badestellen ist.",CC-BY 4.0,https://codefor.de
12,https://codefor.de/projekte/badeseen-hessen/,Badeseen in Hessen,https://codefor.de/projekte/badeseen-hessen/,"OK Lab Gießen, Code for Germany",In Betrieb,"Die App soll einen Überblick über alle Badeseen in Hessen bieten. Seien es aktuelle oder historische Messwerte, die Qualitätseinstufung der EU oder andere hilfreiche Informationen, wie das …",CC-BY 4.0,https://codefor.de
