Index;Quelle;Projektname;Webseite-Link;Organisation;Status;Kurzzusammenfassung;Lizenz;Lizenz-Organisation;data_source;Projekt-Abkürzung;Art;Einsatzbereich
0;https://codefor.de/projekte/2018-24-11-1000-lorawan-nodes-im-laendlichen-raum/;1000 LoRaWAN Nodes im ländlichen Raum von Schleswig-Holstein;https://iot-usergroup.de/projekte/1000-lorawan-nodes-im-laendlichen-raum-von-schleswig-holstein/, https://gitlab.com/iotssl/nucleon-nodes;OK Lab Kreis Schleswig-Flensburg, Code for Germany;Laufend;Aufbau einer Schleswig-Holstein-weiten flächendeckenden Versorgung mit LoRaWAN-Technologie, welche durch vorausgehende Installation einer ausreichenden Anzahl von Gateways und anschließender …;CC-BY 4.0;https://codefor.de;CodeFor Germany;;Open-Source, Plattform, Monitoring;Technologie, Landwirtschaft, Nachhaltigkeit
1;https://codefor.de/projekte/fl-open-data-day/;2. Open Data Day in Flensburg;https://github.com/oklabflensburg/oddfl, https://opendataday.org/de/, https://opendataday-flensburg.de;OK Lab Flensburg, Code for Germany;Laufend;Zum zweiten Mal nimmt das OK Lab Flensburg am weltweit stattfindenden Open Data Day teil und lädt alle Interessierten zu Workshops, Präsentationen sowie einem offenen Austausch und Networking ein. Wir …;CC-BY 4.0;https://codefor.de;CodeFor Germany;;Workshops;Open Data
2;https://codefor.de/projekte/chartchallenge/;30 Day Chart Challenge Bielefeld;https://bsky.app/profile/codeforbielefeld.bsky.social;Code for Bielefeld, Code for Germany;Laufend;Unter dem Hashtag #30DayChartChallenge teilen weltweit Designer:innen, Data Scientists, Journalist:innen, … jeden Tag im April eine Grafik. Jeder Tag hat ein Motto, zum Beispiel “Anteile”, …;CC-BY 4.0;https://codefor.de;CodeFor Germany;;Datenvisualisierung, Open Data, Partizipation, Crowd-Sourced Daten, Datenanalyse;Stadt, Open Data, Partizipation, Datenanalyse, Bildung
3;https://codefor.de/projekte/abschiebungen/;Abschiebungen;https://github.com/jochenklar/abschiebungen;OK Lab Berlin, Code for Germany;Unbekannt;2012 wurden in Deutschland 6919 Menschen auf dem Luftweg, 722 Menschen auf dem Landweg und 10 Menschen auf dem Seeweg abgeschoben. 3037 Menschen wurden in andere EU-Länder überstellt, darunter 456 …;CC-BY 4.0;https://codefor.de;CodeFor Germany;;Datenportal, Monitoring, Datenvisualisierung;Flucht und Migration, Menschenrechte, Migration
4;https://codefor.de/projekte/accessmap/;Access Map;http://arduina.github.io/access_map/;OK Lab Berlin, Code for Germany;Unbekannt;Little project that aims at raising awareness for accessibility in public transport systems. It uses a simple slider to visualize how the public transport system looks like if all the non-accessible …;CC-BY 4.0;https://codefor.de;CodeFor Germany;;Web-App, Datenvisualisierung;Barrierefreiheit, Verkehr, Stadtplanung, Mobilität, Öffentlicher Nahverkehr
5;https://codefor.de/projekte/bn-air-quality-box/;Air Quality Box – Feinstaub und mehr messen;https://codefor.de/projekte/bn-air-quality-box/;OK Lab Bonn-Rhein-Sieg, Code for Germany;Laufend;Was ist die Air-Quality-Box? Auch Bonn hat ein Problem mit seiner Luftqualität. Leider gibt es bei uns nur eine einzige, offizielle Messstation für ganz Bonn und die steht auch noch am Stadtrand. Mit …;CC-BY 4.0;https://codefor.de;CodeFor Germany;;Monitoring, Datenvisualisierung;Umweltschutz, Klima, Stadtplanung, Datenanalyse
6;https://codefor.de/projekte/altglas/;Altglas Container;https://bitbucket.org/tbsprs/altglas, https://github.com/k-nut/altglas, http://k-nut.github.io/altglas;OK Lab Berlin, Code for Germany;Unbekannt;"Die Anwendungen zeigen die Positionen von Altglas-Containern auf einer Karte.
Die erste Version zeigt die Altglas-Container in Berlin Charlottenburg-Wilmersdorf. Hoffentlich veröffentlichen bald auch …";CC-BY 4.0;https://codefor.de;CodeFor Germany;;Webseite, Web-App, Karten;Abfallwirtschaft, Umweltschutz, Nachhaltigkeit, Stadtplanung
7;https://codefor.de/projekte/le-drl-amikeco/;Amikeco;http://jrlover.github.io/amikeco, https://github.com/CodeforLeipzig/amikeco;OK Lab Leipzig, Code for Germany;Abgeschlossen;"Plattform, um Gleichgesinnte für allerlei Arten von Aktivitäten zu finden.
Amikeco ist das Esperanto-Wort für “Freundschaft”. Refugees und anderweitig Zugezogene haben oft das Problem, …";CC-BY 4.0;https://codefor.de;CodeFor Germany;;Web-App, Plattform;Geflüchtete, Integration, Soziale Arbeit, Stadt
8;https://codefor.de/projekte/da-ars-tool/;ARS-Tool;https://opengovtech.de/ars/, https://github.com/codedust/ars-tool/;Code for Germany;Laufend;Der Amtliche Regionalschlüssel (ARS) definiert eine eindeutige ID für jedes verwaltungspolitische Gebiet in Deutschland (Stadt, Gemeinde, Landkreis, Bundesland, etc.). Der ARS erweitert den Amtlichen …;CC-BY 4.0;https://codefor.de;CodeFor Germany;ARS-Tool;Web-App, Open-Source;Verwaltung
9;https://codefor.de/projekte/aufbau-ostberlin/;Aufbau Ostberlin;http://www.aufbau-ostberlin.de, https://github.com/zfhui/CodingDaVinci;OK Lab Berlin, Code for Germany;Laufend;Unser digitaler Architekturführer arbeitet mit einem Datensatz aus dem Nachlass der Fotografin Gisela Dutschmann. Diese war 37 Jahre lang am Ostberliner Fotoarchiv mit der Dokumentation der …;CC-BY 4.0;https://codefor.de;CodeFor Germany;;Webseite, Datenvisualisierung, Datenportal;Stadtplanung, Kultur, Tourismus
