Index;Quelle;Projektname;Art;Einsatzbereich;Webseite-Link;Organisation;Status;Kurzzusammenfassung;Projekt-Abkürzung;Lizenz;Lizenz-Organisation;data_source
0;https://correlaid.org/projekte/projektdatenbank/2022-11-ATT;Qualitätsanalyse von OpenStreetMap Daten für Trinkbrunnen;Web-App, Dashboard, Bericht, Datenvisualisierung, Datenanalyse;Umweltschutz, Nachhaltigkeit, Stadtplanung, Open Data, Gesundheit;https://correlaid.github.io/trinkbrunnen-analyse/map-deutschland-drinking-water.html, https://correlaid.github.io/trinkbrunnen-analyse/analysis-fountains-germany.html, https://github.com/CorrelAid/trinkbrunnen-analyse;a tip: tap e.V., CorrelAid e.V.;Abgeschlossen;Wir vergleichen Trinkbrunnen-Daten aus OpenStreetMap mit offiziellen Stadtzahlen und prüfen, wie vollständig die Metadaten zu Barrierefreiheit und Zugänglichkeit erfasst sind.;;CC-BY 4.0;https://correlaid.org/;Correlaid
1;https://correlaid.org/projekte/projektdatenbank/2023-10-ISH;Mithilfe von KI Wirkungsmessung skalieren;Maschinelles Lernen, Web-App, Plattform, Datenanalyse, KI Anwendung, Prozessautomatisierung, Automatisierung;Bildung, Kinder- und Jugendhilfe, Soziale Arbeit, Chancengleichheit, Wirkungsmessung, Evaluation;;In safe hands e.V., CorrelAid e.V.;Abgeschlossen;In safe hands e.V. will Wirkungsmessung skalieren. Wir entwickeln ein KI-Tool, das Interviewantworten kategorisiert – mit menschlicher Kontrolle für Datenqualität.;;CC-BY 4.0;https://correlaid.org/;Correlaid
2;https://correlaid.org/projekte/projektdatenbank/2021-04-SOS;Wertvolle Zeit sparen und Fehler vermeiden durch die Automatisierung von Prozessen;Prozessautomatisierung, Datenvisualisierung;Bildung, Technologie, Datenanalyse;;Science on Stage e.V., CorrelAid e.V.;Abgeschlossen;Science on Stage kämpft mit Daten aus vielen Quellen. Wir automatisieren die Verarbeitung und machen Schluss mit fehleranfälligen manuellen Prozessen.;;CC-BY 4.0;https://correlaid.org/;Correlaid
3;https://correlaid.org/projekte/projektdatenbank/2024-09-CHW;Automatisiertes Monitoring von Zielgruppenentwicklung im Zeitverlauf;Monitoring, Prozessautomatisierung;Kinder- und Jugendhilfe, Bildung;;Chancenwerk e.V., CorrelAid e.V.;Abgeschlossen;Chancenwerk befragt regelmäßig Kinder und Jugendliche, doch die Auswertung kostet viel Zeit. Wir automatisieren das Monitoring, damit mehr Raum für die eigentliche Arbeit bleibt.;;CC-BY 4.0;https://correlaid.org/;Correlaid
4;https://correlaid.org/projekte/projektdatenbank/2024-06-BAB;Automatisierte Fragebogenauswertung mit Generativer KI;Prozessautomatisierung, Datenanalyse, Bericht, KI-Anwendung, Generative KI, Large Language Model (LLM);Verkehr, Barrierefreiheit, Soziale Arbeit, Kinder- und Jugendhilfe, Stadt;https://github.com/CorrelAid/workshop-babylotse, https://github.com/CorrelAid/workshop-babylotse/blob/main/data/Umfrage%20DE%20submissions%202024-07-31%2000_25.csv, https://github.com/CorrelAid/workshop-babylotse/;Babylotse, CorrelAid e.V.;Abgeschlossen;Babylotse Frankfurt befragt Familien zu ihren Bedürfnissen. Wir werten rund 1000 offene Antworten mit KI aus und machen Muster sichtbar.;;CC-BY 4.0;https://correlaid.org/;Correlaid
5;https://correlaid.org/projekte/projektdatenbank/2024-12-SIN;Automatisiertes Qualitätsmanagement für ein Mentoringprogramm;Datenvisualisierung, Reporting, Prozessautomatisierung, Datenanalyse, Web-App;Jugendarbeit, Soziale Arbeit, Bildung, Chancengleichheit, Evaluation, Datenanalyse;;Sindbad, CorrelAid e.V.;Laufend;Sindbad befragt regelmäßig Mentees und Mentor*innen zur Programmqualität. Wir bauen ein Dashboard, das die Ergebnisse verständlich aufbereitet und flexibel anpassbar macht.;;CC-BY 4.0;https://correlaid.org/;Correlaid
6;https://correlaid.org/projekte/projektdatenbank/2023-12-DEM;Mit Daten zu transparenterer Demokratie;Web-App, Dashboard;Partizipation, Transparenz;https://civic-data.de/ein-wegweiser-fuer-die-demokratie/, https://karte.demokratie-wegweiser.de;Demokratie-Wegweiser, Civic Data Lab, CorrelAid e.V.;Abgeschlossen;Demokratische Prozesse auf lokaler Ebene sind oft schwer nachvollziehbar. Wir entwickeln einen Leitfaden, der Transparenz mit Daten greifbar macht.;;CC-BY 4.0;https://correlaid.org/;Correlaid
7;https://correlaid.org/projekte/projektdatenbank/2024-04-TEN;Output Monitoring durch Entwicklung und Implementierung eines Fragebogen mithilfe von Fokusgruppen;Output Monitoring, Umfrage, Monitoring;Partizipation, Datenanalyse, Soziale Arbeit, Wohlfahrt;https://civic-data.de/output-monitoring-ten-sing/;CVJM-Gesamtverband in Deutschland e. V., Civic Data Lab, CorrelAid e.V.;Abgeschlossen;Wir entwickeln einen Fragebogen mit Fokusgruppen, um die Bedürfnisse der Community besser zu verstehen und datenbasierte Empfehlungen zu geben.;CDL;CC-BY 4.0;https://correlaid.org/;Correlaid
8;https://correlaid.org/projekte/projektdatenbank/2024-03-PZA;Open Data aus Bürger- und Jugendbeteiligungsprojekten;Open Data, Datenportal, Web-App;Jugend, Partizipation, Open Data, Stadt, Bildung;https://civic-data.de/kommuki-open-data/;Politik zum Anfassen e.V., Civic Data Lab, CorrelAid e.V.;Abgeschlossen;Wir machen 6500 Jugend-Ideen aus Kommunalpolitik-Planspielen durchsuchbar und zeigen, welche davon tatsächlich umgesetzt wurden.;;CC-BY 4.0;https://correlaid.org/;Correlaid
9;https://correlaid.org/projekte/projektdatenbank/2024-03-LEM;Unterstützung des Relaunchs des Leerstandsmelders;Web-App, Dashboard, Plattform;Stadtplanung, Wohnen, Soziale Arbeit, Partizipation, Datenanalyse;https://civic-data.de/leerstandsmelder/, https://leerstandsmelder.de;"Leerstandsmelder; Gängeviertel e.V., Civic Data Lab, CorrelAid e.V.";Abgeschlossen;Wohnungsnot sichtbar machen: Wir unterstützen den Relaunch des Leerstandsmelders, der in 41 Städten ungenutzten Wohnraum dokumentiert.;;CC-BY 4.0;https://correlaid.org/;Correlaid
10;https://correlaid.org/projekte/projektdatenbank/2024-11-LAF;Auswertung einer Umfrage zu KI im Ehrenamt;Datenanalyse, Datenvisualisierung, Bericht, Open-Source;KI, Partizipation, Soziale Arbeit;https://digital-vereint.de/aktuelles/ki-anwendungen-im-ehrenamt-hype-oder-echter-nutzen/, https://github.com/CorrelAid/dv_ai_survey, https://civic-data.de/ki-ehrenamt/;Civic Data Lab, lagfa bayern, CorrelAid e.V.;Abgeschlossen;Wie nutzen bayerische Vereine KI im Ehrenamt? Wir werten eine Umfrage von digital verein(t) aus und visualisieren die Ergebnisse.;;CC-BY 4.0;https://correlaid.org/;Correlaid
11;https://correlaid.org/projekte/projektdatenbank/2025-01-SGC;Data Story mit Konstanzer Klima- und Wetterdaten;Web-App, Dashboard, Open-Source;Klima, Klimaschutz, Umweltschutz, Stadtplanung, Nachhaltigkeit, Open Data, Datenanalyse;https://stadtdaten.konstanz.digital/stadtklima/ , https://github.com/sgc-kn/dashboards;Smart Green City Konstanz, CorrelAid e.V.;Abgeschlossen;Offene Klima- und Wetterdaten aus Konstanz werden zur Data Story: Bürger*innen sehen, wie sich das Stadtklima verändert und wo Anpassungsmaßnahmen wirken.;;CC-BY 4.0;https://correlaid.org/;Correlaid
12;https://correlaid.org/projekte/projektdatenbank/2025-05-SIL;Improving and upgrading the Silbernetz dashboard;Web-App, Dashboard, Datenvisualisierung;Senioren, Soziale Arbeit, Wohlfahrt, Gesundheit;;Silbernetz e.V., CorrelAid e.V.;Abgeschlossen;Silbernetz e.V. nutzt ein Dashboard, das die Fundraising-Arbeit revolutioniert hat. Wir modernisieren die Codebasis und optimieren den Bereitstellungsprozess.;;CC-BY 4.0;https://correlaid.org/;Correlaid
13;https://correlaid.org/projekte/projektdatenbank/2025-05-CAS;Automatisierung von Berichten aus Evaluationsdaten;Prozessautomatisierung, Reporting, Datenvisualisierung, Web-App, Automatisierung, Datenanalyse;Bildung, Kinder- und Jugendhilfe, Soziale Arbeit;;Coach@School, CorrelAid e.V.;Abgeschlossen;coach@school sammelt wertvolle Umfragedaten, aber die Auswertung kostet viel Zeit. Wir automatisieren die Berichte und machen sie visuell überzeugender.;;CC-BY 4.0;https://correlaid.org/;Correlaid
14;https://correlaid.org/projekte/projektdatenbank/2025-10-ECF;Datenbankverwaltungssystem für die Europäische Gemeinschaftsstiftungsinitiative (ECFI);Open-Source, Datenbank, Datenportal, Web-App, Plattform;Zivilgesellschaft, Europa, Open Data;;European Community Foundation Initiative, CorrelAid e.V.;Laufend;Die ECFI braucht einen Überblick über Europas Gemeinschaftsstiftungen. Wir bauen eine DSGVO-konforme Open-Source-Datenbank für systematische Erfassung und Visualisierung.;ECFI;CC-BY 4.0;https://correlaid.org/;Correlaid
15;https://correlaid.org/projekte/projektdatenbank/2025-05-PBE; Fortschritts-Monitor;Monitoring, Dashboard, Datenvisualisierung, Prozessautomatisierung;Jugendarbeit, Arbeit, Soziale Arbeit, Bildung;;Phase BE, CorrelAid e.V.;Abgeschlossen;Phase BE begleitet Jugendliche in die Berufswelt. Wir entwickeln ein Ampelsystem, das Fortschritte zentral bündelt und Unterstützungsbedarf sofort sichtbar macht.;;CC-BY 4.0;https://correlaid.org/;Correlaid
16;https://correlaid.org/projekte/projektdatenbank/2026-02-DTC;Bedarfsorientierte Wirkungsmessung für mehr sozial-emotionale Kompetenzen an Schulen;Wirkungsmessung, Reporting, Datenanalyse, Bericht, Monitoring;Bildung, Soziale Arbeit, Gesundheit, Kinder- und Jugendhilfe;;Dare2Care, CorrelAid e.V.;Laufend;Wirkungsmessung für sozial-emotionale Schulprogramme: Wir entwickeln mit Dare2Care Fragebögen und Tools, die zeigen, wie Resilienztraining an Schulen wirkt.;;CC-BY 4.0;https://correlaid.org/;Correlaid
17;https://correlaid.org/projekte/projektdatenbank/2026-01-KMB;Von Daten zu Wirkung – Datenbasierte Argumente für Bildungsgerechtigkeit;Vernetzung, Datenstandards, Wirkungsmessung, Datenanalyse, Datenvisualisierung;Chancengleichheit;;Stiftung ein Quadratkilometer Bildung, CorrelAid e.V.;Laufend;km2 Bildung sammelt jährlich Daten aus lokalen Bildungsnetzwerken, doch Auswertungen scheitern an fehlenden Standards. Wir schaffen Strukturen für datenbasierte Argumente.;km2 Bildung;CC-BY 4.0;https://correlaid.org/;Correlaid
18;https://correlaid.org/projekte/projektdatenbank/2026-03-CHW;(Teil)-Automatisierung von Datenprozessen im Kontext Wirkungsmessung;Prozessautomatisierung, Datenanalyse, Reporting;Wirkungsmessung, Soziale Arbeit;;Chancenwerk e.V., CorrelAid e.V.;Laufend;Wirkungsmessung bei Chancenwerk braucht weniger Handarbeit. Wir automatisieren Datenexport, Bereinigung und Auswertung mit maßgeschneiderten Tools.;;CC-BY 4.0;https://correlaid.org/;Correlaid
19;https://correlaid.org/projekte/projektdatenbank/2026-04-KSJ;Prozessoptimierung und Datenprodukte für besseres Wirkungsmanagement;Prozessautomatisierung, Datenmanagement, Datenvisualisierung, Dashboard, Reporting, Datenanalyse;Soziale Arbeit, Integration;;Kindersprachbrücke Jena e.V., CorrelAid e.V.;Laufend;Die Kindersprachbrücke Jena will Wirkung in der Jugendhilfe besser messen. Wir vereinheitlichen Datenquellen und bauen ein Dashboard für schnelle Auswertungen.;;CC-BY 4.0;https://correlaid.org/;Correlaid
20;https://correlaid.org/projekte/projektdatenbank/2026-03-KMS;“Es war einmal… Wirkung” - Data Storytelling zum Engagement für bessere KI Bildung;Webseite, Datenvisualisierung, Datenmanagement, Automatisierung, Reporting;Bildung, KI, Partizipation, Demokratie;;KI macht Schule, CorrelAid e.V.;Laufend;Über 100 Ehrenamtliche bringen KI-Bildung an Schulen. Wir machen ihre Wirkung mit Data Storytelling sichtbar – für Förderpartner und die Öffentlichkeit.;;CC-BY 4.0;https://correlaid.org/;Correlaid
21;https://correlaid.org/projekte/projektdatenbank/2026-03-AEF;Wirkungsmessung & Datenintegration für mehr Bildungsgerechtigkeit;Datenvisualisierung, Dashboard, Wissensmanagement, Datenanalyse, Wirkungsmessung;Chancengleichheit, Soziale Arbeit, Kinder- und Jugendhilfe, Armut, Integration, Wohlfahrt;;Aelius Förderwerk e.V., CorrelAid e.V.;Laufend;Wirkungsmessung für Bildungsgerechtigkeit: Wir integrieren Datenquellen des Aelius Förderwerks und bauen ein Dashboard, das Steuerung und Kommunikation verbessert.;;CC-BY 4.0;https://correlaid.org/;Correlaid
22;https://correlaid.org/projekte/projektdatenbank/2019-01-MAP;Lebensmittelverschwendung reduzieren und Planung verbessern: Zeitreihenanalyse für ein Restaurant für bedürftige Menschen;Zeitreihenanalyse, Datenanalyse, Statistik, Reporting, Workshop, Datenvisualisierung;Ernährungssicherung, Armut, Soziale Arbeit, Wohlfahrt, Umwelt;https://osf.io/3zsn6/;Mannheimer Platte, CorrelAid e.V.;Abgeschlossen;Die Mannheimer Platte serviert bezahlbare Mahlzeiten für Bedürftige. Wir analysieren 17 Jahre Verkaufsdaten, um Nachfragemuster zu erkennen und Lebensmittelverschwendung zu reduzieren.;;CC-BY 4.0;https://correlaid.org/;Correlaid
23;https://correlaid.org/projekte/projektdatenbank/2025-06-UFZ;Monitoring der Verfügbarkeit und Kapazität des Beratungsangebots U25;Monitoring;Beratung, Gesundheit, Kinder- und Jugendhilfe;;U25, CorrelAid e.V.;Laufend;U25 berät suizidgefährdete junge Menschen, doch die Kapazität schwankt. Wir werten Ampeldaten aus und machen Engpässe sichtbar.;U25;CC-BY 4.0;https://correlaid.org/;Correlaid
24;https://correlaid.org/projekte/projektdatenbank/2020-10-OKP;Python Paket für Open Data der Stadt Konstanz;Open-Source, Datenportal;Open Data, Stadt, Verwaltung, Datenanalyse;https://github.com/MisterXY89/konstanz-open-data-api/, https://pypi.org/project/opencity/;Offene Daten Konstanz, CorrelAid e.V.;Abgeschlossen;Die Stadt Konstanz veröffentlicht Open Data, wir machen sie durch die Entwicklung eines Python Pakets einfach nutzbar für Data Scientists.;;CC-BY 4.0;https://correlaid.org/;Correlaid
