Index,Quelle,Projektname,Art,Einsatzbereich,Webseite-Link,Organisation,Status,Kurzzusammenfassung,Projekt-Abkürzung,Lizenz,Lizenz-Organisation
0,https://correlaid.org/projekte/projektdatenbank/2022-11-ATT,Qualitätsanalyse von OpenStreetMap Daten für Trinkbrunnen,"['exploratory', 'reporting', 'visualization']","['open', 'process']","https://correlaid.github.io/trinkbrunnen-analyse/map-deutschland-drinking-water.html, https://correlaid.github.io/trinkbrunnen-analyse/analysis-fountains-germany.html, https://github.com/CorrelAid/trinkbrunnen-analyse","a tip: tap e.V., CorrelAid e.V.",Abgeschlossen,"Wir vergleichen Trinkbrunnen-Daten aus OpenStreetMap mit offiziellen Stadtzahlen und prüfen, wie vollständig die Metadaten zu Barrierefreiheit und Zugänglichkeit erfasst sind.",,CC-BY 4.0,https://correlaid.org/
1,https://correlaid.org/projekte/projektdatenbank/2023-10-ISH,Mithilfe von KI Wirkungsmessung skalieren,"['modeling', 'ai', 'nlp']","['text', 'process']",,"In safe hands e.V., CorrelAid e.V.",Abgeschlossen,"In safe hands e.V. will Wirkungsmessung skalieren. Wir entwickeln ein KI-Tool, das Interviewantworten kategorisiert – mit menschlicher Kontrolle für Datenqualität.",,CC-BY 4.0,https://correlaid.org/
2,https://correlaid.org/projekte/projektdatenbank/2021-04-SOS,Wertvolle Zeit sparen und Fehler vermeiden durch die Automatisierung von Prozessen,['automation'],['process'],,"Science on Stage e.V., CorrelAid e.V.",Abgeschlossen,Science on Stage kämpft mit Daten aus vielen Quellen. Wir automatisieren die Verarbeitung und machen Schluss mit fehleranfälligen manuellen Prozessen.,,CC-BY 4.0,https://correlaid.org/
3,https://correlaid.org/projekte/projektdatenbank/2024-09-CHW,Automatisiertes Monitoring von Zielgruppenentwicklung im Zeitverlauf,"['reporting', 'visualization', 'automation', 'impact']","['panel', 'survey']",,"Chancenwerk e.V., CorrelAid e.V.",Abgeschlossen,"Chancenwerk befragt regelmäßig Kinder und Jugendliche, doch die Auswertung kostet viel Zeit. Wir automatisieren das Monitoring, damit mehr Raum für die eigentliche Arbeit bleibt.",,CC-BY 4.0,https://correlaid.org/
4,https://correlaid.org/projekte/projektdatenbank/2024-06-BAB,Automatisierte Fragebogenauswertung mit Generativer KI,"['reporting', 'ai']",['survey'],"https://github.com/CorrelAid/workshop-babylotse, https://github.com/CorrelAid/workshop-babylotse/blob/main/data/Umfrage%20DE%20submissions%202024-07-31%2000_25.csv, https://github.com/CorrelAid/workshop-babylotse/","Babylotse, CorrelAid e.V.",Abgeschlossen,Babylotse Frankfurt befragt Familien zu ihren Bedürfnissen. Wir werten rund 1000 offene Antworten mit KI aus und machen Muster sichtbar.,,CC-BY 4.0,https://correlaid.org/
5,https://correlaid.org/projekte/projektdatenbank/2024-12-SIN,Automatisiertes Qualitätsmanagement für ein Mentoringprogramm,"['reporting', 'visualization', 'automation']","['survey', 'process', 'administrative']",,"Sindbad, CorrelAid e.V.",Abgeschlossen,"Sindbad befragt regelmäßig Mentees und Mentor*innen zur Programmqualität. Wir bauen ein Dashboard, das die Ergebnisse verständlich aufbereitet und flexibel anpassbar macht.",,CC-BY 4.0,https://correlaid.org/
6,https://correlaid.org/projekte/projektdatenbank/2023-12-DEM,Mit Daten zu transparenterer Demokratie,"['open_source', 'visualization']","['open', 'administrative']","https://civic-data.de/ein-wegweiser-fuer-die-demokratie/, https://karte.demokratie-wegweiser.de","Demokratie-Wegweiser, Civic Data Lab, CorrelAid e.V.",Abgeschlossen,"Demokratische Prozesse auf lokaler Ebene sind oft schwer nachvollziehbar. Wir entwickeln einen Leitfaden, der Transparenz mit Daten greifbar macht.",,CC-BY 4.0,https://correlaid.org/
7,https://correlaid.org/projekte/projektdatenbank/2024-04-TEN,Output Monitoring durch Entwicklung und Implementierung eines Fragebogen mithilfe von Fokusgruppen,['data_collection'],['survey'],https://civic-data.de/output-monitoring-ten-sing/,"CVJM-Gesamtverband in Deutschland e. V., Civic Data Lab, CorrelAid e.V.",Abgeschlossen,"Wir entwickeln einen Fragebogen mit Fokusgruppen, um die Bedürfnisse der Community besser zu verstehen und datenbasierte Empfehlungen zu geben.",,CC-BY 4.0,https://correlaid.org/
8,https://correlaid.org/projekte/projektdatenbank/2024-03-PZA,Open Data aus Bürger- und Jugendbeteiligungsprojekten,"['data_collection', 'data_management', 'ai']","['open', 'administrative', 'survey']",https://civic-data.de/kommuki-open-data/,"Politik zum Anfassen e.V., Civic Data Lab, CorrelAid e.V.",Abgeschlossen,"Wir machen 6500 Jugend-Ideen aus Kommunalpolitik-Planspielen durchsuchbar und zeigen, welche davon tatsächlich umgesetzt wurden.",,CC-BY 4.0,https://correlaid.org/
9,https://correlaid.org/projekte/projektdatenbank/2024-03-LEM,Unterstützung des Relaunchs des Leerstandsmelders,"['web_development', 'exploratory']","['process', 'survey']","https://civic-data.de/leerstandsmelder/, https://leerstandsmelder.de","Leerstandsmelder; Gängeviertel e.V., Civic Data Lab, CorrelAid e.V.",Abgeschlossen,"Wohnungsnot sichtbar machen: Wir unterstützen den Relaunch des Leerstandsmelders, der in 41 Städten ungenutzten Wohnraum dokumentiert.",,CC-BY 4.0,https://correlaid.org/
