Projektname;Art;Einsatzbereich;Quelle;Organisation;Status;Kurzzusammenfassung;Projekt-Abkürzung;Webseite-Link
Demokratie-Wegweiser;Interaktive Karte, Visualisierung mit Karten, Datenanwendung für Öffentlichkeit, Digitale Plattform, Offene Daten;Demokratie, Partizipation, Transparenz, Verwaltung;https://www.demokratie-wegweiser.de;Demokratie-Wegweiser;In Weiterentwicklung;Der Demokratie-Wegweiser ist eine digitale Verantwortungsträger-Karte, die Bürgerinnen und Bürgern hilft, politische Verantwortliche in ihrer Region zu finden. Das Projekt macht politische Partizipation zugänglicher, indem es aufzeigt, wer zuständig ist und wie man Anliegen vorbringen kann.;;https://www.demokratie-wegweiser.de/, https://karte.demokratie-wegweiser.de
Giess den Kiez;Interaktive Karte, Datenanwendung für Öffentlichkeit, Crowd-Sourced Daten, Visualisierung mit Karten, Datenerhebung, Monitoring;Umweltschutz, Nachhaltigkeit, Stadt, Partizipation, Klimaanpassung;https://www.giessdenkiez.de;Technologiestiftung Berlin, CityLAB Berlin, Senatskanzlei Berlin;In Weiterentwicklung;Giess den Kiez ist eine interaktive Karte, die den Wasserbedarf von Berliner Stadtbäumen visualisiert und Bürger dazu aufruft, Bäume in ihrer Nachbarschaft zu adoptieren und zu gießen. Das Projekt fördert bürgerschaftliches Engagement zum Schutz der Stadtbäume vor Trockenheit.;;https://www.giessdenkiez.de, https://www.giessdenkiez.de/map?treeAgeMax=200&lang=de&lat=52.494590307846366&lng=13.388836926491992, https://deinestadt.giessdenkiez.de/
HILF-MIR Berlin;Digitale Plattform, Datenanwendung für Öffentlichkeit, Verzeichnis / Karte, Interaktive Karte;Gesundheit, Mentale Gesundheit, Beratung, Stadt;https://www.hilf-mir.berlin;Technologiestiftung Berlin, CityLAB Berlin, Senatskanzlei Berlin, Senatsverwaltung für Wissenschaft, Gesundheit und Pflege (SenWGP);Im Testbetrieb;HILF-MIR Berlin ist ein digitaler Wegweiser, der Nutzern hilft, schnell und einfach psychosoziale Hilfsangebote in den Bereichen Psychiatrie und Suchthilfe in Berlin zu finden, die zu ihrer Situation passen.;;https://www.hilf-mir.berlin
Lernende Systeme in der Beratung;KI Anwendung, Beratung, Digitale Plattform, Vernetzungsassistent, Matching, Datenanalyse, Prozessautomatisierung, Wissensmanagement, Offene Daten;Soziale Arbeit, Beratung, Migration;https://www.caritas-digital.de/projekte/lernende-systeme-in-der-beratung/;Caritas Deutschland, Bundesministerium für Familie, Senioren, Frauen und Jugend (BMFSFJ);In Weiterentwicklung;"Das Pilotprojekt ""Lernende Systeme in der Beratung"" erforscht und entwickelt den gemeinwohlorientierten Einsatz von Künstlicher Intelligenz zur Unterstützung der Sozialberatung der Caritas. Ein Prototyp namens CariFIX ermöglicht die webbasierte Vernetzung und den Austausch von Beratenden zu fachlichen Fragen, um Expertise bundesweit zu matchen.";CariFIX;https://carifix.carinet.de/, https://labor.caritas-digital.de/lernende-systeme/
Seniorennetz Berlin;Digitale Plattform, Verzeichnis / Karte, Interaktive Karte, Datenanwendung für Öffentlichkeit, Beratung, Visualisierung mit Karten;Senioren, Soziale Arbeit, Teilhabe, Beratung, Inklusion, Barrierefreiheit, Stadt, Demenz, Energie;https://www.seniorennetz.berlin;Arbeiterwohlfahrt Landesverband Berlin e.V., Land Berlin;In Betrieb;Das Seniorennetz Berlin ist eine digitale Plattform, die älteren Menschen in Berlin eine Übersicht über kostenlose Aktivitäten aus Freizeit, Kultur, Bildung und Beratung bietet und wichtige Informationen zum Thema Altern zur Verfügung stellt.;;https://seniorennetz.berlin/de
Disposition von Rettungsmitteln;Interne Datenanwendung, KI Anwendung, Maschinelles Lernen;Rettungsdienst;;DRK Rheinland-Pfalz;online - im Testbetrieb;Basierend auf vergangenen Einsätzen, Wetter- und Verkehrsdaten wurde ein KI-Modell trainiert, das Vorschläge zur Umdisposition von Rettungsfahrzeugen an andere Rettungswachen oder geeignete Orte macht. So soll eine lückenfreie Abdeckung von Rettungsmitteln und die 15 Minuten Hilfsfrist besser eingehalten werden.;;
codo – Das Daten-Tool für Mentoringprojekte;Digitale Plattform, Datenerhebung, Datenanalyse, Reporting, Interne Datenanwendung, Dokumentations- und Netzwerktool;Mentoring, Soziale Arbeit, Jugendarbeit, Wirkungsmessung, Patenschaft, Vernetzung, Beratung, Wissensmanagement;https://www.codo-mentoring.org;BMBFSFJ, msm, Affirmative;In Weiterentwicklung;codo ist ein Open Source Daten-Tool (Web-App) für Mentoringprojekte, das alle Daten an einem zentralen Ort bündelt. Es erleichtert die Koordination, Dokumentation und das Reporting für Mentoringprojekte.;codo;https://codo-mentoring.org/
Leerstandsmelder;Interaktive Karte, Datenerhebung, Datenanwendung für Öffentlichkeit, Visualisierung mit Karten, Offene Daten;Wohnen, Stadtplanung, Transparenz, Offene Daten;https://www.leerstandsmelder.de;Leerstandsmelder;In Weiterentwicklung;Der Leerstandsmelder ist eine digitale Plattform, die es Nutzern ermöglicht, leerstehende Immobilien in ihrer Region zu melden und auf einer interaktiven Karte sichtbar zu machen. Ziel ist es, auf Wohnungsleerstand aufmerksam zu machen und sich gegen diesen einzusetzen.;;https://leerstandsmelder.de/
FAIR SHARE – Fair Share of Women Leaders;Monitoring, Bericht, Datenerhebung, Datenanalyse, Dokumentations- und Netzwerktool, Veranstaltung;Frauen, Chancengleichheit, Gleichberechtigung, Gleichstellung, Mentoring, Wissensmanagement;https://www.fairsharewl.org;FAIR SHARE of Women Leaders;In Weiterentwicklung;FAIR SHARE ist eine Initiative, die sich zum Ziel gesetzt hat, bis 2030 einen fairen Anteil von Frauen in Führungspositionen im sozialen Sektor zu erreichen. Sie misst und veröffentlicht regelmäßig den Anteil von Frauen in Führungspositionen durch jährliche Monitore und fördert feministische Führung.;FAIR SHARE;https://fairsharewl.org/, https://www.feministleadershiphub.com/
Strassenlotse.Hamburg;Digitale Plattform, Interaktive Karte, Verzeichnis / Karte;Wohnungslosenhilfe, Soziale Arbeit, Beratung, Gesundheit, Stadt;https://strassenlotse.hamburg;Strassenlotse.Hamburg;In Betrieb;Strassenlotse.Hamburg ist ein digitaler Wegweiser, der wohnungslosen Menschen in Hamburg dabei unterstützt, Angebote wie Schlafplätze, medizinische Hilfe, Beratung und Lebensmittel zu finden.;;https://www.strassenlotse.hamburg/
