Quelle,Projektname,Webseite-Link,Organisation,Status,Kurzzusammenfassung,Projekt-Abkürzung,Lizenz,Lizenz-Organisation
https://huggingface.co/datasets/hiig-ai-lab/publicinterest-ai-projects/blob/main/Public%20Interest%20AI%20Projects%202024.xlsx,VFRAME,https://vframe.io/,Adam Harvey and VFRAME.io,Unbekannt,"Menschenrechtsforscher verlassen sich oft auf online geteilte Videos, um Kriegsverbrechen, Gräueltaten und Menschenrechtsverletzungen zu dokumentieren. Vframe nutzt Computer Vision, um diesen Prozess zu automatisieren, da es zu viel Material gibt, um es manuell zu sichten. VFRAME hat mit Mnemonic.org zusammengearbeitet, einer in Berlin ansässigen Organisation, die sich der Dokumentation von Kriegsverbrechen und Menschenrechtsverletzungen widmet, um Computer-Vision-Tools zur Bewältigung dieser Herausforderungen zu entwickeln. VFRAME wurde vom Prototypefund gefördert.",VFRAME,CC-BY 4.0,https://publicinterest.ai/
https://huggingface.co/datasets/hiig-ai-lab/publicinterest-ai-projects/blob/main/Public%20Interest%20AI%20Projects%202024.xlsx,defalsif-AI,https://www.ait.ac.at/themen/surveillance-protection/projects/defalsif-ai,AIT Austrian Institute of Technology,Abgeschlossen,"Das Forschungsprojekt defalsif-AI entwickelt medienforensische Werkzeuge, die es Nutzern ermöglichen, eine erste Einschätzung der Glaubwürdigkeit von Text-, Bild-, Video- oder Audiomaterial im Internet vorzunehmen. Dabei wird künstliche Intelligenz eingesetzt. Das Projekt konzentriert sich insbesondere auf politisch motivierte Desinformation. Ziel ist es, ein valides Werkzeug zur Analyse digitaler Inhalte im Internet aufzuzeigen, das eine erste Bewertung der Glaubwürdigkeit und/oder Authentizität von Texten, Bildern, Videos oder Audio ermöglicht. Dies schafft die Grundlage für weitere Handlungsempfehlungen.",defalsif-AI,CC-BY 4.0,https://publicinterest.ai/
https://huggingface.co/datasets/hiig-ai-lab/publicinterest-ai-projects/blob/main/Public%20Interest%20AI%20Projects%202024.xlsx,I4C,https://www.meteo.uni-freiburg.de/de/forschung/I4C/i4c-intelligence-for-cities,"Albert-Ludwigs-Universität Freiburg, Fraunhofer-Gesellschaft zur Förderung der angewandten Forschung e. V.",Unbekannt,"Ziel von I4C ist es, die Anpassung von Städten an den Klimawandel durch eine Prozesskette von der Datenerhebung über die Analyse und Umweltprognose bis hin zu konkreten Maßnahmen zu verbessern. Der Lehrstuhl für Umweltmeteorologie ist mit zwei Teilprojekten an dem Vorhaben beteiligt. Diese sollen das Downscaling von thermischem Komfort und Stress auf lokaler, gebäudeaufgelöster Skala mittels KI sowie die Vorhersage von Sturmauswirkungen und Sturmschäden mittels Large Eddy Simulations (LES) und KI ermöglichen.",I4C,CC-BY 4.0,https://publicinterest.ai/
https://huggingface.co/datasets/hiig-ai-lab/publicinterest-ai-projects/blob/main/Public%20Interest%20AI%20Projects%202024.xlsx,Claimspotting,https://publicinterest.ai/tool/claimspotting?lang=de,Alexander von Humboldt Insitut für Internet und Gesellschaft,Abgeschlossen,"Dieser KI-Prototyp erkennt Beiträge, die Merkmale aufweisen, die in der Forschung häufig mit Fehlinformationen in Verbindung gebracht werden. Er kennzeichnet und kategorisiert die Inhalte nach bestimmten Kriterien. Eine Übersicht der Kategorien, der Telegram-Kanal sowie Informationen zur Nutzung von Claimspotting finden sich auf der „Über uns“-Seite.",Claimspotting,CC-BY 4.0,https://publicinterest.ai/
https://huggingface.co/datasets/hiig-ai-lab/publicinterest-ai-projects/blob/main/Public%20Interest%20AI%20Projects%202024.xlsx,Simba: AI-Powered Text Simplification,https://publicinterest.ai/tool/simba?lang=en,Alexander von Humboldt Insitut für Internet und Gesellschaft,Abgeschlossen,"Simba reduziert die Komplexität deutscher Online-Texte unter Beibehaltung der Kernbotschaft. Unsere beiden Tools ersetzen lange Wörter durch kürzere Synonyme, kürzen Sätze und fügen Informationen zur Klärung des Kontextes hinzu. Dies wird durch unsere Web-App (Text-Vereinfacher) und Browser-Erweiterung erreicht, die ein KI-Modell nutzen.",Simba,CC-BY 4.0,https://publicinterest.ai/
https://huggingface.co/datasets/hiig-ai-lab/publicinterest-ai-projects/blob/main/Public%20Interest%20AI%20Projects%202024.xlsx,AI2 Climate Modeling,https://allenai.org/climate-modeling,Allen Institute for Artificial Intelligence,Unbekannt,"Es wird Open-Source-Software entwickelt, damit die breitere Klimamodellierungsgemeinschaft diese Fortschritte leicht übernehmen kann. Die Partnerschaft mit dem GFDL stellt sicher, dass die Arbeit auf dessen wertvoller Erfahrung aufbaut und schnellstmögliche Wirkung erzielt. Diese Zusammenarbeit bringt die Innovation des Teams mit der Klimamodellierungserfahrung und den Rechenressourcen des GFDL zusammen, um schnellere Effekte zu erzielen, die als Vorbild für andere Klimamodellierungszentren dienen können.",,CC-BY 4.0,https://publicinterest.ai/
https://huggingface.co/datasets/hiig-ai-lab/publicinterest-ai-projects/blob/main/Public%20Interest%20AI%20Projects%202024.xlsx,Wildlands,https://allenai.org/wildlands,Allen Institute for Artificial Intelligence,Unbekannt,"Bereitstellung von KI-gestützten Tools, die die Gesundheit und Widerstandsfähigkeit unserer Wildnisgebiete verbessern, indem sie das Brandmanagement unterstützen. Das Wildlands-Team arbeitet an einem Proof-of-Concept-Projekt, um maschinelles Lernen einzusetzen, um die Belastung für 1-, 10- und 100-Stunden-Brennstoffe in Kg/m2 anhand von Fotos zu schätzen, die mit einer Digitalkamera oder einem Mobiltelefon aufgenommen wurden. Dieses Projekt wird es jedem Förster mit einer Kamera ermöglichen, schnelle und genaue Schätzungen der Brennstoffbelastung zu melden, sodass Brandmanager, Brennstoffspezialisten und Forscher genauere Planungsvorhersagen treffen können. Dies ist Teil einer längerfristigen Vision, maschinelles Lernen zur Unterstützung vieler Aspekte des Brandmanagements in Wildnisgebieten einzusetzen.",Wildlands,CC-BY 4.0,https://publicinterest.ai/
https://huggingface.co/datasets/hiig-ai-lab/publicinterest-ai-projects/blob/main/Public%20Interest%20AI%20Projects%202024.xlsx,EarthRanger,https://www.earthranger.com,Allen Institute for Artificial Intelligence,Unbekannt,"EarthRanger ist eine Softwarelösung, die Manager von Schutzgebieten, Ökologen und Wildtierbiologen dabei unterstützt, fundiertere operative Entscheidungen für den Wildtierschutz zu treffen. EarthRanger sammelt, integriert und visualisiert alle historischen und verfügbaren Fernerkundungsdaten und kombiniert sie mit Berichten aus dem Feld, um eine einheitliche Sicht auf besenderte Wildtiere, Ranger, Einsatzkräfte und Infrastruktur innerhalb eines Schutzgebiets zu bieten.",EarthRanger,CC-BY 4.0,https://publicinterest.ai/
https://huggingface.co/datasets/hiig-ai-lab/publicinterest-ai-projects/blob/main/Public%20Interest%20AI%20Projects%202024.xlsx,Skylight,https://www.skylight.global,Allen Institute for Artificial Intelligence,Unbekannt,"Skylight hilft dabei, die maritime Transparenz zu verbessern und liefert verwertbare Informationen zum Schutz unserer Ozeane. Die Funktionen von Skylight ermöglichen die Durchsetzung von Seerechtsgesetzen durch: Identifizierung von Eindringen oder Verweilen kommerzieller Fischereifahrzeuge in oder nahe Meeresschutzgebieten; Aufzeigen von Stellen, an denen Umladungen von Fisch oder anderen Gütern stattfinden könnten, insbesondere nahe oder in den ausschließlichen Wirtschaftszonen eines Landes; Verfolgung von Netzwerken und Unterstützern illegaler Aktivitäten, wie z. B. Schiffen, die andere illegale Fischereifahrzeuge betanken.",Skylight,CC-BY 4.0,https://publicinterest.ai/
https://huggingface.co/datasets/hiig-ai-lab/publicinterest-ai-projects/blob/main/Public%20Interest%20AI%20Projects%202024.xlsx,Mit KI kinderleicht zum Kindergeld,https://www.hamburg.de/kinderleicht-zum-kindergeld/,"Amt für IT und Digitalisierung in der Senatskanzlei der Freien und Hansestadt Hamburg, Fraunhofer Institut",Unbekannt,"Eltern sind gesetzlich verpflichtet, dem Standesamt in den ersten Tagen nach der Geburt ihres Kindes Informationen zur Beurkundung zur Verfügung zu stellen, um den Namen festzulegen und damit die erste formale Voraussetzung für den Erhalt von Elterngeld und Kindergeld zu erfüllen. Das System vereinfacht diesen Prozess, da es als natürliches Sprachsystem darauf ausgelegt ist, Sprachbarrieren abzubauen und den Antragsprozess zu unterstützen.",,CC-BY 4.0,https://publicinterest.ai/
